Predictor,Coefficient,95% CI,p value
方案A_平衡主线组 | Province: No / Year: Yes,,,
省平均气温,-0.0336,"(-0.2133, 0.1460)",0.7128
R1xday,0.1508*,"(0.0051, 0.2966)",0.0426
PM2.5,0.0209,"(-0.1618, 0.2035)",0.8223
抗菌药物使用强度,0.131**,"(0.0438, 0.2183)",0.0034
GDP,0.1811*,"(0.0250, 0.3371)",0.0231
文盲比例,0.007,"(-0.1794, 0.1934)",0.941
人均日生活用水量(升),-0.1082,"(-0.2859, 0.0696)",0.2319
"牲畜饲养
-猪年底头数",0.0566,"(-0.0926, 0.2059)",0.4556
Province,No,,
Year,Yes,,
R-squared,0.334,,
R-squared (Overall),0.275,,
R² (within),-0.186,,
Total number of observations,307,,
,,,
方案A_平衡主线组 | Province: Yes / Year: No,,,
省平均气温,-0.519,"(-1.6764, 0.6383)",0.3781
R1xday,-0.0206,"(-0.0597, 0.0185)",0.3005
PM2.5,0.0971**,"(0.0345, 0.1598)",0.0025
抗菌药物使用强度,0.0024,"(-0.0350, 0.0398)",0.9
GDP,-0.3146*,"(-0.5568, -0.0724)",0.0111
文盲比例,0.2353**,"(0.0857, 0.3850)",0.0022
人均日生活用水量(升),-0.0529,"(-0.1416, 0.0357)",0.2406
"牲畜饲养
-猪年底头数",0.1427*,"(0.0047, 0.2807)",0.0427
Province,Yes,,
Year,No,,
R-squared,0.455,,
R-squared (Overall),-2.538,,
R² (within),0.455,,
Total number of observations,307,,
,,,
方案A_平衡主线组 | Province: Yes / Year: Yes,,,
省平均气温,0.5445,"(-0.9355, 2.0244)",0.4694
R1xday,-0.0033,"(-0.0379, 0.0313)",0.8507
PM2.5,-0.0031,"(-0.0813, 0.0751)",0.9378
抗菌药物使用强度,0.0093,"(-0.0189, 0.0375)",0.517
GDP,-0.0386,"(-0.2658, 0.1887)",0.7386
文盲比例,0.0855,"(-0.0303, 0.2013)",0.147
人均日生活用水量(升),0.014,"(-0.0947, 0.1227)",0.7998
"牲畜饲养
-猪年底头数",-0.1046,"(-0.3247, 0.1155)",0.3504
Province,Yes,,
Year,Yes,,
R-squared,0.021,,
R-squared (Overall),-0.418,,
R² (within),0.026,,
Total number of observations,307,,
,,,
方案D_城市气候组 | Province: No / Year: Yes,,,
主要城市平均气温,-0.1907*,"(-0.3403, -0.0411)",0.0126
R1xday,0.1519,"(-0.0084, 0.3123)",0.0632
PM2.5,-0.0214,"(-0.1740, 0.1313)",0.7832
抗菌药物使用强度,0.1197**,"(0.0478, 0.1916)",0.0012
GDP,0.1336,"(-0.0067, 0.2740)",0.0619
文盲比例,0.0108,"(-0.0807, 0.1023)",0.8162
建成区绿化覆盖率,0.2103*,"(0.0214, 0.3993)",0.0293
"牲畜饲养
-猪年底头数",0.1026,"(-0.0763, 0.2815)",0.2601
Province,No,,
Year,Yes,,
R-squared,0.408,,
R-squared (Overall),0.192,,
R² (within),-0.652,,
Total number of observations,307,,
,,,
方案D_城市气候组 | Province: Yes / Year: No,,,
主要城市平均气温,0.0486,"(-0.4191, 0.5163)",0.838
R1xday,-0.0127,"(-0.0591, 0.0337)",0.5907
PM2.5,0.0861*,"(0.0162, 0.1560)",0.016
抗菌药物使用强度,-0.0098,"(-0.0465, 0.0269)",0.5997
GDP,-0.3027*,"(-0.5445, -0.0609)",0.0143
文盲比例,0.1526*,"(0.0250, 0.2803)",0.0193
建成区绿化覆盖率,-0.1552*,"(-0.2732, -0.0372)",0.0101
"牲畜饲养
-猪年底头数",0.1457,"(-0.0143, 0.3056)",0.0741
Province,Yes,,
Year,No,,
R-squared,0.481,,
R-squared (Overall),-0.828,,
R² (within),0.481,,
Total number of observations,307,,
,,,
方案D_城市气候组 | Province: Yes / Year: Yes,,,
主要城市平均气温,0.1057,"(-0.3388, 0.5502)",0.64
R1xday,-0.0091,"(-0.0434, 0.0253)",0.6041
