Predictor,Baseline Coefficient,Baseline Dominance (95% CI),Baseline p value,Lag-1 Coefficient,Lag-1 Dominance (95% CI),Lag-1 p value
省平均气温,0.6122,17.4% (0.4–55.1),0.4204,-0.3246,6.7% (0.5–32.1),0.5798
省平均降水,-0.0451,6.8% (0.3–30.2),0.5092,0.0013,0.4% (0.2–14.2),0.9844
R1xday,-0.0024,0.5% (0.2–15.7),0.8986,-0.0241,19.8% (0.3–30.8),0.1581
PM2.5,-0.0039,0.2% (0.3–39.7),0.9222,0.0171,13.2% (0.3–58.4),0.6966
医疗水平,0.1354,52.2% (0.7–60.8),0.1315,0.0885,27.6% (0.8–54.5),0.4024
GDP,0.0049,2.5% (0.5–41.5),0.9663,-0.036,11.4% (0.9–61.0),0.8188
城市用水普及率,0.0062,16.5% (0.1–38.5),0.7704,-0.0201,14.8% (0.4–26.1),0.0821
生活垃圾无害化处理率,-0.0013,0.4% (0.3–40.8),0.9496,-0.0091,5.6% (0.4–31.6),0.6295
抗菌药物使用强度,0.0094,3.4% (0.1–22.3),0.4591,0.0042,0.6% (0.2–20.7),0.8013
Province,Yes,,,Yes,,
Year,Yes,,,Yes,,
R² (within),-0.63,..,..,-0.08,..,..
Total number of observations,307,..,..,277,..,..
