Predictor,Baseline Coefficient,Baseline Dominance (95% CI),Baseline p value,Lag-1 Coefficient,Lag-1 Dominance (95% CI),Lag-1 p value
省平均气温,0.658,17.4% (0.4–55.1),0.2133,-1.0314*,6.7% (0.5–32.1),0.0337
省平均降水,0.0147,6.8% (0.3–30.2),0.7969,-0.0277,0.4% (0.2–14.2),0.5963
R1xday,-0.0043,0.5% (0.2–15.7),0.8389,-0.0418,19.8% (0.3–30.8),0.0545
PM2.5,0.043,0.2% (0.3–39.7),0.1703,0.0298,13.2% (0.3–58.4),0.4104
医疗水平,-0.1853**,52.2% (0.7–60.8),0.0017,-0.1323,27.6% (0.8–54.5),0.067
GDP,-0.258*,2.5% (0.5–41.5),0.0494,-0.2045,11.4% (0.9–61.0),0.1848
城市用水普及率,0.0011,16.5% (0.1–38.5),0.9666,-0.0161,14.8% (0.4–26.1),0.1468
生活垃圾无害化处理率,-0.0644*,0.4% (0.3–40.8),0.0258,-0.048*,5.6% (0.4–31.6),0.0273
抗菌药物使用强度,-0.0176,3.4% (0.1–22.3),0.3014,-0.0258,0.6% (0.2–20.7),0.0593
Province,Yes,,,Yes,,
Year,No,,,No,,
R² (within),0.54,..,..,0.49,..,..
Total number of observations,307,..,..,277,..,..
