Predictor,Coefficient,Dominance (95% CI),p value
省平均气温 (lag 1),-0.3246,6.7% (0.5–32.1),0.5798
省平均降水 (lag 1),0.0013,0.4% (0.2–14.2),0.9844
R1xday (lag 1),-0.0241,19.8% (0.3–30.8),0.1581
PM2.5 (lag 1),0.0171,13.2% (0.3–58.4),0.6966
医疗水平 (lag 1),0.0885,27.6% (0.8–54.5),0.4024
GDP (lag 1),-0.036,11.4% (0.9–61.0),0.8188
城市用水普及率 (lag 1),-0.0201,14.8% (0.4–26.1),0.0821
生活垃圾无害化处理率 (lag 1),-0.0091,5.6% (0.4–31.6),0.6295
抗菌药物使用强度 (lag 1),0.0042,0.6% (0.2–20.7),0.8013
Province,Yes,,
Year,Yes,,
R² (within),-0.08,..,..
Total number of observations,277,..,..
