Predictor,Coefficient,Dominance (95% CI),p value
省平均气温 (lag 1),-1.0314*,6.7% (0.5–32.1),0.0337
省平均降水 (lag 1),-0.0277,0.4% (0.2–14.2),0.5963
R1xday (lag 1),-0.0418,19.8% (0.3–30.8),0.0545
PM2.5 (lag 1),0.0298,13.2% (0.3–58.4),0.4104
医疗水平 (lag 1),-0.1323,27.6% (0.8–54.5),0.067
GDP (lag 1),-0.2045,11.4% (0.9–61.0),0.1848
城市用水普及率 (lag 1),-0.0161,14.8% (0.4–26.1),0.1468
生活垃圾无害化处理率 (lag 1),-0.048*,5.6% (0.4–31.6),0.0273
抗菌药物使用强度 (lag 1),-0.0258,0.6% (0.2–20.7),0.0593
Province,Yes,,
Year,No,,
R² (within),0.49,..,..
Total number of observations,277,..,..
