Predictor,Coefficient,Dominance (95% CI),p value
省平均气温 (lag 1),0.0965,6.7% (0.5–32.1),0.4346
省平均降水 (lag 1),-0.1126,0.4% (0.2–14.2),0.4333
R1xday (lag 1),0.0772,19.8% (0.3–30.8),0.3016
PM2.5 (lag 1),0.0908,13.2% (0.3–58.4),0.236
医疗水平 (lag 1),0.1934,27.6% (0.8–54.5),0.107
GDP (lag 1),0.1884*,11.4% (0.9–61.0),0.0264
城市用水普及率 (lag 1),-0.0658,14.8% (0.4–26.1),0.1356
生活垃圾无害化处理率 (lag 1),0.0359,5.6% (0.4–31.6),0.2491
抗菌药物使用强度 (lag 1),0.116**,0.6% (0.2–20.7),0.0094
Province,No,,
Year,Yes,,
R² (within),-0.84,..,..
Total number of observations,277,..,..
