performance_rank,model_id,scheme,fe_label,performance_score,core_signal_score,fit_score,vif_score,core_positive_count,core_sig_count_p_lt_0_05,coef_R1xday,p_R1xday,coef_AMC,p_AMC,r2_model,r2_overall,r2_within,max_vif_z,sig_predictors_p_lt_0_05
1,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,Province: No / Year: Yes,0.8157105855330764,0.9096214469651854,0.5896598125678368,1.0,2,1,0.13437185131360752,0.05111765478361385,0.1282545796871254,0.003374069913059108,0.34506243530224867,0.22849366249959924,-0.3663079237838873,1.8204312093552335,"抗菌药物使用强度, GDP"
2,方案D_城市气候组 | Province: No / Year: Yes,方案D_城市气候组,Province: No / Year: Yes,0.7707138551301086,0.9548027668978476,0.5461161849910233,0.7495597263960949,2,1,0.15193942871593288,0.06318284980628941,0.11972247887301507,0.0011806010869692685,0.40823630672102384,0.19167875094747666,-0.6519288321175245,2.088800289798575,"主要城市平均气温, 抗菌药物使用强度, 建成区绿化覆盖率"
3,方案C_污染替代组 | Province: No / Year: Yes,方案C_污染替代组,Province: No / Year: Yes,0.6520655296384782,0.7237029861757829,0.623594725848649,0.5407051590617438,2,1,0.04800738050644008,0.33080614435478806,0.11191680859907785,0.002199189098312848,0.5319985844780206,0.2691553339232762,-0.6602411777329387,2.3320339747723744,"抗菌药物使用强度, 可支配收入, 建成区绿化覆盖率"
4,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,Province: No / Year: Yes,0.6413089969844742,0.9302854390287296,0.6362301412044169,0.0,2,2,0.15082462947594863,0.04260977529546306,0.13103410335157015,0.0033854032562117276,0.33381488269619486,0.27450319325592387,-0.18570875565219258,3.0544803429981098,"R1xday, 抗菌药物使用强度, GDP"
5,方案C_污染替代组 | Province: Yes / Year: No,方案C_污染替代组,Province: Yes / Year: No,0.49933076146456673,0.21550210775422482,0.8406108033223338,0.5407051590617438,1,0,0.008515509696639294,0.5086860566343412,-0.012531586241638049,0.44320834675431087,0.6065162176122294,-1.0702983009670732,0.6065162176122294,2.3320339747723744,"氮氧化物, 可支配收入"
6,方案F_低VIF主线组 | Province: Yes / Year: No,方案F_低VIF主线组,Province: Yes / Year: No,0.49170537174897444,0.0620456259697935,0.7536709716073354,1.0,1,0,-0.020746759239321337,0.3027448718698107,0.0025184379428203046,0.8951928006931316,0.45492413469619497,-0.7388651116610208,0.45492413469619497,1.8204312093552335,"PM2.5, GDP, 文盲比例, 牲畜饲养
-猪年底头数"
7,方案D_城市气候组 | Province: Yes / Year: No,方案D_城市气候组,Province: Yes / Year: No,0.46151355487821377,0.09756853276359215,0.7648450567296523,0.7495597263960949,0,0,-0.012698804314121709,0.5907332841301574,-0.009799850562819156,0.5996541858995363,0.48103262129942936,-0.8280040554616839,0.48103262129942936,2.088800289798575,"PM2.5, GDP, 文盲比例, 建成区绿化覆盖率"
8,方案F_低VIF主线组 | Province: Yes / Year: Yes,方案F_低VIF主线组,Province: Yes / Year: Yes,0.4570356896808963,0.21614442384979426,0.45648771128139676,1.0,1,0,-0.0034526550919808676,0.8453797987802627,0.009280731741281089,0.5173643895479167,0.02146626561808762,-0.20523606392089455,0.02331107036905078,1.8204312093552335,
9,方案D_城市气候组 | Province: Yes / Year: Yes,方案D_城市气候组,Province: Yes / Year: Yes,0.38398252550938566,0.18065215476139232,0.43650603025011464,0.7495597263960949,1,0,-0.009058381122007972,0.6041245926064742,0.009942843930565725,0.49400759180598897,0.03850650708528924,-0.09649089505392983,-0.13848519483518595,2.088800289798575,文盲比例
10,方案C_污染替代组 | Province: Yes / Year: Yes,方案C_污染替代组,Province: Yes / Year: Yes,0.3184168580189341,0.21367189157232902,0.3260670714258209,0.5407051590617438,1,0,-0.0036629465727787847,0.8331591567270551,0.0088852758885283,0.5236719241966408,0.042708683136510106,-0.5203389730594632,-0.37636928879668763,2.3320339747723744,
11,方案A_平衡主线组 | Province: Yes / Year: Yes,方案A_平衡主线组,Province: Yes / Year: Yes,0.2487485977562596,0.2169141857234815,0.43182061194483695,0.0,1,0,-0.0033076735002741846,0.8506875682706379,0.009284693212428191,0.5169604958523597,0.02121170476153822,-0.41801089234206,0.025957855983834377,3.0544803429981098,
12,方案A_平衡主线组 | Province: Yes / Year: No,方案A_平衡主线组,Province: Yes / Year: No,0.21650023215812486,0.060822464035969456,0.5403717809769675,0.0,1,0,-0.02061534864072511,0.30046007378939077,0.0023894493613464316,0.8999946302071218,0.45483673439440364,-2.537903005437283,0.45483673439440364,3.0544803429981098,"PM2.5, GDP, 文盲比例, 牲畜饲养
-猪年底头数"
