predictor,vif_raw,vif_z,abs_diff,scheme,fe_spec
省平均气温,13.921041779259275,3.0544803429981098,10.866561436261165,方案A_平衡主线组,NoYes_YearFE
R1xday,5.752002454096478,1.8728424201750355,3.8791600339214423,方案A_平衡主线组,NoYes_YearFE
PM2.5,2.698934422516393,1.281938384154805,1.4169960383615878,方案A_平衡主线组,NoYes_YearFE
抗菌药物使用强度,19.705869398867872,1.1184080686198545,18.58746133024802,方案A_平衡主线组,NoYes_YearFE
GDP,3.5058801826778945,1.4671611306008405,2.038719052077054,方案A_平衡主线组,NoYes_YearFE
文盲比例,3.8079513816114345,2.1476686067229984,1.6602827748884361,方案A_平衡主线组,NoYes_YearFE
人均日生活用水量(升),24.79698686970837,2.1519908531341967,22.644996016574172,方案A_平衡主线组,NoYes_YearFE
"牲畜饲养
-猪年底头数",3.2594933808764286,1.423843483051761,1.8356498978246676,方案A_平衡主线组,NoYes_YearFE
省平均气温,13.921041779259275,3.0544803429981098,10.866561436261165,方案A_平衡主线组,YesNo_EntityFE
R1xday,5.752002454096478,1.8728424201750355,3.8791600339214423,方案A_平衡主线组,YesNo_EntityFE
PM2.5,2.698934422516393,1.281938384154805,1.4169960383615878,方案A_平衡主线组,YesNo_EntityFE
抗菌药物使用强度,19.705869398867872,1.1184080686198545,18.58746133024802,方案A_平衡主线组,YesNo_EntityFE
GDP,3.5058801826778945,1.4671611306008405,2.038719052077054,方案A_平衡主线组,YesNo_EntityFE
文盲比例,3.8079513816114345,2.1476686067229984,1.6602827748884361,方案A_平衡主线组,YesNo_EntityFE
人均日生活用水量(升),24.79698686970837,2.1519908531341967,22.644996016574172,方案A_平衡主线组,YesNo_EntityFE
"牲畜饲养
-猪年底头数",3.2594933808764286,1.423843483051761,1.8356498978246676,方案A_平衡主线组,YesNo_EntityFE
省平均气温,13.921041779259275,3.0544803429981098,10.866561436261165,方案A_平衡主线组,YesYes_TwoWayFE
R1xday,5.752002454096478,1.8728424201750355,3.8791600339214423,方案A_平衡主线组,YesYes_TwoWayFE
PM2.5,2.698934422516393,1.281938384154805,1.4169960383615878,方案A_平衡主线组,YesYes_TwoWayFE
抗菌药物使用强度,19.705869398867872,1.1184080686198545,18.58746133024802,方案A_平衡主线组,YesYes_TwoWayFE
GDP,3.5058801826778945,1.4671611306008405,2.038719052077054,方案A_平衡主线组,YesYes_TwoWayFE
文盲比例,3.8079513816114345,2.1476686067229984,1.6602827748884361,方案A_平衡主线组,YesYes_TwoWayFE
人均日生活用水量(升),24.79698686970837,2.1519908531341967,22.644996016574172,方案A_平衡主线组,YesYes_TwoWayFE
"牲畜饲养
-猪年底头数",3.2594933808764286,1.423843483051761,1.8356498978246676,方案A_平衡主线组,YesYes_TwoWayFE
主要城市平均气温,19.5945621860568,2.088800289798575,17.505761896258225,方案D_城市气候组,NoYes_YearFE
R1xday,5.4948753507943335,1.791623146317484,3.7032522044768497,方案D_城市气候组,NoYes_YearFE
PM2.5,2.708535099827655,1.2270549824650117,1.4814801173626433,方案D_城市气候组,NoYes_YearFE
抗菌药物使用强度,39.774118879315125,1.117746582190352,38.656372297124776,方案D_城市气候组,NoYes_YearFE
GDP,3.527870694918759,1.607843842805735,1.9200268521130242,方案D_城市气候组,NoYes_YearFE
文盲比例,2.095762542885285,1.266330618929306,0.8294319239559789,方案D_城市气候组,NoYes_YearFE
建成区绿化覆盖率,47.23887966094942,1.4656798414088672,45.77319981954056,方案D_城市气候组,NoYes_YearFE
"牲畜饲养
-猪年底头数",3.329230646242044,1.4554435569569464,1.8737870892850974,方案D_城市气候组,NoYes_YearFE
主要城市平均气温,19.5945621860568,2.088800289798575,17.505761896258225,方案D_城市气候组,YesNo_EntityFE
R1xday,5.4948753507943335,1.791623146317484,3.7032522044768497,方案D_城市气候组,YesNo_EntityFE
PM2.5,2.708535099827655,1.2270549824650117,1.4814801173626433,方案D_城市气候组,YesNo_EntityFE
抗菌药物使用强度,39.774118879315125,1.117746582190352,38.656372297124776,方案D_城市气候组,YesNo_EntityFE
GDP,3.527870694918759,1.607843842805735,1.9200268521130242,方案D_城市气候组,YesNo_EntityFE
文盲比例,2.095762542885285,1.266330618929306,0.8294319239559789,方案D_城市气候组,YesNo_EntityFE
建成区绿化覆盖率,47.23887966094942,1.4656798414088672,45.77319981954056,方案D_城市气候组,YesNo_EntityFE
"牲畜饲养
-猪年底头数",3.329230646242044,1.4554435569569464,1.8737870892850974,方案D_城市气候组,YesNo_EntityFE
主要城市平均气温,19.5945621860568,2.088800289798575,17.505761896258225,方案D_城市气候组,YesYes_TwoWayFE
R1xday,5.4948753507943335,1.791623146317484,3.7032522044768497,方案D_城市气候组,YesYes_TwoWayFE
PM2.5,2.708535099827655,1.2270549824650117,1.4814801173626433,方案D_城市气候组,YesYes_TwoWayFE
抗菌药物使用强度,39.774118879315125,1.117746582190352,38.656372297124776,方案D_城市气候组,YesYes_TwoWayFE
GDP,3.527870694918759,1.607843842805735,1.9200268521130242,方案D_城市气候组,YesYes_TwoWayFE
文盲比例,2.095762542885285,1.266330618929306,0.8294319239559789,方案D_城市气候组,YesYes_TwoWayFE
建成区绿化覆盖率,47.23887966094942,1.4656798414088672,45.77319981954056,方案D_城市气候组,YesYes_TwoWayFE
"牲畜饲养
-猪年底头数",3.329230646242044,1.4554435569569464,1.8737870892850974,方案D_城市气候组,YesYes_TwoWayFE
TA（°C）,5.349541449218455,1.3316102376061323,4.017931211612322,方案F_低VIF主线组,NoYes_YearFE
R1xday,4.575282649248637,1.500670657544173,3.0746119917044634,方案F_低VIF主线组,NoYes_YearFE
PM2.5,2.9297709376031613,1.3659723919748685,1.5637985456282928,方案F_低VIF主线组,NoYes_YearFE
抗菌药物使用强度,32.637482426789795,1.1199543448510731,31.51752808193872,方案F_低VIF主线组,NoYes_YearFE
GDP,3.830015860199335,1.6200336328843818,2.2099822273149528,方案F_低VIF主线组,NoYes_YearFE
文盲比例,3.157205678667018,1.8204312093552335,1.3367744693117845,方案F_低VIF主线组,NoYes_YearFE
人均日生活用水量(升),17.91537040273335,1.8109445029631965,16.104425899770153,方案F_低VIF主线组,NoYes_YearFE
"牲畜饲养
-猪年底头数",3.1860051437520838,1.5724312115708523,1.6135739321812315,方案F_低VIF主线组,NoYes_YearFE
主要城市日照时数,14.87541540597748,1.7487183424881365,13.126697063489344,方案F_低VIF主线组,NoYes_YearFE
TA（°C）,5.349541449218455,1.3316102376061323,4.017931211612322,方案F_低VIF主线组,YesNo_EntityFE
R1xday,4.575282649248637,1.500670657544173,3.0746119917044634,方案F_低VIF主线组,YesNo_EntityFE
PM2.5,2.9297709376031613,1.3659723919748685,1.5637985456282928,方案F_低VIF主线组,YesNo_EntityFE
抗菌药物使用强度,32.637482426789795,1.1199543448510731,31.51752808193872,方案F_低VIF主线组,YesNo_EntityFE
GDP,3.830015860199335,1.6200336328843818,2.2099822273149528,方案F_低VIF主线组,YesNo_EntityFE
文盲比例,3.157205678667018,1.8204312093552335,1.3367744693117845,方案F_低VIF主线组,YesNo_EntityFE
人均日生活用水量(升),17.91537040273335,1.8109445029631965,16.104425899770153,方案F_低VIF主线组,YesNo_EntityFE
"牲畜饲养
-猪年底头数",3.1860051437520838,1.5724312115708523,1.6135739321812315,方案F_低VIF主线组,YesNo_EntityFE
主要城市日照时数,14.87541540597748,1.7487183424881365,13.126697063489344,方案F_低VIF主线组,YesNo_EntityFE
TA（°C）,5.349541449218455,1.3316102376061323,4.017931211612322,方案F_低VIF主线组,YesYes_TwoWayFE
R1xday,4.575282649248637,1.500670657544173,3.0746119917044634,方案F_低VIF主线组,YesYes_TwoWayFE
PM2.5,2.9297709376031613,1.3659723919748685,1.5637985456282928,方案F_低VIF主线组,YesYes_TwoWayFE
抗菌药物使用强度,32.637482426789795,1.1199543448510731,31.51752808193872,方案F_低VIF主线组,YesYes_TwoWayFE
GDP,3.830015860199335,1.6200336328843818,2.2099822273149528,方案F_低VIF主线组,YesYes_TwoWayFE
文盲比例,3.157205678667018,1.8204312093552335,1.3367744693117845,方案F_低VIF主线组,YesYes_TwoWayFE
