term_id,variable,effect_scope,posterior_mean,posterior_sd,crI_2_5,crI_97_5,prob_gt_0,variant_id,variant_label,model_id,scheme_id,scheme_source,fe_label,freq_coef_R1xday,freq_p_R1xday,freq_coef_AMC,freq_p_AMC
main__R1xday,R1xday,main,-0.02417574172142328,0.026541385796697486,-0.07584207530934775,0.026357279759482852,0.1865,province_only_amplification,Province-only amplification,SYS_09557 | Province: No / Year: Yes,SYS_09557,systematic,Province: No / Year: Yes,0.1784084705607142,0.0277135674869211,0.1166271193804089,0.0048884233852937
main__抗菌药物使用强度,抗菌药物使用强度,main,0.025338911011800518,0.020654316270017355,-0.014089838600840236,0.06611942056672061,0.89025,province_only_amplification,Province-only amplification,SYS_09557 | Province: No / Year: Yes,SYS_09557,systematic,Province: No / Year: Yes,0.1784084705607142,0.0277135674869211,0.1166271193804089,0.0048884233852937
main__TA（°C）,TA（°C）,main,-0.024045919075889124,0.019150084491724558,-0.062351030617988114,0.013143311488341101,0.107,province_only_amplification,Province-only amplification,SYS_09557 | Province: No / Year: Yes,SYS_09557,systematic,Province: No / Year: Yes,0.1784084705607142,0.0277135674869211,0.1166271193804089,0.0048884233852937
main__PM2.5,PM2.5,main,0.10695055351961298,0.027307530652458997,0.052502605194389755,0.1601000741445864,1.0,province_only_amplification,Province-only amplification,SYS_09557 | Province: No / Year: Yes,SYS_09557,systematic,Province: No / Year: Yes,0.1784084705607142,0.0277135674869211,0.1166271193804089,0.0048884233852937
main__GDP,GDP,main,-0.17650263164545524,0.06010938536863461,-0.29198865539624974,-0.057210330078751225,0.00125,province_only_amplification,Province-only amplification,SYS_09557 | Province: No / Year: Yes,SYS_09557,systematic,Province: No / Year: Yes,0.1784084705607142,0.0277135674869211,0.1166271193804089,0.0048884233852937
main__城市用水普及率,城市用水普及率,main,-0.058240288405341206,0.02501399853563099,-0.10858589709005327,-0.008551118630724473,0.01025,province_only_amplification,Province-only amplification,SYS_09557 | Province: No / Year: Yes,SYS_09557,systematic,Province: No / Year: Yes,0.1784084705607142,0.0277135674869211,0.1166271193804089,0.0048884233852937
main__牲畜饲养-猪年底头数,"牲畜饲养
-猪年底头数",main,0.14035464269431225,0.06742045817221223,0.004679290156152033,0.2718884855305483,0.97875,province_only_amplification,Province-only amplification,SYS_09557 | Province: No / Year: Yes,SYS_09557,systematic,Province: No / Year: Yes,0.1784084705607142,0.0277135674869211,0.1166271193804089,0.0048884233852937
main__主要城市降水量,主要城市降水量,main,-0.0003365406421335827,0.04111762748244997,-0.08376058220586183,0.08157114994654013,0.49325,province_only_amplification,Province-only amplification,SYS_09557 | Province: No / Year: Yes,SYS_09557,systematic,Province: No / Year: Yes,0.1784084705607142,0.0277135674869211,0.1166271193804089,0.0048884233852937
main__文盲比例,文盲比例,main,0.12088177445429615,0.032863469175190056,0.055732514641273385,0.18392668102613607,0.9995,province_only_amplification,Province-only amplification,SYS_09557 | Province: No / Year: Yes,SYS_09557,systematic,Province: No / Year: Yes,0.1784084705607142,0.0277135674869211,0.1166271193804089,0.0048884233852937
interaction__R1xday×抗菌药物使用强度,R1xday × 抗菌药物使用强度,interaction,0.037383884636605816,0.018802086404271254,0.0013177554767388898,0.07432268557483822,0.98,province_only_amplification,Province-only amplification,SYS_09557 | Province: No / Year: Yes,SYS_09557,systematic,Province: No / Year: Yes,0.1784084705607142,0.0277135674869211,0.1166271193804089,0.0048884233852937
