term_id,variable,effect_scope,posterior_mean,posterior_sd,crI_2_5,crI_97_5,prob_gt_0,variant_id,variant_label,model_id,scheme_id,scheme_source,fe_label,freq_coef_R1xday,freq_p_R1xday,freq_coef_AMC,freq_p_AMC
main__R1xday,R1xday,main,-0.003295778865795669,0.020045718915370478,-0.0421515823901312,0.03639447182995298,0.4284375,province_year_amplification,Province + year amplification,SYS_09556 | Province: No / Year: Yes,SYS_09556,systematic,Province: No / Year: Yes,0.1812432996167564,0.0218372297507352,0.1164206832956922,0.0054403730794863
main__抗菌药物使用强度,抗菌药物使用强度,main,0.012876683861646752,0.016490085390553775,-0.019403552839995394,0.04492750752090881,0.77875,province_year_amplification,Province + year amplification,SYS_09556 | Province: No / Year: Yes,SYS_09556,systematic,Province: No / Year: Yes,0.1812432996167564,0.0218372297507352,0.1164206832956922,0.0054403730794863
main__TA（°C）,TA（°C）,main,0.019015166941480123,0.018982849919346168,-0.017723405838599174,0.05601914947455434,0.8415625,province_year_amplification,Province + year amplification,SYS_09556 | Province: No / Year: Yes,SYS_09556,systematic,Province: No / Year: Yes,0.1812432996167564,0.0218372297507352,0.1164206832956922,0.0054403730794863
main__PM2.5,PM2.5,main,0.0039367471649212026,0.022912127212145004,-0.04241645797103211,0.05054679364902737,0.5765625,province_year_amplification,Province + year amplification,SYS_09556 | Province: No / Year: Yes,SYS_09556,systematic,Province: No / Year: Yes,0.1812432996167564,0.0218372297507352,0.1164206832956922,0.0054403730794863
main__GDP,GDP,main,0.033927636827302175,0.05024751428221896,-0.06579610795956378,0.12984559341747912,0.7553125,province_year_amplification,Province + year amplification,SYS_09556 | Province: No / Year: Yes,SYS_09556,systematic,Province: No / Year: Yes,0.1812432996167564,0.0218372297507352,0.1164206832956922,0.0054403730794863
main__城市用水普及率,城市用水普及率,main,0.0038144748543138774,0.021542209525046613,-0.038820164344682516,0.04630752460289362,0.57,province_year_amplification,Province + year amplification,SYS_09556 | Province: No / Year: Yes,SYS_09556,systematic,Province: No / Year: Yes,0.1812432996167564,0.0218372297507352,0.1164206832956922,0.0054403730794863
main__牲畜饲养-猪年底头数,"牲畜饲养
-猪年底头数",main,0.021892723672688793,0.0638613720556604,-0.10248154782705175,0.1421848593612585,0.6296875,province_year_amplification,Province + year amplification,SYS_09556 | Province: No / Year: Yes,SYS_09556,systematic,Province: No / Year: Yes,0.1812432996167564,0.0218372297507352,0.1164206832956922,0.0054403730794863
main__主要城市降水量,主要城市降水量,main,-0.010241904864380213,0.03267935129243372,-0.07552021772302114,0.05328939992150537,0.375625,province_year_amplification,Province + year amplification,SYS_09556 | Province: No / Year: Yes,SYS_09556,systematic,Province: No / Year: Yes,0.1812432996167564,0.0218372297507352,0.1164206832956922,0.0054403730794863
main__食品消费量,食品消费量,main,-0.028714570026327994,0.02553374839762356,-0.07788594960229377,0.0197405708500982,0.131875,province_year_amplification,Province + year amplification,SYS_09556 | Province: No / Year: Yes,SYS_09556,systematic,Province: No / Year: Yes,0.1812432996167564,0.0218372297507352,0.1164206832956922,0.0054403730794863
interaction__R1xday×抗菌药物使用强度,R1xday × 抗菌药物使用强度,interaction,0.01727538749722595,0.014620905040403578,-0.011870090128977278,0.0458235493672411,0.8859375,province_year_amplification,Province + year amplification,SYS_09556 | Province: No / Year: Yes,SYS_09556,systematic,Province: No / Year: Yes,0.1812432996167564,0.0218372297507352,0.1164206832956922,0.0054403730794863
