parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,effect_scope,variable,variant_id,variant_label,model_id,scheme_id,scheme_source,fe_label
alpha,0.014,0.113,-0.205,0.233,0.005,0.003,520.0,987.0,1.01,global,,province_only_amplification,Province-only amplification,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes
beta_main[R1xday],-0.013,0.025,-0.062,0.035,0.0,0.0,2778.0,2775.0,1.0,main,R1xday,province_only_amplification,Province-only amplification,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes
beta_main[抗菌药物使用强度],0.019,0.019,-0.016,0.059,0.0,0.0,3212.0,2923.0,1.0,main,抗菌药物使用强度,province_only_amplification,Province-only amplification,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes
beta_main[TA（°C）],0.006,0.019,-0.034,0.04,0.0,0.0,3263.0,2615.0,1.0,main,TA（°C）,province_only_amplification,Province-only amplification,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes
beta_main[PM2.5],0.085,0.026,0.033,0.134,0.0,0.0,2808.0,2878.0,1.0,main,PM2.5,province_only_amplification,Province-only amplification,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes
beta_main[医疗水平],-0.202,0.031,-0.259,-0.136,0.001,0.001,2491.0,2464.0,1.0,main,医疗水平,province_only_amplification,Province-only amplification,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes
beta_main[生活垃圾无害化处理率],-0.06,0.019,-0.097,-0.021,0.0,0.0,2872.0,2668.0,1.0,main,生活垃圾无害化处理率,province_only_amplification,Province-only amplification,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes
"beta_main[牲畜饲养
-猪年底头数]",0.15,0.063,0.027,0.273,0.002,0.001,1647.0,2197.0,1.0,main,"牲畜饲养
-猪年底头数",province_only_amplification,Province-only amplification,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes
beta_main[PA（%）],0.005,0.016,-0.028,0.036,0.0,0.0,3327.0,2831.0,1.0,main,PA（%）,province_only_amplification,Province-only amplification,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes
beta_main[食品消费量],0.016,0.029,-0.039,0.074,0.001,0.001,2441.0,2563.0,1.0,main,食品消费量,province_only_amplification,Province-only amplification,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes
beta_interaction[R1xday × 抗菌药物使用强度],0.034,0.017,0.0,0.068,0.0,0.0,3046.0,2727.0,1.0,interaction,R1xday × 抗菌药物使用强度,province_only_amplification,Province-only amplification,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes
sigma_residual,0.23,0.01,0.212,0.25,0.0,0.0,2891.0,2613.0,1.0,global,,province_only_amplification,Province-only amplification,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes
sigma_province,0.608,0.082,0.45,0.766,0.003,0.002,959.0,1589.0,1.0,global,,province_only_amplification,Province-only amplification,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes
