term_id,variable,effect_scope,posterior_mean,posterior_sd,crI_2_5,crI_97_5,prob_gt_0,variant_id,variant_label,model_id,scheme_id,scheme_source,fe_label,freq_coef_R1xday,freq_p_R1xday,freq_coef_AMC,freq_p_AMC
main__R1xday,R1xday,main,-0.012407414529943078,0.024942817765652048,-0.06030830848486673,0.036986731605132495,0.307,province_only_amplification,Province-only amplification,SYS_09941 | Province: No / Year: Yes,SYS_09941,systematic,Province: No / Year: Yes,0.143485217770118,0.0486297390672487,0.1222713898553088,0.0074355577127309
main__抗菌药物使用强度,抗菌药物使用强度,main,0.008806801279144644,0.01932612669813396,-0.02970761507306423,0.046204565216435116,0.6775,province_only_amplification,Province-only amplification,SYS_09941 | Province: No / Year: Yes,SYS_09941,systematic,Province: No / Year: Yes,0.143485217770118,0.0486297390672487,0.1222713898553088,0.0074355577127309
main__TA（°C）,TA（°C）,main,0.0058332879602908776,0.018974065488548426,-0.03083505047797788,0.04231959224930044,0.61725,province_only_amplification,Province-only amplification,SYS_09941 | Province: No / Year: Yes,SYS_09941,systematic,Province: No / Year: Yes,0.143485217770118,0.0486297390672487,0.1222713898553088,0.0074355577127309
main__PM2.5,PM2.5,main,0.0850612126490315,0.02589329503275093,0.033132334356430294,0.13609519465224515,0.9995,province_only_amplification,Province-only amplification,SYS_09941 | Province: No / Year: Yes,SYS_09941,systematic,Province: No / Year: Yes,0.143485217770118,0.0486297390672487,0.1222713898553088,0.0074355577127309
main__医疗水平,医疗水平,main,-0.2351845140544784,0.030354874133476168,-0.2953397035140824,-0.1763116817585885,0.0,province_only_amplification,Province-only amplification,SYS_09941 | Province: No / Year: Yes,SYS_09941,systematic,Province: No / Year: Yes,0.143485217770118,0.0486297390672487,0.1222713898553088,0.0074355577127309
main__城市用水普及率,城市用水普及率,main,-0.020463069756189296,0.025586166246760716,-0.07009318382966125,0.03005367885178459,0.2005,province_only_amplification,Province-only amplification,SYS_09941 | Province: No / Year: Yes,SYS_09941,systematic,Province: No / Year: Yes,0.143485217770118,0.0486297390672487,0.1222713898553088,0.0074355577127309
main__牲畜饲养-猪年底头数,"牲畜饲养
-猪年底头数",main,0.1312211944708783,0.06307930078477213,0.009874837825788225,0.25773333242934804,0.9825,province_only_amplification,Province-only amplification,SYS_09941 | Province: No / Year: Yes,SYS_09941,systematic,Province: No / Year: Yes,0.143485217770118,0.0486297390672487,0.1222713898553088,0.0074355577127309
main__PA（%）,PA（%）,main,-0.002458513322846096,0.01601509616400003,-0.03301852724949114,0.028984668616360554,0.43625,province_only_amplification,Province-only amplification,SYS_09941 | Province: No / Year: Yes,SYS_09941,systematic,Province: No / Year: Yes,0.143485217770118,0.0486297390672487,0.1222713898553088,0.0074355577127309
main__食品消费量,食品消费量,main,0.024937777627808973,0.02873502722327038,-0.0316706186703893,0.08077059339163647,0.80625,province_only_amplification,Province-only amplification,SYS_09941 | Province: No / Year: Yes,SYS_09941,systematic,Province: No / Year: Yes,0.143485217770118,0.0486297390672487,0.1222713898553088,0.0074355577127309
interaction__R1xday×抗菌药物使用强度,R1xday × 抗菌药物使用强度,interaction,0.030010653087381652,0.01776110465299582,-0.004492006280229228,0.0640046911285962,0.9535,province_only_amplification,Province-only amplification,SYS_09941 | Province: No / Year: Yes,SYS_09941,systematic,Province: No / Year: Yes,0.143485217770118,0.0486297390672487,0.1222713898553088,0.0074355577127309
