term_id,variable,effect_scope,posterior_mean,posterior_sd,crI_2_5,crI_97_5,prob_gt_0,variant_id,variant_label,model_id,scheme_id,scheme_source,fe_label,freq_coef_R1xday,freq_p_R1xday,freq_coef_AMC,freq_p_AMC
main__R1xday,R1xday,main,0.13452380588113802,0.031448394508945265,0.07174157896257254,0.19658277602391727,1.0,year_only_amplification,Year-only amplification,SYS_09941 | Province: No / Year: Yes,SYS_09941,systematic,Province: No / Year: Yes,0.143485217770118,0.0486297390672487,0.1222713898553088,0.0074355577127309
main__抗菌药物使用强度,抗菌药物使用强度,main,0.1159356752614836,0.027272772937198514,0.06176235685150715,0.16870950258722517,1.0,year_only_amplification,Year-only amplification,SYS_09941 | Province: No / Year: Yes,SYS_09941,systematic,Province: No / Year: Yes,0.143485217770118,0.0486297390672487,0.1222713898553088,0.0074355577127309
main__TA（°C）,TA（°C）,main,0.12313961589727086,0.0367992659496113,0.04940389131663869,0.19442324053638269,0.999,year_only_amplification,Year-only amplification,SYS_09941 | Province: No / Year: Yes,SYS_09941,systematic,Province: No / Year: Yes,0.143485217770118,0.0486297390672487,0.1222713898553088,0.0074355577127309
main__PM2.5,PM2.5,main,0.10873463317451744,0.032252525739237446,0.04615056111508337,0.17248145942123785,1.0,year_only_amplification,Year-only amplification,SYS_09941 | Province: No / Year: Yes,SYS_09941,systematic,Province: No / Year: Yes,0.143485217770118,0.0486297390672487,0.1222713898553088,0.0074355577127309
main__医疗水平,医疗水平,main,0.28267419457825577,0.0387035710378489,0.20664785218540233,0.3571761543870493,1.0,year_only_amplification,Year-only amplification,SYS_09941 | Province: No / Year: Yes,SYS_09941,systematic,Province: No / Year: Yes,0.143485217770118,0.0486297390672487,0.1222713898553088,0.0074355577127309
main__城市用水普及率,城市用水普及率,main,0.04482996256877526,0.030970171697117486,-0.016559267588486824,0.10378290940416379,0.927,year_only_amplification,Year-only amplification,SYS_09941 | Province: No / Year: Yes,SYS_09941,systematic,Province: No / Year: Yes,0.143485217770118,0.0486297390672487,0.1222713898553088,0.0074355577127309
main__牲畜饲养-猪年底头数,"牲畜饲养
-猪年底头数",main,0.19440579210422249,0.027788349061775363,0.13878846644703766,0.24891783491993374,1.0,year_only_amplification,Year-only amplification,SYS_09941 | Province: No / Year: Yes,SYS_09941,systematic,Province: No / Year: Yes,0.143485217770118,0.0486297390672487,0.1222713898553088,0.0074355577127309
main__PA（%）,PA（%）,main,0.01911712036300057,0.02901147867177471,-0.038671042240311544,0.0768107256979907,0.7455,year_only_amplification,Year-only amplification,SYS_09941 | Province: No / Year: Yes,SYS_09941,systematic,Province: No / Year: Yes,0.143485217770118,0.0486297390672487,0.1222713898553088,0.0074355577127309
main__食品消费量,食品消费量,main,-0.0031481785319276297,0.03258322468827473,-0.06731825058913644,0.058543867890614734,0.467,year_only_amplification,Year-only amplification,SYS_09941 | Province: No / Year: Yes,SYS_09941,systematic,Province: No / Year: Yes,0.143485217770118,0.0486297390672487,0.1222713898553088,0.0074355577127309
interaction__R1xday×抗菌药物使用强度,R1xday × 抗菌药物使用强度,interaction,0.004630524028305636,0.027275556235817157,-0.04807571649633675,0.057562408288619256,0.56525,year_only_amplification,Year-only amplification,SYS_09941 | Province: No / Year: Yes,SYS_09941,systematic,Province: No / Year: Yes,0.143485217770118,0.0486297390672487,0.1222713898553088,0.0074355577127309
