parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,effect_scope,variable,variant_id,variant_label,model_id,scheme_id,scheme_source,fe_label
alpha,0.006,0.089,-0.163,0.183,0.003,0.002,1152.0,1749.0,1.0,global,,province_year_additive,Province + year additive,SYS_10002 | Province: No / Year: Yes,SYS_10002,systematic,Province: No / Year: Yes
beta_main[R1xday],-0.001,0.02,-0.041,0.036,0.0,0.0,4491.0,2418.0,1.0,main,R1xday,province_year_additive,Province + year additive,SYS_10002 | Province: No / Year: Yes,SYS_10002,systematic,Province: No / Year: Yes
beta_main[抗菌药物使用强度],0.008,0.016,-0.023,0.039,0.0,0.0,4128.0,2139.0,1.0,main,抗菌药物使用强度,province_year_additive,Province + year additive,SYS_10002 | Province: No / Year: Yes,SYS_10002,systematic,Province: No / Year: Yes
beta_main[TA（°C）],0.026,0.018,-0.009,0.062,0.0,0.0,4265.0,2601.0,1.0,main,TA（°C）,province_year_additive,Province + year additive,SYS_10002 | Province: No / Year: Yes,SYS_10002,systematic,Province: No / Year: Yes
beta_main[PM2.5],0.005,0.022,-0.037,0.048,0.0,0.0,4319.0,1969.0,1.0,main,PM2.5,province_year_additive,Province + year additive,SYS_10002 | Province: No / Year: Yes,SYS_10002,systematic,Province: No / Year: Yes
beta_main[医疗水平],0.122,0.05,0.028,0.225,0.001,0.001,3155.0,2379.0,1.0,main,医疗水平,province_year_additive,Province + year additive,SYS_10002 | Province: No / Year: Yes,SYS_10002,systematic,Province: No / Year: Yes
"beta_main[饮用水
供水综合生产能力(万立方米/日)]",-0.007,0.05,-0.101,0.09,0.001,0.001,2689.0,2270.0,1.0,main,"饮用水
供水综合生产能力(万立方米/日)",province_year_additive,Province + year additive,SYS_10002 | Province: No / Year: Yes,SYS_10002,systematic,Province: No / Year: Yes
"beta_main[牲畜饲养
-猪年底头数]",0.023,0.062,-0.089,0.158,0.001,0.001,1845.0,1943.0,1.0,main,"牲畜饲养
-猪年底头数",province_year_additive,Province + year additive,SYS_10002 | Province: No / Year: Yes,SYS_10002,systematic,Province: No / Year: Yes
beta_main[文盲比例],0.024,0.035,-0.047,0.089,0.001,0.001,3537.0,2617.0,1.0,main,文盲比例,province_year_additive,Province + year additive,SYS_10002 | Province: No / Year: Yes,SYS_10002,systematic,Province: No / Year: Yes
sigma_residual,0.185,0.008,0.169,0.201,0.0,0.0,3319.0,2278.0,1.0,global,,province_year_additive,Province + year additive,SYS_10002 | Province: No / Year: Yes,SYS_10002,systematic,Province: No / Year: Yes
sigma_province,0.504,0.077,0.371,0.666,0.003,0.002,861.0,1464.0,1.0,global,,province_year_additive,Province + year additive,SYS_10002 | Province: No / Year: Yes,SYS_10002,systematic,Province: No / Year: Yes
