parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,effect_scope,variable,variant_id,variant_label,model_id,scheme_id,scheme_source,fe_label
alpha,0.009,0.024,-0.036,0.058,0.0,0.0,4255.0,2125.0,1.0,global,,year_only_additive,Year-only additive,SYS_10002 | Province: No / Year: Yes,SYS_10002,systematic,Province: No / Year: Yes
beta_main[R1xday],0.122,0.03,0.067,0.182,0.001,0.0,2964.0,2530.0,1.0,main,R1xday,year_only_additive,Year-only additive,SYS_10002 | Province: No / Year: Yes,SYS_10002,systematic,Province: No / Year: Yes
beta_main[抗菌药物使用强度],0.094,0.029,0.037,0.149,0.0,0.001,3337.0,2437.0,1.0,main,抗菌药物使用强度,year_only_additive,Year-only additive,SYS_10002 | Province: No / Year: Yes,SYS_10002,systematic,Province: No / Year: Yes
beta_main[TA（°C）],0.099,0.035,0.026,0.165,0.001,0.001,3159.0,2415.0,1.0,main,TA（°C）,year_only_additive,Year-only additive,SYS_10002 | Province: No / Year: Yes,SYS_10002,systematic,Province: No / Year: Yes
beta_main[PM2.5],0.099,0.032,0.036,0.16,0.001,0.001,3020.0,2514.0,1.0,main,PM2.5,year_only_additive,Year-only additive,SYS_10002 | Province: No / Year: Yes,SYS_10002,systematic,Province: No / Year: Yes
beta_main[医疗水平],0.257,0.037,0.185,0.327,0.001,0.001,3224.0,2743.0,1.0,main,医疗水平,year_only_additive,Year-only additive,SYS_10002 | Province: No / Year: Yes,SYS_10002,systematic,Province: No / Year: Yes
"beta_main[饮用水
供水综合生产能力(万立方米/日)]",0.08,0.027,0.022,0.128,0.0,0.0,3603.0,2349.0,1.0,main,"饮用水
供水综合生产能力(万立方米/日)",year_only_additive,Year-only additive,SYS_10002 | Province: No / Year: Yes,SYS_10002,systematic,Province: No / Year: Yes
"beta_main[牲畜饲养
-猪年底头数]",0.155,0.027,0.101,0.205,0.0,0.0,3043.0,2140.0,1.0,main,"牲畜饲养
-猪年底头数",year_only_additive,Year-only additive,SYS_10002 | Province: No / Year: Yes,SYS_10002,systematic,Province: No / Year: Yes
beta_main[文盲比例],-0.036,0.031,-0.095,0.023,0.001,0.001,2788.0,2524.0,1.0,main,文盲比例,year_only_additive,Year-only additive,SYS_10002 | Province: No / Year: Yes,SYS_10002,systematic,Province: No / Year: Yes
sigma_residual,0.413,0.017,0.38,0.447,0.0,0.0,3202.0,2179.0,1.0,global,,year_only_additive,Year-only additive,SYS_10002 | Province: No / Year: Yes,SYS_10002,systematic,Province: No / Year: Yes
