term_id,variable,effect_scope,posterior_mean,posterior_sd,crI_2_5,crI_97_5,prob_gt_0,variant_id,variant_label,model_id,scheme_id,scheme_source,fe_label,freq_coef_R1xday,freq_p_R1xday,freq_coef_AMC,freq_p_AMC
main__R1xday,R1xday,main,-0.009823652199182737,0.023220992223044776,-0.0561649088313629,0.03495244374940208,0.329375,province_only_additive,Province-only additive,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes,0.1343718513136075,0.0511176547836138,0.1282545796871254,0.0033740699130591
main__抗菌药物使用强度,抗菌药物使用强度,main,0.020205249114004138,0.020837135307831742,-0.020007981095101043,0.06110051608156643,0.8371875,province_only_additive,Province-only additive,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes,0.1343718513136075,0.0511176547836138,0.1282545796871254,0.0033740699130591
interaction__R1xday×抗菌药物使用强度,R1xday × 抗菌药物使用强度,interaction,0.032239675047832754,0.018111456549165204,-0.005139132177437637,0.06791883301489555,0.963125,province_only_amplification,Province-only amplification,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes,0.1343718513136075,0.0511176547836138,0.1282545796871254,0.0033740699130591
main__R1xday,R1xday,main,-0.024814641659032962,0.025015728149216935,-0.07438945442969572,0.02315284368889114,0.159375,province_only_amplification,Province-only amplification,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes,0.1343718513136075,0.0511176547836138,0.1282545796871254,0.0033740699130591
main__抗菌药物使用强度,抗菌药物使用强度,main,0.026058474593693134,0.021119866269100476,-0.014902322902557165,0.0680908154616021,0.894375,province_only_amplification,Province-only amplification,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes,0.1343718513136075,0.0511176547836138,0.1282545796871254,0.0033740699130591
main__R1xday,R1xday,main,0.0034155298254027783,0.018808902442233422,-0.03192000843336385,0.040199802401182934,0.559375,province_year_additive,Province + year additive,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes,0.1343718513136075,0.0511176547836138,0.1282545796871254,0.0033740699130591
main__抗菌药物使用强度,抗菌药物使用强度,main,0.009866307696933066,0.016166857438868847,-0.021508398395740667,0.04177695698893498,0.7240625,province_year_additive,Province + year additive,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes,0.1343718513136075,0.0511176547836138,0.1282545796871254,0.0033740699130591
interaction__R1xday×抗菌药物使用强度,R1xday × 抗菌药物使用强度,interaction,0.01925625360158781,0.01450479297022663,-0.009169439745827932,0.0475030211826505,0.91125,province_year_amplification,Province + year amplification,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes,0.1343718513136075,0.0511176547836138,0.1282545796871254,0.0033740699130591
main__R1xday,R1xday,main,-0.006430569467474735,0.020086776068651314,-0.04603614373010796,0.03255874816323822,0.37375,province_year_amplification,Province + year amplification,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes,0.1343718513136075,0.0511176547836138,0.1282545796871254,0.0033740699130591
main__抗菌药物使用强度,抗菌药物使用强度,main,0.01364559906834084,0.01623416061085535,-0.019591138786807048,0.045619595665376454,0.8053125,province_year_amplification,Province + year amplification,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes,0.1343718513136075,0.0511176547836138,0.1282545796871254,0.0033740699130591
