variant_id,variant_label,model_id,scheme_id,scheme_source,fe_label,freq_coef_R1xday,freq_p_R1xday,freq_coef_AMC,freq_p_AMC,main_R1xday_posterior_mean,main_R1xday_crI_2_5,main_R1xday_crI_97_5,main_R1xday_prob_gt_0,main_AMC_posterior_mean,main_AMC_crI_2_5,main_AMC_crI_97_5,main_AMC_prob_gt_0,interaction_R1xday_x_AMC_posterior_mean,interaction_R1xday_x_AMC_crI_2_5,interaction_R1xday_x_AMC_crI_97_5,interaction_R1xday_x_AMC_prob_gt_0
province_only_additive,Province-only additive,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,0.1508246294759486,0.042609775295463,0.1310341033515701,0.0033854032562117,-0.009963212668590215,-0.05579037890017483,0.036283559232215434,0.33725,0.01672594274199625,-0.024670172165544634,0.05642045016266278,0.791,,,,
province_only_additive,Province-only additive,方案A_平衡主线组 | Province: Yes / Year: Yes,方案A_平衡主线组,curated,Province: Yes / Year: Yes,-0.0033076735002741,0.8506875682706379,0.0092846932124281,0.5169604958523597,-0.009963212668590215,-0.05579037890017483,0.036283559232215434,0.33725,0.01672594274199625,-0.024670172165544634,0.05642045016266278,0.791,,,,
province_only_amplification,Province-only amplification,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,0.1508246294759486,0.042609775295463,0.1310341033515701,0.0033854032562117,-0.027792322507375063,-0.07700347380912853,0.022927233175095506,0.13725,0.023596149621496067,-0.018154972484992073,0.06512912927928637,0.874,0.03663892036737081,0.001734638509397334,0.073539028980403,0.98075
province_only_amplification,Province-only amplification,方案A_平衡主线组 | Province: Yes / Year: Yes,方案A_平衡主线组,curated,Province: Yes / Year: Yes,-0.0033076735002741,0.8506875682706379,0.0092846932124281,0.5169604958523597,-0.027792322507375063,-0.07700347380912853,0.022927233175095506,0.13725,0.023596149621496067,-0.018154972484992073,0.06512912927928637,0.874,0.03663892036737081,0.001734638509397334,0.073539028980403,0.98075
province_year_additive,Province + year additive,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,0.1508246294759486,0.042609775295463,0.1310341033515701,0.0033854032562117,-0.0012170677412088288,-0.03816629788774371,0.035736865519534616,0.48125,0.009409898593669202,-0.022747218586983923,0.0415133200281571,0.71925,,,,
province_year_additive,Province + year additive,方案A_平衡主线组 | Province: Yes / Year: Yes,方案A_平衡主线组,curated,Province: Yes / Year: Yes,-0.0033076735002741,0.8506875682706379,0.0092846932124281,0.5169604958523597,-0.0012170677412088288,-0.03816629788774371,0.035736865519534616,0.48125,0.009409898593669202,-0.022747218586983923,0.0415133200281571,0.71925,,,,
province_year_amplification,Province + year amplification,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,0.1508246294759486,0.042609775295463,0.1310341033515701,0.0033854032562117,-0.010894296975029704,-0.048763549648838604,0.0272903013446436,0.29375,0.01327137601747953,-0.018751013001117804,0.04581320358387499,0.79425,0.020353264708765046,-0.008251463730812394,0.048668871006330175,0.91975
province_year_amplification,Province + year amplification,方案A_平衡主线组 | Province: Yes / Year: Yes,方案A_平衡主线组,curated,Province: Yes / Year: Yes,-0.0033076735002741,0.8506875682706379,0.0092846932124281,0.5169604958523597,-0.010894296975029704,-0.048763549648838604,0.0272903013446436,0.29375,0.01327137601747953,-0.018751013001117804,0.04581320358387499,0.79425,0.020353264708765046,-0.008251463730812394,0.048668871006330175,0.91975
year_only_additive,Year-only additive,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,0.1508246294759486,0.042609775295463,0.1310341033515701,0.0033854032562117,0.11896078078609658,0.044160044949186496,0.19217566301821773,0.999,0.10589463261900832,0.04953127093416641,0.16369500118530037,1.0,,,,
year_only_additive,Year-only additive,方案A_平衡主线组 | Province: Yes / Year: Yes,方案A_平衡主线组,curated,Province: Yes / Year: Yes,-0.0033076735002741,0.8506875682706379,0.0092846932124281,0.5169604958523597,0.11896078078609658,0.044160044949186496,0.19217566301821773,0.999,0.10589463261900832,0.04953127093416641,0.16369500118530037,1.0,,,,
year_only_amplification,Year-only amplification,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,0.1508246294759486,0.042609775295463,0.1310341033515701,0.0033854032562117,0.10615811104256515,0.028786898488772264,0.18395087576226615,0.99625,0.11165415488153128,0.0551215870912852,0.1682259018932311,1.0,0.030357699897604645,-0.025434785172883726,0.08664439312826676,0.8475
year_only_amplification,Year-only amplification,方案A_平衡主线组 | Province: Yes / Year: Yes,方案A_平衡主线组,curated,Province: Yes / Year: Yes,-0.0033076735002741,0.8506875682706379,0.0092846932124281,0.5169604958523597,0.10615811104256515,0.028786898488772264,0.18395087576226615,0.99625,0.11165415488153128,0.0551215870912852,0.1682259018932311,1.0,0.030357699897604645,-0.025434785172883726,0.08664439312826676,0.8475
province_only_additive,Province-only additive,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes,0.1343718513136075,0.0511176547836138,0.1282545796871254,0.0033740699130591,-0.009927973645957325,-0.05570638124023256,0.03590715882105294,0.328,0.020061873390348244,-0.019879421654002184,0.06032221897625905,0.832,,,,
province_only_amplification,Province-only amplification,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes,0.1343718513136075,0.0511176547836138,0.1282545796871254,0.0033740699130591,-0.02582800815520361,-0.0750204029425834,0.02371537107680046,0.1505,0.025993730516327838,-0.01549891195666004,0.06635541357887918,0.89,0.032557260564498265,-0.0047759278063018015,0.06968208994188957,0.9545
province_year_additive,Province + year additive,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes,0.1343718513136075,0.0511176547836138,0.1282545796871254,0.0033740699130591,0.003043079515621432,-0.034230634098480525,0.03990023316430451,0.556,0.009644763654175468,-0.0229968094698719,0.043100662934877236,0.7215,,,,
