parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,effect_scope,variable,variant_id,variant_label,model_id,scheme_id,scheme_source,fe_label
alpha,0.008,0.095,-0.173,0.202,0.003,0.002,1413.0,1715.0,1.0,global,,province_year_amplification,Province + year amplification,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes
beta_main[省平均气温],0.129,0.101,-0.054,0.336,0.002,0.002,1784.0,2440.0,1.0,main,省平均气温,province_year_amplification,Province + year amplification,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes
beta_main[R1xday],-0.011,0.02,-0.049,0.027,0.0,0.0,5606.0,2725.0,1.0,main,R1xday,province_year_amplification,Province + year amplification,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes
beta_main[PM2.5],0.01,0.022,-0.03,0.054,0.0,0.0,5458.0,2979.0,1.0,main,PM2.5,province_year_amplification,Province + year amplification,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes
beta_main[抗菌药物使用强度],0.013,0.016,-0.019,0.046,0.0,0.0,5402.0,3083.0,1.0,main,抗菌药物使用强度,province_year_amplification,Province + year amplification,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes
beta_main[GDP],0.029,0.05,-0.071,0.124,0.001,0.001,3239.0,2915.0,1.0,main,GDP,province_year_amplification,Province + year amplification,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes
beta_main[文盲比例],0.032,0.038,-0.039,0.109,0.001,0.001,4120.0,2826.0,1.0,main,文盲比例,province_year_amplification,Province + year amplification,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes
beta_main[人均日生活用水量(升)],0.011,0.04,-0.068,0.086,0.001,0.001,4519.0,2859.0,1.0,main,人均日生活用水量(升),province_year_amplification,Province + year amplification,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes
"beta_main[牲畜饲养
-猪年底头数]",-0.001,0.063,-0.126,0.122,0.001,0.001,2372.0,2864.0,1.0,main,"牲畜饲养
-猪年底头数",province_year_amplification,Province + year amplification,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes
beta_interaction[R1xday × 抗菌药物使用强度],0.02,0.015,-0.008,0.049,0.0,0.0,5677.0,3275.0,1.0,interaction,R1xday × 抗菌药物使用强度,province_year_amplification,Province + year amplification,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes
sigma_residual,0.187,0.008,0.171,0.203,0.0,0.0,4467.0,3125.0,1.0,global,,province_year_amplification,Province + year amplification,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes
sigma_province,0.521,0.076,0.384,0.673,0.002,0.002,1157.0,1497.0,1.0,global,,province_year_amplification,Province + year amplification,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes
