parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,effect_scope,variable,variant_id,variant_label,model_id,scheme_id,scheme_source,fe_label
alpha,0.009,0.025,-0.042,0.054,0.0,0.0,4191.0,2727.0,1.0,global,,year_only_additive,Year-only additive,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes
beta_main[省平均气温],0.002,0.043,-0.082,0.083,0.001,0.001,2705.0,2700.0,1.0,main,省平均气温,year_only_additive,Year-only additive,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes
beta_main[R1xday],0.119,0.038,0.042,0.189,0.001,0.001,2951.0,2879.0,1.0,main,R1xday,year_only_additive,Year-only additive,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes
beta_main[PM2.5],0.002,0.035,-0.067,0.067,0.001,0.001,3291.0,2895.0,1.0,main,PM2.5,year_only_additive,Year-only additive,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes
beta_main[抗菌药物使用强度],0.106,0.029,0.047,0.16,0.0,0.0,4335.0,2921.0,1.0,main,抗菌药物使用强度,year_only_additive,Year-only additive,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes
beta_main[GDP],0.177,0.032,0.118,0.24,0.001,0.0,3955.0,3056.0,1.0,main,GDP,year_only_additive,Year-only additive,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes
beta_main[文盲比例],-0.096,0.032,-0.153,-0.031,0.0,0.0,3992.0,2889.0,1.0,main,文盲比例,year_only_additive,Year-only additive,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes
beta_main[人均日生活用水量(升)],-0.125,0.036,-0.201,-0.061,0.001,0.001,3129.0,3063.0,1.0,main,人均日生活用水量(升),year_only_additive,Year-only additive,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes
"beta_main[牲畜饲养
-猪年底头数]",0.064,0.03,0.006,0.123,0.001,0.001,3177.0,2957.0,1.0,main,"牲畜饲养
-猪年底头数",year_only_additive,Year-only additive,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes
sigma_residual,0.437,0.018,0.401,0.473,0.0,0.0,3995.0,2575.0,1.0,global,,year_only_additive,Year-only additive,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes
