parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,effect_scope,variable,variant_id,variant_label,model_id,scheme_id,scheme_source,fe_label
alpha,0.006,0.121,-0.233,0.241,0.004,0.003,743.0,1119.0,1.01,global,,province_only_additive,Province-only additive,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes
beta_main[TA（°C）],-0.029,0.02,-0.067,0.011,0.0,0.0,3736.0,2564.0,1.0,main,TA（°C）,province_only_additive,Province-only additive,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes
beta_main[R1xday],-0.01,0.023,-0.053,0.038,0.0,0.0,4245.0,2744.0,1.0,main,R1xday,province_only_additive,Province-only additive,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes
beta_main[PM2.5],0.111,0.028,0.056,0.164,0.0,0.0,3247.0,2628.0,1.0,main,PM2.5,province_only_additive,Province-only additive,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes
beta_main[抗菌药物使用强度],0.02,0.021,-0.02,0.06,0.0,0.0,3549.0,2502.0,1.0,main,抗菌药物使用强度,province_only_additive,Province-only additive,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes
beta_main[GDP],-0.187,0.06,-0.308,-0.075,0.001,0.001,2134.0,2247.0,1.0,main,GDP,province_only_additive,Province-only additive,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes
beta_main[文盲比例],0.131,0.033,0.066,0.194,0.001,0.001,3156.0,2418.0,1.0,main,文盲比例,province_only_additive,Province-only additive,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes
beta_main[人均日生活用水量(升)],-0.045,0.052,-0.143,0.058,0.001,0.001,3061.0,2487.0,1.0,main,人均日生活用水量(升),province_only_additive,Province-only additive,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes
"beta_main[牲畜饲养
-猪年底头数]",0.165,0.067,0.044,0.307,0.002,0.001,1957.0,2714.0,1.0,main,"牲畜饲养
-猪年底头数",province_only_additive,Province-only additive,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes
beta_main[主要城市日照时数],-0.038,0.039,-0.111,0.042,0.001,0.001,3365.0,2782.0,1.0,main,主要城市日照时数,province_only_additive,Province-only additive,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes
sigma_residual,0.248,0.011,0.227,0.27,0.0,0.0,3263.0,2849.0,1.0,global,,province_only_additive,Province-only additive,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes
sigma_province,0.663,0.094,0.482,0.854,0.003,0.002,994.0,1922.0,1.0,global,,province_only_additive,Province-only additive,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes
