parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,effect_scope,variable,variant_id,variant_label,model_id,scheme_id,scheme_source,fe_label
alpha,0.009,0.096,-0.176,0.194,0.003,0.003,885.0,1257.0,1.0,global,,province_year_additive,Province + year additive,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes
beta_main[TA（°C）],0.02,0.019,-0.018,0.056,0.0,0.0,4470.0,2353.0,1.0,main,TA（°C）,province_year_additive,Province + year additive,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes
beta_main[R1xday],0.003,0.019,-0.032,0.04,0.0,0.0,4597.0,2456.0,1.0,main,R1xday,province_year_additive,Province + year additive,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes
beta_main[PM2.5],0.01,0.023,-0.033,0.056,0.0,0.0,4743.0,2452.0,1.0,main,PM2.5,province_year_additive,Province + year additive,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes
beta_main[抗菌药物使用强度],0.01,0.016,-0.02,0.043,0.0,0.0,4317.0,2417.0,1.0,main,抗菌药物使用强度,province_year_additive,Province + year additive,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes
beta_main[GDP],0.039,0.049,-0.061,0.133,0.001,0.001,2313.0,1906.0,1.0,main,GDP,province_year_additive,Province + year additive,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes
beta_main[文盲比例],0.024,0.037,-0.049,0.096,0.001,0.001,3314.0,2333.0,1.0,main,文盲比例,province_year_additive,Province + year additive,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes
beta_main[人均日生活用水量(升)],0.019,0.039,-0.06,0.091,0.001,0.001,3690.0,2340.0,1.0,main,人均日生活用水量(升),province_year_additive,Province + year additive,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes
"beta_main[牲畜饲养
-猪年底头数]",0.014,0.065,-0.107,0.144,0.001,0.001,1871.0,1830.0,1.0,main,"牲畜饲养
-猪年底头数",province_year_additive,Province + year additive,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes
beta_main[主要城市日照时数],-0.021,0.03,-0.082,0.035,0.001,0.001,3514.0,2370.0,1.0,main,主要城市日照时数,province_year_additive,Province + year additive,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes
sigma_residual,0.188,0.008,0.171,0.203,0.0,0.0,2921.0,2197.0,1.0,global,,province_year_additive,Province + year additive,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes
sigma_province,0.512,0.076,0.374,0.662,0.002,0.002,1050.0,1531.0,1.01,global,,province_year_additive,Province + year additive,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes
