archive_rank,archive_group,archive_group_label,group_rank,role_id,role_label,selection_rule,reason,model_id,scheme_id,scheme_source,fe_label,variables,performance_rank,performance_score,coef_R1xday,p_R1xday,coef_AMC,p_AMC,temperature_proxy,coef_temperature_proxy,p_temperature_proxy,coef_TA,p_TA,pollution_proxy,coef_pollution_proxy,p_pollution_proxy,r2_model,max_vif_z
1,strict_screened8,严筛强相关 8 模型,1,strict_main_model,严筛主模型,R1xday / AMC / TA 显著 + PM2.5 + 其他系数不为负,作为严筛主模型进入后续分析。,SYS_09851 | Province: No / Year: Yes,SYS_09851,systematic,Province: No / Year: Yes,"R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 卫生程度
（日污水处理能力） | 牲畜饲养
-猪年底头数 | 食品消费量",27,0.9995617944598866,0.1285306286023753,0.0344698096446054,0.1057129811562968,0.0193063779592099,,0.1043542124304769,0.0311424218619436,0.1044,0.0311,,0.0662933115184147,0.3025635886254365,0.4276299979124666,1.7211445207083764
2,strict_screened8,严筛强相关 8 模型,2,strict_top_02,严筛模型 2,R1xday / AMC / TA 显著 + PM2.5 + 其他系数不为负,作为严筛并列候选 #2，用于稳健性与异质性比较。,SYS_10001 | Province: No / Year: Yes,SYS_10001,systematic,Province: No / Year: Yes,"R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 饮用水
供水综合生产能力(万立方米/日) | 牲畜饲养
-猪年底头数 | 食品消费量",30,0.9995309524351194,0.1352099504705239,0.0316157984616889,0.1057412228683963,0.0184126351563778,,0.1038284079422701,0.029845625482167,0.1038,0.0298,,0.0709672840594561,0.2766064473532954,0.425447482788186,1.7285688726687878
3,strict_screened8,严筛强相关 8 模型,3,strict_top_03,严筛模型 3,R1xday / AMC / TA 显著 + PM2.5 + 其他系数不为负,作为严筛并列候选 #3，用于稳健性与异质性比较。,SYS_10002 | Province: No / Year: Yes,SYS_10002,systematic,Province: No / Year: Yes,"R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 饮用水
供水综合生产能力(万立方米/日) | 牲畜饲养
-猪年底头数 | 文盲比例",34,0.9994968380956024,0.132563773299573,0.0482524926133764,0.110091588379202,0.0151929888340331,,0.128161942515741,0.0068800058572857,0.1282,0.0069,,0.1062986013260853,0.1017895596363542,0.4230334045458238,1.822409026507411
4,strict_screened8,严筛强相关 8 模型,4,strict_top_04,严筛模型 4,R1xday / AMC / TA 显著 + PM2.5 + 其他系数不为负,作为严筛并列候选 #4，用于稳健性与异质性比较。,SYS_09941 | Province: No / Year: Yes,SYS_09941,systematic,Province: No / Year: Yes,"R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 城市用水普及率 | 牲畜饲养
-猪年底头数 | PA（%） | 食品消费量",49,0.9992962275731204,0.143485217770118,0.0486297390672487,0.1222713898553088,0.0074355577127309,,0.1156565255280428,0.0162303598490018,0.1157,0.0162,,0.0701159393162677,0.3045114680066205,0.4088373371756515,1.789640299554322
5,strict_screened8,严筛强相关 8 模型,5,strict_top_05,严筛模型 5,R1xday / AMC / TA 显著 + PM2.5 + 其他系数不为负,作为严筛并列候选 #5，用于稳健性与异质性比较。,SYS_09926 | Province: No / Year: Yes,SYS_09926,systematic,Province: No / Year: Yes,"R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 城市用水普及率 | 牲畜饲养
-猪年底头数 | 食品消费量",50,0.9992962234990448,0.1435952493025688,0.0274535534649327,0.1222751677920434,0.0074079905584321,,0.1155700702985856,0.0092776033028998,0.1156,0.0093,,0.0701146766303154,0.3035671711167531,0.4088370488758063,1.7490463540320311
6,strict_screened8,严筛强相关 8 模型,6,strict_top_06,严筛模型 6,R1xday / AMC / TA 显著 + PM2.5 + 其他系数不为负,作为严筛并列候选 #6，用于稳健性与异质性比较。,SYS_09927 | Province: No / Year: Yes,SYS_09927,systematic,Province: No / Year: Yes,"R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 城市用水普及率 | 牲畜饲养
-猪年底头数 | 文盲比例",51,0.9992910109673137,0.1432111958897139,0.0403418107859661,0.1245634961317869,0.0070854614913498,,0.1408750626118501,0.0023402202725799,0.1409,0.0023,,0.1079888575409963,0.1159975864896354,0.4084681874472157,1.861589862732211
7,strict_screened8,严筛强相关 8 模型,7,strict_top_07,严筛模型 7,R1xday / AMC / TA 显著 + PM2.5 + 其他系数不为负,作为严筛并列候选 #7，用于稳健性与异质性比较。,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes,"R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 生活垃圾无害化处理率 | 牲畜饲养
-猪年底头数 | PA（%） | 食品消费量",68,0.9992426855541868,0.1469036662003963,0.0446199051976146,0.120697077592715,0.0088289410403672,,0.1250197428951759,0.0197581089586256,0.125,0.0198,,0.082137399553781,0.2373617802493592,0.405048472432325,1.8432958857286188
8,strict_screened8,严筛强相关 8 模型,8,strict_top_08,严筛模型 8,R1xday / AMC / TA 显著 + PM2.5 + 其他系数不为负,作为严筛并列候选 #8，用于稳健性与异质性比较。,SYS_09776 | Province: No / Year: Yes,SYS_09776,systematic,Province: No / Year: Yes,"R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 生活垃圾无害化处理率 | 牲畜饲养
-猪年底头数 | 食品消费量",69,0.9992425986785324,0.1474014425536451,0.0241275210618998,0.1207117585081428,0.0088053710271067,,0.1246370136181206,0.0108078349538156,0.1246,0.0108,,0.0821492403097626,0.2364738465740927,0.4050423247347506,1.801001555430177
9,selected_yearfe4,手选 Year FE 4 模型,1,robust_systematic,稳健性模型 2,hand-picked + Year FE + systematic bridge candidate,Used to show the result does not rely only on manually curated bundles.,SYS_09556 | Province: No / Year: Yes,SYS_09556,systematic,Province: No / Year: Yes,"R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | GDP | 城市用水普及率 | 牲畜饲养
-猪年底头数 | 主要城市降水量 | 食品消费量",49,0.7665352008628431,0.1812432996167564,0.0218372297507352,0.1164206832956922,0.0054403730794863,TA（°C）,0.0819959483614938,0.0800070044885974,0.0819959483614938,0.0800070044885974,PM2.5,0.0256189059760925,0.740130646001075,0.361691613754023,1.8630223924966105
10,selected_yearfe4,手选 Year FE 4 模型,2,robust_systematic_2,稳健性模型 3,hand-picked + Year FE + adjacent systematic candidate,Used as a neighboring high-performing Year FE specification for final comparison.,SYS_09557 | Province: No / Year: Yes,SYS_09557,systematic,Province: No / Year: Yes,"R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | GDP | 城市用水普及率 | 牲畜饲养
-猪年底头数 | 主要城市降水量 | 文盲比例",65,0.7642202278382038,0.1784084705607142,0.0277135674869211,0.1166271193804089,0.0048884233852937,TA（°C）,0.0836346633424031,0.0665463183602763,0.0836346633424031,0.0665463183602763,PM2.5,0.029298772676957,0.7355604314057107,0.3614007612845442,1.80401653941866
