2026-04-19 20:48:11,836 | INFO | Scanning directory: E:\MALA\Code_health\6 未来情景分析\data_raw\cckp_rx1day
2026-04-19 20:48:11,836 | INFO | Log file: E:\MALA\Code_health\6 未来情景分析\logs\check_cckp_files_20260419_204811.log
2026-04-19 20:48:11,848 | INFO | Status summary saved to: E:\MALA\Code_health\6 未来情景分析\logs\cckp_rx1day_download_status.csv
2026-04-19 20:48:11,849 | INFO | Total expected combinations: 60
2026-04-19 20:48:11,849 | INFO | OK combinations: 0
2026-04-19 20:48:11,849 | INFO | Missing combinations: 60
2026-04-19 20:48:11,849 | INFO | Duplicate combinations: 0
2026-04-19 20:48:11,849 | INFO | Invalid combinations: 0
2026-04-19 20:48:11,851 | WARNING | Missing files:
2026-04-19 20:48:11,851 | WARNING |   rx1day_CHNprov_ssp119_median_2020-2039
2026-04-19 20:48:11,852 | WARNING |   rx1day_CHNprov_ssp119_median_2040-2059
2026-04-19 20:48:11,852 | WARNING |   rx1day_CHNprov_ssp119_median_2060-2079
2026-04-19 20:48:11,852 | WARNING |   rx1day_CHNprov_ssp119_median_2080-2099
2026-04-19 20:48:11,852 | WARNING |   rx1day_CHNprov_ssp119_p10_2020-2039
2026-04-19 20:48:11,852 | WARNING |   rx1day_CHNprov_ssp119_p10_2040-2059
2026-04-19 20:48:11,852 | WARNING |   rx1day_CHNprov_ssp119_p10_2060-2079
2026-04-19 20:48:11,852 | WARNING |   rx1day_CHNprov_ssp119_p10_2080-2099
2026-04-19 20:48:11,852 | WARNING |   rx1day_CHNprov_ssp119_p90_2020-2039
2026-04-19 20:48:11,852 | WARNING |   rx1day_CHNprov_ssp119_p90_2040-2059
2026-04-19 20:48:11,852 | WARNING |   rx1day_CHNprov_ssp119_p90_2060-2079
2026-04-19 20:48:11,852 | WARNING |   rx1day_CHNprov_ssp119_p90_2080-2099
2026-04-19 20:48:11,852 | WARNING |   rx1day_CHNprov_ssp126_median_2020-2039
2026-04-19 20:48:11,852 | WARNING |   rx1day_CHNprov_ssp126_median_2040-2059
2026-04-19 20:48:11,852 | WARNING |   rx1day_CHNprov_ssp126_median_2060-2079
2026-04-19 20:48:11,852 | WARNING |   rx1day_CHNprov_ssp126_median_2080-2099
2026-04-19 20:48:11,852 | WARNING |   rx1day_CHNprov_ssp126_p10_2020-2039
2026-04-19 20:48:11,852 | WARNING |   rx1day_CHNprov_ssp126_p10_2040-2059
2026-04-19 20:48:11,852 | WARNING |   rx1day_CHNprov_ssp126_p10_2060-2079
2026-04-19 20:48:11,852 | WARNING |   rx1day_CHNprov_ssp126_p10_2080-2099
2026-04-19 20:48:11,852 | WARNING |   rx1day_CHNprov_ssp126_p90_2020-2039
2026-04-19 20:48:11,852 | WARNING |   rx1day_CHNprov_ssp126_p90_2040-2059
2026-04-19 20:48:11,852 | WARNING |   rx1day_CHNprov_ssp126_p90_2060-2079
2026-04-19 20:48:11,852 | WARNING |   rx1day_CHNprov_ssp126_p90_2080-2099
2026-04-19 20:48:11,852 | WARNING |   rx1day_CHNprov_ssp245_median_2020-2039
2026-04-19 20:48:11,852 | WARNING |   rx1day_CHNprov_ssp245_median_2040-2059
2026-04-19 20:48:11,853 | WARNING |   rx1day_CHNprov_ssp245_median_2060-2079
2026-04-19 20:48:11,853 | WARNING |   rx1day_CHNprov_ssp245_median_2080-2099
2026-04-19 20:48:11,853 | WARNING |   rx1day_CHNprov_ssp245_p10_2020-2039
2026-04-19 20:48:11,853 | WARNING |   rx1day_CHNprov_ssp245_p10_2040-2059
2026-04-19 20:48:11,853 | WARNING |   rx1day_CHNprov_ssp245_p10_2060-2079
2026-04-19 20:48:11,853 | WARNING |   rx1day_CHNprov_ssp245_p10_2080-2099
2026-04-19 20:48:11,853 | WARNING |   rx1day_CHNprov_ssp245_p90_2020-2039
2026-04-19 20:48:11,853 | WARNING |   rx1day_CHNprov_ssp245_p90_2040-2059
2026-04-19 20:48:11,853 | WARNING |   rx1day_CHNprov_ssp245_p90_2060-2079
2026-04-19 20:48:11,853 | WARNING |   rx1day_CHNprov_ssp245_p90_2080-2099
