predictor,coef,role_id,role_label,scheme_id
省平均气温,-0.0336319833322305,main_model,主模型,方案A_平衡主线组
R1xday,0.15082462947594863,main_model,主模型,方案A_平衡主线组
PM2.5,0.020859818275005396,main_model,主模型,方案A_平衡主线组
抗菌药物使用强度,0.13103410335157015,main_model,主模型,方案A_平衡主线组
GDP,0.18107999929670363,main_model,主模型,方案A_平衡主线组
文盲比例,0.007017281345735326,main_model,主模型,方案A_平衡主线组
人均日生活用水量(升),-0.10817399455145596,main_model,主模型,方案A_平衡主线组
"牲畜饲养
-猪年底头数",0.05664670604639954,main_model,主模型,方案A_平衡主线组
TA（°C）,0.09043372716655328,robust_low_vif,稳健性模型 1,方案F_低VIF主线组
R1xday,0.13437185131360752,robust_low_vif,稳健性模型 1,方案F_低VIF主线组
PM2.5,0.022654737974558036,robust_low_vif,稳健性模型 1,方案F_低VIF主线组
抗菌药物使用强度,0.1282545796871254,robust_low_vif,稳健性模型 1,方案F_低VIF主线组
GDP,0.16078375457296912,robust_low_vif,稳健性模型 1,方案F_低VIF主线组
文盲比例,0.04183953231812638,robust_low_vif,稳健性模型 1,方案F_低VIF主线组
人均日生活用水量(升),-0.12025364356520432,robust_low_vif,稳健性模型 1,方案F_低VIF主线组
"牲畜饲养
-猪年底头数",0.05074396511612366,robust_low_vif,稳健性模型 1,方案F_低VIF主线组
主要城市日照时数,-0.009319110151139164,robust_low_vif,稳健性模型 1,方案F_低VIF主线组
R1xday,0.1812432996167564,robust_systematic,稳健性模型 2,SYS_09556
抗菌药物使用强度,0.11642068329569227,robust_systematic,稳健性模型 2,SYS_09556
TA（°C）,0.08199594836149386,robust_systematic,稳健性模型 2,SYS_09556
PM2.5,0.025618905976092517,robust_systematic,稳健性模型 2,SYS_09556
GDP,0.1727691445941143,robust_systematic,稳健性模型 2,SYS_09556
城市用水普及率,0.01739833390166893,robust_systematic,稳健性模型 2,SYS_09556
"牲畜饲养
-猪年底头数",0.08483208372653912,robust_systematic,稳健性模型 2,SYS_09556
主要城市降水量,-0.15101097275015857,robust_systematic,稳健性模型 2,SYS_09556
食品消费量,0.012995434164483089,robust_systematic,稳健性模型 2,SYS_09556
省平均气温,0.5444509894375437,robust_strict_fe,稳健性模型 3,方案A_平衡主线组
R1xday,-0.0033076735002741846,robust_strict_fe,稳健性模型 3,方案A_平衡主线组
PM2.5,-0.00310445263017116,robust_strict_fe,稳健性模型 3,方案A_平衡主线组
抗菌药物使用强度,0.009284693212428191,robust_strict_fe,稳健性模型 3,方案A_平衡主线组
GDP,-0.038555845814127646,robust_strict_fe,稳健性模型 3,方案A_平衡主线组
文盲比例,0.08552472442900289,robust_strict_fe,稳健性模型 3,方案A_平衡主线组
人均日生活用水量(升),0.014015937498778306,robust_strict_fe,稳健性模型 3,方案A_平衡主线组
"牲畜饲养
-猪年底头数",-0.10458159851701626,robust_strict_fe,稳健性模型 3,方案A_平衡主线组
