Province,Year,role_id,role_label,model_id,scheme_id,scheme_source,fe_label,scenario_id,scenario_label,scenario_family,scenario_description,statistic,baseline_pred,scenario_adjustment,scenario_pred,delta_vs_baseline,rx1day_baseline,rx1day_scenario,rx1day_delta
上海,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,基线趋势延续（ETS）,baseline,不额外施加未来情景调整，仅按历史 AMR 趋势的 ETS 基线外推。,baseline,-1.7640466118732165,0.0,-1.7640466118732165,0.0,115.39469490289476,115.39469490289476,0.0
云南,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,基线趋势延续（ETS）,baseline,不额外施加未来情景调整，仅按历史 AMR 趋势的 ETS 基线外推。,baseline,-0.48168433776130315,0.0,-0.48168433776130315,0.0,20.84046911840916,20.84046911840916,0.0
内蒙古,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,基线趋势延续（ETS）,baseline,不额外施加未来情景调整，仅按历史 AMR 趋势的 ETS 基线外推。,baseline,-0.46071879805893956,0.0,-0.46071879805893956,0.0,12.931681364238123,12.931681364238123,0.0
北京,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,基线趋势延续（ETS）,baseline,不额外施加未来情景调整，仅按历史 AMR 趋势的 ETS 基线外推。,baseline,0.782759245415179,0.0,0.782759245415179,0.0,85.51864526557621,85.51864526557621,0.0
吉林,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,基线趋势延续（ETS）,baseline,不额外施加未来情景调整，仅按历史 AMR 趋势的 ETS 基线外推。,baseline,-0.20868201626635804,0.0,-0.20868201626635804,0.0,43.92574370177605,43.92574370177605,0.0
四川,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,基线趋势延续（ETS）,baseline,不额外施加未来情景调整，仅按历史 AMR 趋势的 ETS 基线外推。,baseline,-0.5517558030277114,0.0,-0.5517558030277114,0.0,15.418393935188469,15.418393935188469,0.0
天津,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,基线趋势延续（ETS）,baseline,不额外施加未来情景调整，仅按历史 AMR 趋势的 ETS 基线外推。,baseline,-0.49829511315487485,0.0,-0.49829511315487485,0.0,23.534591889264505,23.534591889264505,0.0
宁夏,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,基线趋势延续（ETS）,baseline,不额外施加未来情景调整，仅按历史 AMR 趋势的 ETS 基线外推。,baseline,-1.3529955500401327,0.0,-1.3529955500401327,0.0,16.651113558278134,16.651113558278134,0.0
安徽,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,基线趋势延续（ETS）,baseline,不额外施加未来情景调整，仅按历史 AMR 趋势的 ETS 基线外推。,baseline,-2.110490105587253,0.0,-2.110490105587253,0.0,0.39409082847862464,0.39409082847862464,0.0
山东,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,基线趋势延续（ETS）,baseline,不额外施加未来情景调整，仅按历史 AMR 趋势的 ETS 基线外推。,baseline,-0.7013765329005172,0.0,-0.7013765329005172,0.0,66.69212283533625,66.69212283533625,0.0
山西,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,基线趋势延续（ETS）,baseline,不额外施加未来情景调整，仅按历史 AMR 趋势的 ETS 基线外推。,baseline,-0.5277752171930432,0.0,-0.5277752171930432,0.0,31.23025230049783,31.23025230049783,0.0
