role_id,role_label,model_id,scheme_id,fe_label,scenario_id,scenario_label,scenario_family,statistic,Year,province_n,baseline_pred_mean,scenario_adjustment_mean,scenario_pred_mean,delta_vs_baseline_mean,rx1day_baseline_mean,rx1day_scenario_mean,baseline_pred_mean_at_end,delta_vs_baseline_at_end,delta_vs_last_observed
main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,Province: No / Year: Yes,baseline_ets,基线趋势延续（ETS）,baseline,baseline,2050,31,-0.7187132583859359,0.0,-0.7187132583859359,0.0,36.69237244232996,36.69237244232996,-0.7187132583859359,0.0,-0.5118921808987801
main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,median,2050,31,-0.7187132583859359,0.02653450321315833,-0.6921787551727775,0.026534503213158336,36.69237244232996,41.821285906498204,-0.7187132583859359,0.026534503213158336,-0.48535767768562166
main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,p10,2050,31,-0.7187132583859359,0.03126984425530101,-0.6874434141306348,0.031269844255301,36.69237244232996,42.736590565996416,-0.7187132583859359,0.031269844255301,-0.480622336643479
main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,p90,2050,31,-0.7187132583859359,0.014068189906105458,-0.7046450684798304,0.01406818990610546,36.69237244232996,39.41164432943727,-0.7187132583859359,0.01406818990610546,-0.4978239909926746
main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,Province: No / Year: Yes,ssp126,SSP1-2.6（rx1day）,rx1day_ssp,median,2050,31,-0.7187132583859359,0.03708958340272033,-0.6816236749832155,0.03708958340272032,36.69237244232996,43.861500960261644,-0.7187132583859359,0.03708958340272032,-0.4748025974960597
main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,Province: No / Year: Yes,ssp126,SSP1-2.6（rx1day）,rx1day_ssp,p10,2050,31,-0.7187132583859359,0.035819569274293535,-0.6828936891116423,0.03581956927429354,36.69237244232996,43.61601708929391,-0.7187132583859359,0.03581956927429354,-0.47607261162448644
main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,Province: No / Year: Yes,ssp126,SSP1-2.6（rx1day）,rx1day_ssp,p90,2050,31,-0.7187132583859359,0.0358101123140731,-0.6829031460718628,0.035810112314073085,36.69237244232996,43.614189132304666,-0.7187132583859359,0.035810112314073085,-0.4760820685847069
main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,Province: No / Year: Yes,ssp245,SSP2-4.5（rx1day）,rx1day_ssp,median,2050,31,-0.7187132583859359,0.04560733767185231,-0.6731059207140836,0.04560733767185231,36.69237244232996,45.50791673087097,-0.7187132583859359,0.04560733767185231,-0.46628484322692776
main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,Province: No / Year: Yes,ssp245,SSP2-4.5（rx1day）,rx1day_ssp,p10,2050,31,-0.7187132583859359,0.03790603430175131,-0.6808072240841846,0.03790603430175129,36.69237244232996,44.01931458033333,-0.7187132583859359,0.03790603430175129,-0.47398614659702876
main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,Province: No / Year: Yes,ssp245,SSP2-4.5（rx1day）,rx1day_ssp,p90,2050,31,-0.7187132583859359,0.0533904159332712,-0.6653228424526647,0.053390415933271214,36.69237244232996,47.01232533302151,-0.7187132583859359,0.053390415933271214,-0.4585017649655089
main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,Province: No / Year: Yes,ssp370,SSP3-7.0（rx1day）,rx1day_ssp,median,2050,31,-0.7187132583859359,0.03897133305599456,-0.6797419253299414,0.038971333055994546,36.69237244232996,44.22522855882796,-0.7187132583859359,0.038971333055994546,-0.47292084784278554
main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,Province: No / Year: Yes,ssp370,SSP3-7.0（rx1day）,rx1day_ssp,p10,2050,31,-0.7187132583859359,0.032988229556531995,-0.6857250288294039,0.032988229556532,36.69237244232996,43.06874110363083,-0.7187132583859359,0.032988229556532,-0.47890395134224806
main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,Province: No / Year: Yes,ssp370,SSP3-7.0（rx1day）,rx1day_ssp,p90,2050,31,-0.7187132583859359,0.042491176563922345,-0.6762220818220136,0.04249117656392236,36.69237244232996,44.90558698176703,-0.7187132583859359,0.04249117656392236,-0.46940100433485776
main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,Province: No / Year: Yes,ssp585,SSP5-8.5（rx1day）,rx1day_ssp,median,2050,31,-0.7187132583859359,0.048993485722546075,-0.6697197726633898,0.04899348572254607,36.69237244232996,46.16243285990323,-0.7187132583859359,0.04899348572254607,-0.46289869517623394
main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,Province: No / Year: Yes,ssp585,SSP5-8.5（rx1day）,rx1day_ssp,p10,2050,31,-0.7187132583859359,0.03929286970348938,-0.6794203886824465,0.039292869703489386,36.69237244232996,44.287379096462374,-0.7187132583859359,0.039292869703489386,-0.47259931119529064
main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,Province: No / Year: Yes,ssp585,SSP5-8.5（rx1day）,rx1day_ssp,p90,2050,31,-0.7187132583859359,0.05710477613279187,-0.661608482253144,0.05710477613279187,36.69237244232996,47.73028232226881,-0.7187132583859359,0.05710477613279187,-0.4547874047659881
robust_low_vif,稳健性模型 1,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,Province: No / Year: Yes,baseline_ets,基线趋势延续（ETS）,baseline,baseline,2050,31,-0.7187132583859359,0.0,-0.7187132583859359,0.0,36.69237244232996,36.69237244232996,-0.7187132583859359,0.0,-0.5118921808987801
robust_low_vif,稳健性模型 1,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,median,2050,31,-0.7187132583859359,0.02363997400708036,-0.6950732843788556,0.02363997400708036,36.69237244232996,41.821285906498204,-0.7187132583859359,0.02363997400708036,-0.4882522068916998
robust_low_vif,稳健性模型 1,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,p10,2050,31,-0.7187132583859359,0.027858758065392838,-0.6908545003205431,0.027858758065392848,36.69237244232996,42.736590565996416,-0.7187132583859359,0.027858758065392848,-0.48403342283338724
robust_low_vif,稳健性模型 1,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,p90,2050,31,-0.7187132583859359,0.012533554558582528,-0.7061797038273534,0.012533554558582526,36.69237244232996,39.41164432943727,-0.7187132583859359,0.012533554558582526,-0.49935862634019756
robust_low_vif,稳健性模型 1,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,Province: No / Year: Yes,ssp126,SSP1-2.6（rx1day）,rx1day_ssp,median,2050,31,-0.7187132583859359,0.03304364813353462,-0.6856696102524013,0.03304364813353464,36.69237244232996,43.861500960261644,-0.7187132583859359,0.03304364813353464,-0.4788485327652454
