Province,Year,scenario,statistic,rx1day,additive_bias,overlap_n,rx1day_aligned
安徽,2024,ssp119,median,61.22,-9.64880289111111,9,51.57119710888889
安徽,2025,ssp119,median,61.77,-9.64880289111111,9,52.12119710888889
安徽,2026,ssp119,median,61.13,-9.64880289111111,9,51.48119710888889
安徽,2027,ssp119,median,61.76,-9.64880289111111,9,52.11119710888889
安徽,2028,ssp119,median,61.46,-9.64880289111111,9,51.81119710888889
安徽,2029,ssp119,median,60.91,-9.64880289111111,9,51.26119710888889
安徽,2030,ssp119,median,61.04,-9.64880289111111,9,51.39119710888889
安徽,2031,ssp119,median,61.76,-9.64880289111111,9,52.11119710888889
安徽,2032,ssp119,median,60.37,-9.64880289111111,9,50.72119710888889
安徽,2033,ssp119,median,61.84,-9.64880289111111,9,52.19119710888889
安徽,2034,ssp119,median,59.53,-9.64880289111111,9,49.88119710888889
安徽,2035,ssp119,median,60.09,-9.64880289111111,9,50.44119710888889
安徽,2036,ssp119,median,59.33,-9.64880289111111,9,49.68119710888889
安徽,2037,ssp119,median,59.96,-9.64880289111111,9,50.31119710888889
安徽,2038,ssp119,median,62.12,-9.64880289111111,9,52.47119710888889
安徽,2039,ssp119,median,61.13,-9.64880289111111,9,51.48119710888889
安徽,2040,ssp119,median,62.16,-9.64880289111111,9,52.51119710888889
安徽,2041,ssp119,median,60.5,-9.64880289111111,9,50.85119710888889
安徽,2042,ssp119,median,61.75,-9.64880289111111,9,52.10119710888889
安徽,2043,ssp119,median,59.28,-9.64880289111111,9,49.63119710888889
安徽,2044,ssp119,median,61.08,-9.64880289111111,9,51.43119710888889
安徽,2045,ssp119,median,60.3,-9.64880289111111,9,50.65119710888889
安徽,2046,ssp119,median,60.76,-9.64880289111111,9,51.11119710888889
安徽,2047,ssp119,median,60.26,-9.64880289111111,9,50.61119710888889
安徽,2048,ssp119,median,59.54,-9.64880289111111,9,49.89119710888889
安徽,2049,ssp119,median,60.87,-9.64880289111111,9,51.22119710888889
安徽,2050,ssp119,median,59.94,-9.64880289111111,9,50.29119710888889
北京,2024,ssp119,median,49.37,24.35541123777778,9,73.72541123777778
北京,2025,ssp119,median,51.06,24.35541123777778,9,75.41541123777779
北京,2026,ssp119,median,50.91,24.35541123777778,9,75.26541123777778
北京,2027,ssp119,median,49.35,24.35541123777778,9,73.70541123777778
北京,2028,ssp119,median,50.44,24.35541123777778,9,74.79541123777778
北京,2029,ssp119,median,51.67,24.35541123777778,9,76.02541123777777
北京,2030,ssp119,median,51.54,24.35541123777778,9,75.89541123777778
北京,2031,ssp119,median,49.45,24.35541123777778,9,73.80541123777778
北京,2032,ssp119,median,48.45,24.35541123777778,9,72.80541123777778
北京,2033,ssp119,median,49.44,24.35541123777778,9,73.79541123777778
北京,2034,ssp119,median,49.52,24.35541123777778,9,73.87541123777778
北京,2035,ssp119,median,48.36,24.35541123777778,9,72.71541123777777
北京,2036,ssp119,median,48.76,24.35541123777778,9,73.11541123777778
北京,2037,ssp119,median,46.73,24.35541123777778,9,71.08541123777778
北京,2038,ssp119,median,49.07,24.35541123777778,9,73.42541123777778
北京,2039,ssp119,median,48.7,24.35541123777778,9,73.05541123777778
北京,2040,ssp119,median,48.6,24.35541123777778,9,72.95541123777778
北京,2041,ssp119,median,51.23,24.35541123777778,9,75.58541123777778
北京,2042,ssp119,median,51.39,24.35541123777778,9,75.74541123777777
北京,2043,ssp119,median,46.31,24.35541123777778,9,70.66541123777779
北京,2044,ssp119,median,51.65,24.35541123777778,9,76.00541123777778
北京,2045,ssp119,median,48.18,24.35541123777778,9,72.53541123777778
北京,2046,ssp119,median,47.92,24.35541123777778,9,72.27541123777777
北京,2047,ssp119,median,49.5,24.35541123777778,9,73.85541123777779
北京,2048,ssp119,median,47.32,24.35541123777778,9,71.67541123777778
北京,2049,ssp119,median,49.07,24.35541123777778,9,73.42541123777778
北京,2050,ssp119,median,48.06,24.35541123777778,9,72.41541123777779
重庆,2024,ssp119,median,49.04,-0.7279127533333336,9,48.312087246666664
重庆,2025,ssp119,median,47.77,-0.7279127533333336,9,47.04208724666667
重庆,2026,ssp119,median,47.42,-0.7279127533333336,9,46.69208724666667
重庆,2027,ssp119,median,47.14,-0.7279127533333336,9,46.412087246666665
重庆,2028,ssp119,median,48.74,-0.7279127533333336,9,48.01208724666667
重庆,2029,ssp119,median,49.87,-0.7279127533333336,9,49.14208724666666
重庆,2030,ssp119,median,48.9,-0.7279127533333336,9,48.17208724666666
重庆,2031,ssp119,median,48.02,-0.7279127533333336,9,47.29208724666667
重庆,2032,ssp119,median,47.87,-0.7279127533333336,9,47.14208724666666
重庆,2033,ssp119,median,47.53,-0.7279127533333336,9,46.802087246666666
重庆,2034,ssp119,median,47.22,-0.7279127533333336,9,46.492087246666664
重庆,2035,ssp119,median,48.58,-0.7279127533333336,9,47.85208724666666
重庆,2036,ssp119,median,47.3,-0.7279127533333336,9,46.57208724666666
重庆,2037,ssp119,median,47.09,-0.7279127533333336,9,46.36208724666667
重庆,2038,ssp119,median,46.37,-0.7279127533333336,9,45.64208724666666
重庆,2039,ssp119,median,46.93,-0.7279127533333336,9,46.202087246666665
重庆,2040,ssp119,median,48.51,-0.7279127533333336,9,47.78208724666666
重庆,2041,ssp119,median,47.72,-0.7279127533333336,9,46.992087246666664
重庆,2042,ssp119,median,48.66,-0.7279127533333336,9,47.93208724666666
重庆,2043,ssp119,median,47.38,-0.7279127533333336,9,46.65208724666667
重庆,2044,ssp119,median,46.82,-0.7279127533333336,9,46.092087246666665
