Year,province_n,outcome_actual_mean,baseline_mode,baseline_mode_label
2014,31,35.00384615384615,lancet_ets,Lancet-like ETS baseline
2015,31,34.51358974358974,lancet_ets,Lancet-like ETS baseline
2016,31,33.82769230769231,lancet_ets,Lancet-like ETS baseline
2017,31,33.04197684036394,lancet_ets,Lancet-like ETS baseline
2018,31,32.26681141439206,lancet_ets,Lancet-like ETS baseline
2019,31,32.038213399503725,lancet_ets,Lancet-like ETS baseline
2020,31,31.77741935483871,lancet_ets,Lancet-like ETS baseline
2021,31,31.5985111662531,lancet_ets,Lancet-like ETS baseline
2022,31,30.98138957816377,lancet_ets,Lancet-like ETS baseline
2023,31,31.45732009925558,lancet_ets,Lancet-like ETS baseline
