Province,Year,role_id,role_label,model_id,scheme_id,scheme_source,fe_label,scenario_id,scenario_label,scenario_family,scenario_description,statistic,baseline_pred,scenario_adjustment,scenario_pred,delta_vs_baseline,rx1day_baseline,rx1day_scenario,rx1day_delta,baseline_mode,baseline_mode_label
上海,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,Baseline (ETS),baseline,"Use ETS on the outcome itself as the future baseline, then add scenario deltas from future R1xday paths.",baseline,28.629659469950855,0.0,28.629659469950855,0.0,115.39469490289476,115.39469490289476,0.0,lancet_ets,Lancet-like ETS baseline
云南,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,Baseline (ETS),baseline,"Use ETS on the outcome itself as the future baseline, then add scenario deltas from future R1xday paths.",baseline,29.920048155908628,0.0,29.920048155908628,0.0,20.84046911840916,20.84046911840916,0.0,lancet_ets,Lancet-like ETS baseline
内蒙古,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,Baseline (ETS),baseline,"Use ETS on the outcome itself as the future baseline, then add scenario deltas from future R1xday paths.",baseline,29.979943203443046,0.0,29.979943203443046,0.0,12.931681364238123,12.931681364238123,0.0,lancet_ets,Lancet-like ETS baseline
北京,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,Baseline (ETS),baseline,"Use ETS on the outcome itself as the future baseline, then add scenario deltas from future R1xday paths.",baseline,35.76044341101053,0.0,35.76044341101053,0.0,85.51864526557621,85.51864526557621,0.0,lancet_ets,Lancet-like ETS baseline
吉林,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,Baseline (ETS),baseline,"Use ETS on the outcome itself as the future baseline, then add scenario deltas from future R1xday paths.",baseline,30.383208273313116,0.0,30.383208273313116,0.0,43.92574370177605,43.92574370177605,0.0,lancet_ets,Lancet-like ETS baseline
四川,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,Baseline (ETS),baseline,"Use ETS on the outcome itself as the future baseline, then add scenario deltas from future R1xday paths.",baseline,29.173766644685863,0.0,29.173766644685863,0.0,15.418393935188469,15.418393935188469,0.0,lancet_ets,Lancet-like ETS baseline
天津,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,Baseline (ETS),baseline,"Use ETS on the outcome itself as the future baseline, then add scenario deltas from future R1xday paths.",baseline,28.855126377909986,0.0,28.855126377909986,0.0,23.534591889264505,23.534591889264505,0.0,lancet_ets,Lancet-like ETS baseline
宁夏,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,Baseline (ETS),baseline,"Use ETS on the outcome itself as the future baseline, then add scenario deltas from future R1xday paths.",baseline,25.51294639342082,0.0,25.51294639342082,0.0,16.651113558278134,16.651113558278134,0.0,lancet_ets,Lancet-like ETS baseline
安徽,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,Baseline (ETS),baseline,"Use ETS on the outcome itself as the future baseline, then add scenario deltas from future R1xday paths.",baseline,19.923774906098103,0.0,19.923774906098103,0.0,0.39409082847862464,0.39409082847862464,0.0,lancet_ets,Lancet-like ETS baseline
山东,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,Baseline (ETS),baseline,"Use ETS on the outcome itself as the future baseline, then add scenario deltas from future R1xday paths.",baseline,26.049221862130043,0.0,26.049221862130043,0.0,66.69212283533625,66.69212283533625,0.0,lancet_ets,Lancet-like ETS baseline
山西,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,Baseline (ETS),baseline,"Use ETS on the outcome itself as the future baseline, then add scenario deltas from future R1xday paths.",baseline,29.552800061741905,0.0,29.552800061741905,0.0,31.23025230049783,31.23025230049783,0.0,lancet_ets,Lancet-like ETS baseline
广东,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,Baseline (ETS),baseline,"Use ETS on the outcome itself as the future baseline, then add scenario deltas from future R1xday paths.",baseline,30.227363841687712,0.0,30.227363841687712,0.0,-8.631537342966666,-8.631537342966666,0.0,lancet_ets,Lancet-like ETS baseline
广西,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,Baseline (ETS),baseline,"Use ETS on the outcome itself as the future baseline, then add scenario deltas from future R1xday paths.",baseline,30.42963585157488,0.0,30.42963585157488,0.0,6.445867726925684,6.445867726925684,0.0,lancet_ets,Lancet-like ETS baseline
新疆,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,Baseline (ETS),baseline,"Use ETS on the outcome itself as the future baseline, then add scenario deltas from future R1xday paths.",baseline,25.323679693872077,0.0,25.323679693872077,0.0,3.9681688680408773,3.9681688680408773,0.0,lancet_ets,Lancet-like ETS baseline
江苏,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,Baseline (ETS),baseline,"Use ETS on the outcome itself as the future baseline, then add scenario deltas from future R1xday paths.",baseline,24.48060382742358,0.0,24.48060382742358,0.0,65.94019129570692,65.94019129570692,0.0,lancet_ets,Lancet-like ETS baseline
江西,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,Baseline (ETS),baseline,"Use ETS on the outcome itself as the future baseline, then add scenario deltas from future R1xday paths.",baseline,29.672263369649695,0.0,29.672263369649695,0.0,52.036710167827735,52.036710167827735,0.0,lancet_ets,Lancet-like ETS baseline
河北,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,Baseline (ETS),baseline,"Use ETS on the outcome itself as the future baseline, then add scenario deltas from future R1xday paths.",baseline,28.61718234329627,0.0,28.61718234329627,0.0,82.19397863597658,82.19397863597658,0.0,lancet_ets,Lancet-like ETS baseline
河南,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,Baseline (ETS),baseline,"Use ETS on the outcome itself as the future baseline, then add scenario deltas from future R1xday paths.",baseline,20.759177746012945,0.0,20.759177746012945,0.0,130.78396645835275,130.78396645835275,0.0,lancet_ets,Lancet-like ETS baseline
浙江,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,Baseline (ETS),baseline,"Use ETS on the outcome itself as the future baseline, then add scenario deltas from future R1xday paths.",baseline,20.42076457436648,0.0,20.42076457436648,0.0,-14.404012986043568,-14.404012986043568,0.0,lancet_ets,Lancet-like ETS baseline
海南,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,Baseline (ETS),baseline,"Use ETS on the outcome itself as the future baseline, then add scenario deltas from future R1xday paths.",baseline,27.212778743264707,0.0,27.212778743264707,0.0,67.50588193236415,67.50588193236415,0.0,lancet_ets,Lancet-like ETS baseline
湖北,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,Baseline (ETS),baseline,"Use ETS on the outcome itself as the future baseline, then add scenario deltas from future R1xday paths.",baseline,29.80911874474936,0.0,29.80911874474936,0.0,37.339883522154366,37.339883522154366,0.0,lancet_ets,Lancet-like ETS baseline
湖南,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,Baseline (ETS),baseline,"Use ETS on the outcome itself as the future baseline, then add scenario deltas from future R1xday paths.",baseline,30.382399624793386,0.0,30.382399624793386,0.0,32.73558223131605,32.73558223131605,0.0,lancet_ets,Lancet-like ETS baseline
甘肃,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,Baseline (ETS),baseline,"Use ETS on the outcome itself as the future baseline, then add scenario deltas from future R1xday paths.",baseline,28.760179756855663,0.0,28.760179756855663,0.0,8.398881438664631,8.398881438664631,0.0,lancet_ets,Lancet-like ETS baseline
福建,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,Baseline (ETS),baseline,"Use ETS on the outcome itself as the future baseline, then add scenario deltas from future R1xday paths.",baseline,21.884734623855326,0.0,21.884734623855326,0.0,36.12441289967077,36.12441289967077,0.0,lancet_ets,Lancet-like ETS baseline
西藏,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,Baseline (ETS),baseline,"Use ETS on the outcome itself as the future baseline, then add scenario deltas from future R1xday paths.",baseline,28.19774283428031,0.0,28.19774283428031,0.0,-0.5629474846893467,-0.5629474846893467,0.0,lancet_ets,Lancet-like ETS baseline
贵州,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,Baseline (ETS),baseline,"Use ETS on the outcome itself as the future baseline, then add scenario deltas from future R1xday paths.",baseline,19.382641036551693,0.0,19.382641036551693,0.0,34.739959623708856,34.739959623708856,0.0,lancet_ets,Lancet-like ETS baseline
辽宁,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,Baseline (ETS),baseline,"Use ETS on the outcome itself as the future baseline, then add scenario deltas from future R1xday paths.",baseline,18.81700783666134,0.0,18.81700783666134,0.0,62.220191963655544,62.220191963655544,0.0,lancet_ets,Lancet-like ETS baseline
重庆,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,Baseline (ETS),baseline,"Use ETS on the outcome itself as the future baseline, then add scenario deltas from future R1xday paths.",baseline,29.712679948108168,0.0,29.712679948108168,0.0,43.86207973077786,43.86207973077786,0.0,lancet_ets,Lancet-like ETS baseline
陕西,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,Baseline (ETS),baseline,"Use ETS on the outcome itself as the future baseline, then add scenario deltas from future R1xday paths.",baseline,31.853071955908835,0.0,31.853071955908835,0.0,31.38664933461126,31.38664933461126,0.0,lancet_ets,Lancet-like ETS baseline
青海,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,Baseline (ETS),baseline,"Use ETS on the outcome itself as the future baseline, then add scenario deltas from future R1xday paths.",baseline,25.122361507963134,0.0,25.122361507963134,0.0,5.951731028433,5.951731028433,0.0,lancet_ets,Lancet-like ETS baseline
黑龙江,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,Baseline (ETS),baseline,"Use ETS on the outcome itself as the future baseline, then add scenario deltas from future R1xday paths.",baseline,28.704012042104328,0.0,28.704012042104328,0.0,26.89610696780329,26.89610696780329,0.0,lancet_ets,Lancet-like ETS baseline
上海,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,28.629659469950855,-0.5997857716350004,28.029873698315853,-0.5997857716350019,115.39469490289476,95.2641108211111,-20.130584081783653,lancet_ets,Lancet-like ETS baseline
云南,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,29.920048155908628,0.19190167318845497,30.11194982909708,0.19190167318845397,20.84046911840916,27.281256729999996,6.440787611590835,lancet_ets,Lancet-like ETS baseline
内蒙古,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,29.979943203443046,-0.10452050240670557,29.87542270103634,-0.1045205024067073,12.931681364238123,9.423664233000002,-3.5080171312381214,lancet_ets,Lancet-like ETS baseline
北京,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,35.76044341101053,-0.3904076156135416,35.37003579539699,-0.3904076156135403,85.51864526557621,72.41541123777779,-13.103234027798422,lancet_ets,Lancet-like ETS baseline
吉林,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,30.383208273313116,-0.2752786783712916,30.107929594941826,-0.27527867837128994,43.92574370177605,34.68657724777778,-9.239166453998273,lancet_ets,Lancet-like ETS baseline
四川,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,29.173766644685863,0.12196498859074627,29.29573163327661,0.12196498859074723,15.418393935188469,19.511899606666667,4.093505671478198,lancet_ets,Lancet-like ETS baseline
天津,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,28.855126377909986,1.3786142942243003,30.233740672134285,1.378614294224299,23.534591889264505,69.80496421,46.27037232073549,lancet_ets,Lancet-like ETS baseline
