province,scenario,percentile,period,rx1day,source_file
Anhui Sheng,ssp119,median,2020-2039,53.05,rx1day_CHNprov_ssp119_median_2020-2039.xlsx
Beijing Shi,ssp119,median,2020-2039,37.38,rx1day_CHNprov_ssp119_median_2020-2039.xlsx
Chongqing Shi,ssp119,median,2020-2039,43.26,rx1day_CHNprov_ssp119_median_2020-2039.xlsx
Fujian Sheng,ssp119,median,2020-2039,63.44,rx1day_CHNprov_ssp119_median_2020-2039.xlsx
Gansu Sheng,ssp119,median,2020-2039,16.69,rx1day_CHNprov_ssp119_median_2020-2039.xlsx
Guangdong Sheng,ssp119,median,2020-2039,66.62,rx1day_CHNprov_ssp119_median_2020-2039.xlsx
Guangxi Zhuangzu Zizhiqu,ssp119,median,2020-2039,58.4,rx1day_CHNprov_ssp119_median_2020-2039.xlsx
Guizhou Sheng,ssp119,median,2020-2039,39.22,rx1day_CHNprov_ssp119_median_2020-2039.xlsx
Hainan Sheng,ssp119,median,2020-2039,71.19,rx1day_CHNprov_ssp119_median_2020-2039.xlsx
Hebei Sheng,ssp119,median,2020-2039,34.98,rx1day_CHNprov_ssp119_median_2020-2039.xlsx
Heilongjiang Sheng,ssp119,median,2020-2039,27.84,rx1day_CHNprov_ssp119_median_2020-2039.xlsx
Henan Sheng,ssp119,median,2020-2039,45.59,rx1day_CHNprov_ssp119_median_2020-2039.xlsx
"Hong Kong, SAR",ssp119,median,2020-2039,64.3,rx1day_CHNprov_ssp119_median_2020-2039.xlsx
Hubei Sheng,ssp119,median,2020-2039,50.64,rx1day_CHNprov_ssp119_median_2020-2039.xlsx
Hunan Sheng,ssp119,median,2020-2039,52.92,rx1day_CHNprov_ssp119_median_2020-2039.xlsx
Jiangsu Sheng,ssp119,median,2020-2039,51.71,rx1day_CHNprov_ssp119_median_2020-2039.xlsx
Jiangxi Sheng,ssp119,median,2020-2039,58.88,rx1day_CHNprov_ssp119_median_2020-2039.xlsx
Jilin Sheng,ssp119,median,2020-2039,33.74,rx1day_CHNprov_ssp119_median_2020-2039.xlsx
