province,province_code
Anhui Sheng,CHN.147295898
Beijing Shi,CHN.147295899
Chongqing Shi,CHN.147295900
Fujian Sheng,CHN.147295901
Gansu Sheng,CHN.147295902
Guangdong Sheng,CHN.147295903
Guangxi Zhuangzu Zizhiqu,CHN.147295904
Guizhou Sheng,CHN.147295905
Hainan Sheng,CHN.147295906
Hebei Sheng,CHN.147295907
Heilongjiang Sheng,CHN.147295908
Henan Sheng,CHN.147295909
"Hong Kong, SAR",CHN.33364910
Hubei Sheng,CHN.147295911
Hunan Sheng,CHN.147295912
Jiangsu Sheng,CHN.147295913
Jiangxi Sheng,CHN.147295914
Jilin Sheng,CHN.147295915
Liaoning Sheng,CHN.147295916
"Macau, SAR",CHN.1491879
Nei Mongol Zizhiqu,CHN.147295917
Ningxia Huizu Zizhiqu,CHN.147295918
Qinghai Sheng,CHN.147295919
Shaanxi Sheng,CHN.147295920
Shandong Sheng,CHN.147295921
Shanghai Shi,CHN.147295922
Shanxi Sheng,CHN.147295923
Sichuan Sheng,CHN.147295924
Taiwan Sheng,CHN.147295925
Tianjin Shi,CHN.147295926
Xinjiang Uygur Zizhiqu,CHN.147295927
Xizang Zizhiqu,CHN.147295928
Yunnan Sheng,CHN.147295929
Zhejiang Sheng,CHN.147295930
