Province,province,province_code,scenario,statistic,future_reference_n,future_tas_sum,hist_reference_n,hist_tas_sum,reference_n,tas_ref_1991_2020,reference_period,reference_method,reference_hist_years,reference_future_years
上海,Shanghai Shi,CHN.147295922,ssp119,median,6,103.99000000000001,24,403.77,30,16.925333333333334,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
上海,Shanghai Shi,CHN.147295922,ssp119,p10,6,99.36,24,388.31,30,16.255666666666666,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
上海,Shanghai Shi,CHN.147295922,ssp119,p90,6,108.52,24,417.81,30,17.544333333333334,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
上海,Shanghai Shi,CHN.147295922,ssp126,median,6,104.28999999999999,24,403.77,30,16.935333333333332,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
上海,Shanghai Shi,CHN.147295922,ssp126,p10,6,99.65,24,388.31,30,16.265333333333334,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
上海,Shanghai Shi,CHN.147295922,ssp126,p90,6,109.52,24,417.81,30,17.57766666666667,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
上海,Shanghai Shi,CHN.147295922,ssp245,median,6,104.38,24,403.77,30,16.938333333333333,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
上海,Shanghai Shi,CHN.147295922,ssp245,p10,6,99.92,24,388.31,30,16.274333333333335,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
上海,Shanghai Shi,CHN.147295922,ssp245,p90,6,108.68,24,417.81,30,17.549666666666667,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
上海,Shanghai Shi,CHN.147295922,ssp370,median,6,103.45,24,403.77,30,16.907333333333334,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
上海,Shanghai Shi,CHN.147295922,ssp370,p10,6,98.34,24,388.31,30,16.221666666666668,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
上海,Shanghai Shi,CHN.147295922,ssp370,p90,6,108.0,24,417.81,30,17.526999999999997,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
上海,Shanghai Shi,CHN.147295922,ssp585,median,6,104.38,24,403.77,30,16.938333333333333,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
上海,Shanghai Shi,CHN.147295922,ssp585,p10,6,99.61,24,388.31,30,16.264,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
上海,Shanghai Shi,CHN.147295922,ssp585,p90,6,108.99,24,417.81,30,17.56,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
云南,Yunnan Sheng,CHN.147295929,ssp119,median,6,98.8,24,385.38,30,16.139333333333333,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
