province,province_code,year,time_key,scenario,statistic,tas,source_file,data_stage,Province
Anhui Sheng,CHN.147295898,1950,1950-07,historical,median,15.97,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1951,1951-07,historical,median,16.04,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1952,1952-07,historical,median,15.82,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1953,1953-07,historical,median,15.75,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1954,1954-07,historical,median,15.95,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1955,1955-07,historical,median,16.05,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1956,1956-07,historical,median,16.04,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1957,1957-07,historical,median,16.09,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1958,1958-07,historical,median,15.7,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1959,1959-07,historical,median,15.9,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1960,1960-07,historical,median,15.76,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1961,1961-07,historical,median,16.05,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1962,1962-07,historical,median,15.93,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1963,1963-07,historical,median,16.02,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1964,1964-07,historical,median,15.64,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1965,1965-07,historical,median,15.64,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1966,1966-07,historical,median,15.66,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1967,1967-07,historical,median,15.74,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1968,1968-07,historical,median,15.57,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1969,1969-07,historical,median,15.65,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1970,1970-07,historical,median,15.51,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1971,1971-07,historical,median,15.5,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1972,1972-07,historical,median,15.62,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1973,1973-07,historical,median,15.76,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1974,1974-07,historical,median,15.73,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1975,1975-07,historical,median,15.68,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1976,1976-07,historical,median,15.52,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1977,1977-07,historical,median,15.53,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1978,1978-07,historical,median,15.82,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1979,1979-07,historical,median,15.57,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1980,1980-07,historical,median,15.81,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1981,1981-07,historical,median,15.64,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1982,1982-07,historical,median,15.64,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1983,1983-07,historical,median,15.22,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1984,1984-07,historical,median,15.4,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1985,1985-07,historical,median,15.69,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1986,1986-07,historical,median,15.67,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1987,1987-07,historical,median,15.62,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1988,1988-07,historical,median,15.88,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1989,1989-07,historical,median,15.92,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1990,1990-07,historical,median,15.95,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1991,1991-07,historical,median,15.76,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1992,1992-07,historical,median,15.5,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1993,1993-07,historical,median,15.4,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1994,1994-07,historical,median,15.72,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1995,1995-07,historical,median,15.78,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1996,1996-07,historical,median,16.08,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1997,1997-07,historical,median,16.06,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1998,1998-07,historical,median,15.98,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1999,1999-07,historical,median,16.04,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,2000,2000-07,historical,median,16.34,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,2001,2001-07,historical,median,16.22,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,2002,2002-07,historical,median,16.24,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
