country,country_code,year,time_key,scenario,statistic,tas,source_file
China,CHN,2015,2015-07,ssp119,median,7.53,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2016,2016-07,ssp119,median,7.5,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2017,2017-07,ssp119,median,7.6,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2018,2018-07,ssp119,median,7.65,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2019,2019-07,ssp119,median,7.66,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2020,2020-07,ssp119,median,7.64,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2021,2021-07,ssp119,median,7.68,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2022,2022-07,ssp119,median,7.74,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2023,2023-07,ssp119,median,7.82,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2024,2024-07,ssp119,median,7.82,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2025,2025-07,ssp119,median,7.87,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2026,2026-07,ssp119,median,7.82,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2027,2027-07,ssp119,median,7.92,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2028,2028-07,ssp119,median,7.96,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2029,2029-07,ssp119,median,7.97,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2030,2030-07,ssp119,median,7.98,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2031,2031-07,ssp119,median,8,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2032,2032-07,ssp119,median,8.04,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2033,2033-07,ssp119,median,8.11,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2034,2034-07,ssp119,median,8.11,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2035,2035-07,ssp119,median,8.1,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2036,2036-07,ssp119,median,8.1,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2037,2037-07,ssp119,median,8.17,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2038,2038-07,ssp119,median,8.22,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2039,2039-07,ssp119,median,8.16,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2040,2040-07,ssp119,median,8.17,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2041,2041-07,ssp119,median,8.18,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2042,2042-07,ssp119,median,8.24,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2043,2043-07,ssp119,median,8.27,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2044,2044-07,ssp119,median,8.26,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2045,2045-07,ssp119,median,8.25,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2046,2046-07,ssp119,median,8.29,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2047,2047-07,ssp119,median,8.26,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2048,2048-07,ssp119,median,8.34,tas_timeseries_CHN_2015-2100_median_p10_p90.json
