scenario,percentile,period,status,file_count,extensions,files,validation
ssp119,median,2020-2039,ok,1,xlsx,rx1day_CHNprov_ssp119_median_2020-2039.xlsx,rx1day_CHNprov_ssp119_median_2020-2039.xlsx:ok
ssp119,median,2040-2059,ok,1,xlsx,rx1day_CHNprov_ssp119_median_2040-2059.xlsx,rx1day_CHNprov_ssp119_median_2040-2059.xlsx:ok
ssp119,median,2060-2079,ok,1,xlsx,rx1day_CHNprov_ssp119_median_2060-2079.xlsx,rx1day_CHNprov_ssp119_median_2060-2079.xlsx:ok
ssp119,median,2080-2099,ok,1,xlsx,rx1day_CHNprov_ssp119_median_2080-2099.xlsx,rx1day_CHNprov_ssp119_median_2080-2099.xlsx:ok
ssp119,p10,2020-2039,ok,1,xlsx,rx1day_CHNprov_ssp119_p10_2020-2039.xlsx,rx1day_CHNprov_ssp119_p10_2020-2039.xlsx:ok
ssp119,p10,2040-2059,ok,1,xlsx,rx1day_CHNprov_ssp119_p10_2040-2059.xlsx,rx1day_CHNprov_ssp119_p10_2040-2059.xlsx:ok
ssp119,p10,2060-2079,ok,1,xlsx,rx1day_CHNprov_ssp119_p10_2060-2079.xlsx,rx1day_CHNprov_ssp119_p10_2060-2079.xlsx:ok
ssp119,p10,2080-2099,ok,1,xlsx,rx1day_CHNprov_ssp119_p10_2080-2099.xlsx,rx1day_CHNprov_ssp119_p10_2080-2099.xlsx:ok
ssp119,p90,2020-2039,ok,1,xlsx,rx1day_CHNprov_ssp119_p90_2020-2039.xlsx,rx1day_CHNprov_ssp119_p90_2020-2039.xlsx:ok
ssp119,p90,2040-2059,ok,1,xlsx,rx1day_CHNprov_ssp119_p90_2040-2059.xlsx,rx1day_CHNprov_ssp119_p90_2040-2059.xlsx:ok
ssp119,p90,2060-2079,ok,1,xlsx,rx1day_CHNprov_ssp119_p90_2060-2079.xlsx,rx1day_CHNprov_ssp119_p90_2060-2079.xlsx:ok
ssp119,p90,2080-2099,ok,1,xlsx,rx1day_CHNprov_ssp119_p90_2080-2099.xlsx,rx1day_CHNprov_ssp119_p90_2080-2099.xlsx:ok
