baseline_mode,baseline_mode_label,region_order,region,region_en,role_id,role_label,model_id,scheme_id,fe_label,scenario_id,scenario_label,scenario_family,statistic,Year,province_n,baseline_pred_mean,scenario_adjustment_mean,scenario_pred_mean,delta_vs_baseline_mean,rx1day_baseline_mean,rx1day_scenario_mean,temperature_baseline_mean,temperature_scenario_mean,temperature_delta_mean,amc_baseline_mean,amc_scenario_mean,amc_delta_mean,baseline_pred_mean_at_end,delta_vs_baseline_at_end
lancet_ets,Lancet-like ETS baseline,1,华北,North China,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,amc_reduce_50,AMC reduces 50% by 2050,amc_intervention,median,2050,5,30.553099079480347,-1.9775063174549117,28.575592762025433,-1.9775063174549132,47.08182989111065,47.08182989111065,1.550589173842802,1.550589173842802,0.0,37.24545600831207,18.622728004156034,-18.622728004156034,30.553099079480347,-1.9775063174549132
lancet_ets,Lancet-like ETS baseline,1,华北,North China,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,baseline_ets,Baseline (ETS),baseline,baseline,2050,5,30.553099079480347,0.0,30.553099079480347,0.0,47.08182989111065,47.08182989111065,1.550589173842802,1.550589173842802,0.0,37.24545600831207,37.24545600831207,0.0,30.553099079480347,0.0
lancet_ets,Lancet-like ETS baseline,1,华北,North China,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,ssp119,SSP1-1.9（climate）,climate_ssp,median,2050,5,30.553099079480347,-0.738734673623383,29.814364405856963,-0.7387346736233837,47.08182989111065,44.32963730593333,1.550589173842802,1.219799999999999,-0.3307891738428029,37.24545600831207,37.24545600831207,0.0,30.553099079480347,-0.7387346736233837
lancet_ets,Lancet-like ETS baseline,1,华北,North China,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,ssp119,SSP1-1.9（climate）,climate_ssp,p10,2050,5,30.553099079480347,-0.7880318473594113,29.765067232120934,-0.7880318473594116,47.08182989111065,45.443415083711116,1.550589173842802,1.1782666666666666,-0.3723225071761354,37.24545600831207,37.24545600831207,0.0,30.553099079480347,-0.7880318473594116
lancet_ets,Lancet-like ETS baseline,1,华北,North China,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,ssp119,SSP1-1.9（climate）,climate_ssp,p90,2050,5,30.553099079480347,-0.2035842933560672,30.34951478612428,-0.2035842933560666,47.08182989111065,40.297859528155556,1.550589173842802,1.5498000000000003,-0.0007891738428016992,37.24545600831207,37.24545600831207,0.0,30.553099079480347,-0.2035842933560666
lancet_ets,Lancet-like ETS baseline,1,华北,North China,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,ssp126,SSP1-2.6（climate）,climate_ssp,median,2050,5,30.553099079480347,-0.034729993448875174,30.518369086031477,-0.034729993448875215,47.08182989111065,45.20808175037778,1.550589173842802,1.5612,0.010610826157197967,37.24545600831207,37.24545600831207,0.0,30.553099079480347,-0.034729993448875215
lancet_ets,Lancet-like ETS baseline,1,华北,North China,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,ssp126,SSP1-2.6（climate）,climate_ssp,p10,2050,5,30.553099079480347,-0.38304217374140165,30.17005690573895,-0.38304217374140204,47.08182989111065,46.437415083711116,1.550589173842802,1.3673333333333342,-0.18325584050946792,37.24545600831207,37.24545600831207,0.0,30.553099079480347,-0.38304217374140204
lancet_ets,Lancet-like ETS baseline,1,华北,North China,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,ssp126,SSP1-2.6（climate）,climate_ssp,p90,2050,5,30.553099079480347,1.4902289687373573,32.0433280482177,1.490228968737356,47.08182989111065,42.206748417044444,1.550589173842802,2.374266666666667,0.8236774928238653,37.24545600831207,37.24545600831207,0.0,30.553099079480347,1.490228968737356
lancet_ets,Lancet-like ETS baseline,1,华北,North China,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,ssp245,SSP2-4.5（climate）,climate_ssp,median,2050,5,30.553099079480347,0.8797997382167111,31.43289881769706,0.8797997382167111,47.08182989111065,48.67119286148889,1.550589173842802,1.9698666666666664,0.4192774928238644,37.24545600831207,37.24545600831207,0.0,30.553099079480347,0.8797997382167111
lancet_ets,Lancet-like ETS baseline,1,华北,North China,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,ssp245,SSP2-4.5（climate）,climate_ssp,p10,2050,5,30.553099079480347,0.2213984012280635,30.774497480708412,0.22139840122806403,47.08182989111065,46.901637305933335,1.550589173842802,1.6648000000000003,0.1142108261571984,37.24545600831207,37.24545600831207,0.0,30.553099079480347,0.22139840122806403
lancet_ets,Lancet-like ETS baseline,1,华北,North China,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,ssp245,SSP2-4.5（climate）,climate_ssp,p90,2050,5,30.553099079480347,1.201043607570679,31.754142687051022,1.2010436075706779,47.08182989111065,47.30185952815556,1.550589173842802,2.1522000000000006,0.6016108261571984,37.24545600831207,37.24545600831207,0.0,30.553099079480347,1.2010436075706779
lancet_ets,Lancet-like ETS baseline,1,华北,North China,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,ssp370,SSP3-7.0（climate）,climate_ssp,median,2050,5,30.553099079480347,0.4985649303085484,31.051664009788897,0.49856493030854876,47.08182989111065,48.98163730593334,1.550589173842802,1.7731999999999992,0.22261082615719713,37.24545600831207,37.24545600831207,0.0,30.553099079480347,0.49856493030854876
lancet_ets,Lancet-like ETS baseline,1,华北,North China,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,ssp370,SSP3-7.0（climate）,climate_ssp,p10,2050,5,30.553099079480347,-0.2631710128291894,30.289928066651157,-0.2631710128291901,47.08182989111065,46.27563730593333,1.550589173842802,1.4301333333333344,-0.1204558405094677,37.24545600831207,37.24545600831207,0.0,30.553099079480347,-0.2631710128291901
lancet_ets,Lancet-like ETS baseline,1,华北,North China,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,ssp370,SSP3-7.0（climate）,climate_ssp,p90,2050,5,30.553099079480347,1.9138628208555217,32.466961900335875,1.9138628208555217,47.08182989111065,50.2543039726,1.550589173842802,2.4669333333333343,0.9163441594905322,37.24545600831207,37.24545600831207,0.0,30.553099079480347,1.9138628208555217
lancet_ets,Lancet-like ETS baseline,1,华北,North China,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,ssp585,SSP5-8.5（climate）,climate_ssp,median,2050,5,30.553099079480347,1.604137770615898,32.15723685009625,1.604137770615899,47.08182989111065,50.81474841704444,1.550589173842802,2.3025333333333338,0.7519441594905315,37.24545600831207,37.24545600831207,0.0,30.553099079480347,1.604137770615899
lancet_ets,Lancet-like ETS baseline,1,华北,North China,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,ssp585,SSP5-8.5（climate）,climate_ssp,p10,2050,5,30.553099079480347,1.1580646392437495,31.711163718724094,1.1580646392437495,47.08182989111065,47.23652619482222,1.550589173842802,2.131533333333333,0.5809441594905312,37.24545600831207,37.24545600831207,0.0,30.553099079480347,1.1580646392437495
lancet_ets,Lancet-like ETS baseline,1,华北,North China,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,ssp585,SSP5-8.5（climate）,climate_ssp,p90,2050,5,30.553099079480347,3.4132777175883433,33.96637679706869,3.413277717588342,47.08182989111065,53.73385952815555,1.550589173842802,3.1699333333333337,1.6193441594905316,37.24545600831207,37.24545600831207,0.0,30.553099079480347,3.413277717588342
lancet_ets,Lancet-like ETS baseline,1,华北,North China,robust_low_vif,稳健性模型 1,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,Province: No / Year: Yes,amc_reduce_50,AMC reduces 50% by 2050,amc_intervention,median,2050,5,30.553099079480347,-2.040842728763354,28.51225635071699,-2.040842728763355,47.08182989111065,47.08182989111065,1.550589173842802,1.550589173842802,0.0,37.24545600831207,18.622728004156034,-18.622728004156034,30.553099079480347,-2.040842728763355
lancet_ets,Lancet-like ETS baseline,1,华北,North China,robust_low_vif,稳健性模型 1,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,Province: No / Year: Yes,baseline_ets,Baseline (ETS),baseline,baseline,2050,5,30.553099079480347,0.0,30.553099079480347,0.0,47.08182989111065,47.08182989111065,1.550589173842802,1.550589173842802,0.0,37.24545600831207,37.24545600831207,0.0,30.553099079480347,0.0
lancet_ets,Lancet-like ETS baseline,1,华北,North China,robust_low_vif,稳健性模型 1,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,Province: No / Year: Yes,ssp119,SSP1-1.9（climate）,climate_ssp,median,2050,5,30.553099079480347,-0.6880993567802591,29.864999722700087,-0.6880993567802591,47.08182989111065,44.32963730593333,1.550589173842802,1.219799999999999,-0.3307891738428029,37.24545600831207,37.24545600831207,0.0,30.553099079480347,-0.6880993567802591
lancet_ets,Lancet-like ETS baseline,1,华北,North China,robust_low_vif,稳健性模型 1,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,Province: No / Year: Yes,ssp119,SSP1-1.9（climate）,climate_ssp,p10,2050,5,30.553099079480347,-0.7308039183630294,29.822295161117317,-0.7308039183630299,47.08182989111065,45.443415083711116,1.550589173842802,1.1782666666666666,-0.3723225071761354,37.24545600831207,37.24545600831207,0.0,30.553099079480347,-0.7308039183630299
lancet_ets,Lancet-like ETS baseline,1,华北,North China,robust_low_vif,稳健性模型 1,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,Province: No / Year: Yes,ssp119,SSP1-1.9（climate）,climate_ssp,p90,2050,5,30.553099079480347,-0.2045545291731316,30.348544550307214,-0.20455452917313152,47.08182989111065,40.297859528155556,1.550589173842802,1.5498000000000003,-0.0007891738428016992,37.24545600831207,37.24545600831207,0.0,30.553099079480347,-0.20455452917313152
lancet_ets,Lancet-like ETS baseline,1,华北,North China,robust_low_vif,稳健性模型 1,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,Province: No / Year: Yes,ssp126,SSP1-2.6（climate）,climate_ssp,median,2050,5,30.553099079480347,-0.03667008918067225,30.516428990299676,-0.03667008918067225,47.08182989111065,45.20808175037778,1.550589173842802,1.5612,0.010610826157197967,37.24545600831207,37.24545600831207,0.0,30.553099079480347,-0.03667008918067225
lancet_ets,Lancet-like ETS baseline,1,华北,North China,robust_low_vif,稳健性模型 1,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,Province: No / Year: Yes,ssp126,SSP1-2.6（climate）,climate_ssp,p10,2050,5,30.553099079480347,-0.35484870632365173,30.198250373156696,-0.3548487063236521,47.08182989111065,46.437415083711116,1.550589173842802,1.3673333333333342,-0.18325584050946792,37.24545600831207,37.24545600831207,0.0,30.553099079480347,-0.3548487063236521
lancet_ets,Lancet-like ETS baseline,1,华北,North China,robust_low_vif,稳健性模型 1,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,Province: No / Year: Yes,ssp126,SSP1-2.6（climate）,climate_ssp,p90,2050,5,30.553099079480347,1.362257107439789,31.91535618692014,1.3622571074397896,47.08182989111065,42.206748417044444,1.550589173842802,2.374266666666667,0.8236774928238653,37.24545600831207,37.24545600831207,0.0,30.553099079480347,1.3622571074397896
lancet_ets,Lancet-like ETS baseline,1,华北,North China,robust_low_vif,稳健性模型 1,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,Province: No / Year: Yes,ssp245,SSP2-4.5（climate）,climate_ssp,median,2050,5,30.553099079480347,0.8153134212359443,31.36841250071629,0.815313421235944,47.08182989111065,48.67119286148889,1.550589173842802,1.9698666666666664,0.4192774928238644,37.24545600831207,37.24545600831207,0.0,30.553099079480347,0.815313421235944
lancet_ets,Lancet-like ETS baseline,1,华北,North China,robust_low_vif,稳健性模型 1,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,Province: No / Year: Yes,ssp245,SSP2-4.5（climate）,climate_ssp,p10,2050,5,30.553099079480347,0.2037336809967401,30.756832760477085,0.20373368099673989,47.08182989111065,46.901637305933335,1.550589173842802,1.6648000000000003,0.1142108261571984,37.24545600831207,37.24545600831207,0.0,30.553099079480347,0.20373368099673989
lancet_ets,Lancet-like ETS baseline,1,华北,North China,robust_low_vif,稳健性模型 1,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,Province: No / Year: Yes,ssp245,SSP2-4.5（climate）,climate_ssp,p90,2050,5,30.553099079480347,1.108182094300475,31.66128117378082,1.1081820943004743,47.08182989111065,47.30185952815556,1.550589173842802,2.1522000000000006,0.6016108261571984,37.24545600831207,37.24545600831207,0.0,30.553099079480347,1.1081820943004743
lancet_ets,Lancet-like ETS baseline,1,华北,North China,robust_low_vif,稳健性模型 1,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,Province: No / Year: Yes,ssp370,SSP3-7.0（climate）,climate_ssp,median,2050,5,30.553099079480347,0.46449661045567225,31.01759568993602,0.46449661045567225,47.08182989111065,48.98163730593334,1.550589173842802,1.7731999999999992,0.22261082615719713,37.24545600831207,37.24545600831207,0.0,30.553099079480347,0.46449661045567225
lancet_ets,Lancet-like ETS baseline,1,华北,North China,robust_low_vif,稳健性模型 1,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,Province: No / Year: Yes,ssp370,SSP3-7.0（climate）,climate_ssp,p10,2050,5,30.553099079480347,-0.24470076698490714,30.308398312495438,-0.24470076698490645,47.08182989111065,46.27563730593333,1.550589173842802,1.4301333333333344,-0.1204558405094677,37.24545600831207,37.24545600831207,0.0,30.553099079480347,-0.24470076698490645
lancet_ets,Lancet-like ETS baseline,1,华北,North China,robust_low_vif,稳健性模型 1,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,Province: No / Year: Yes,ssp370,SSP3-7.0（climate）,climate_ssp,p90,2050,5,30.553099079480347,1.7728774688420663,32.325976548322416,1.7728774688420672,47.08182989111065,50.2543039726,1.550589173842802,2.4669333333333343,0.9163441594905322,37.24545600831207,37.24545600831207,0.0,30.553099079480347,1.7728774688420672
lancet_ets,Lancet-like ETS baseline,1,华北,North China,robust_low_vif,稳健性模型 1,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,Province: No / Year: Yes,ssp585,SSP5-8.5（climate）,climate_ssp,median,2050,5,30.553099079480347,1.4886282468192054,32.04172732629955,1.4886282468192058,47.08182989111065,50.81474841704444,1.550589173842802,2.3025333333333338,0.7519441594905315,37.24545600831207,37.24545600831207,0.0,30.553099079480347,1.4886282468192058
lancet_ets,Lancet-like ETS baseline,1,华北,North China,robust_low_vif,稳健性模型 1,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,Province: No / Year: Yes,ssp585,SSP5-8.5（climate）,climate_ssp,p10,2050,5,30.553099079480347,1.0683838242957566,31.621482903776105,1.0683838242957564,47.08182989111065,47.23652619482222,1.550589173842802,2.131533333333333,0.5809441594905312,37.24545600831207,37.24545600831207,0.0,30.553099079480347,1.0683838242957564
lancet_ets,Lancet-like ETS baseline,1,华北,North China,robust_low_vif,稳健性模型 1,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,Province: No / Year: Yes,ssp585,SSP5-8.5（climate）,climate_ssp,p90,2050,5,30.553099079480347,3.1642997021426105,33.717398781622954,3.1642997021426105,47.08182989111065,53.73385952815555,1.550589173842802,3.1699333333333337,1.6193441594905316,37.24545600831207,37.24545600831207,0.0,30.553099079480347,3.1642997021426105
lancet_ets,Lancet-like ETS baseline,1,华北,North China,robust_systematic,稳健性模型 2,SYS_09556 | Province: No / Year: Yes,SYS_09556,Province: No / Year: Yes,amc_reduce_50,AMC reduces 50% by 2050,amc_intervention,median,2050,5,30.553099079480347,-1.8819730342563556,28.671126045223993,-1.8819730342563552,47.08182989111065,47.08182989111065,1.550589173842802,1.550589173842802,0.0,37.24545600831207,18.622728004156034,-18.622728004156034,30.553099079480347,-1.8819730342563552
lancet_ets,Lancet-like ETS baseline,1,华北,North China,robust_systematic,稳健性模型 2,SYS_09556 | Province: No / Year: Yes,SYS_09556,Province: No / Year: Yes,baseline_ets,Baseline (ETS),baseline,baseline,2050,5,30.553099079480347,0.0,30.553099079480347,0.0,47.08182989111065,47.08182989111065,1.550589173842802,1.550589173842802,0.0,37.24545600831207,37.24545600831207,0.0,30.553099079480347,0.0
lancet_ets,Lancet-like ETS baseline,1,华北,North China,robust_systematic,稳健性模型 2,SYS_09556 | Province: No / Year: Yes,SYS_09556,Province: No / Year: Yes,ssp119,SSP1-1.9（climate）,climate_ssp,median,2050,5,30.553099079480347,-0.4792030552569192,30.073896024223426,-0.47920305525692014,47.08182989111065,44.32963730593333,1.550589173842802,1.219799999999999,-0.3307891738428029,37.24545600831207,37.24545600831207,0.0,30.553099079480347,-0.47920305525692014
lancet_ets,Lancet-like ETS baseline,1,华北,North China,robust_systematic,稳健性模型 2,SYS_09556 | Province: No / Year: Yes,SYS_09556,Province: No / Year: Yes,ssp119,SSP1-1.9（climate）,climate_ssp,p10,2050,5,30.553099079480347,-0.48612180942888905,30.06697727005146,-0.4861218094288894,47.08182989111065,45.443415083711116,1.550589173842802,1.1782666666666666,-0.3723225071761354,37.24545600831207,37.24545600831207,0.0,30.553099079480347,-0.4861218094288894
