Province,Year,scenario,statistic,省平均气温,additive_bias,overlap_n,省平均气温_aligned
上海,2024,ssp119,median,17.62,-0.3052704111111113,9,17.31472958888889
上海,2025,ssp119,median,17.55,-0.3052704111111113,9,17.24472958888889
上海,2026,ssp119,median,17.53,-0.3052704111111113,9,17.22472958888889
上海,2027,ssp119,median,17.59,-0.3052704111111113,9,17.28472958888889
上海,2028,ssp119,median,17.63,-0.3052704111111113,9,17.32472958888889
上海,2029,ssp119,median,17.64,-0.3052704111111113,9,17.33472958888889
上海,2030,ssp119,median,17.69,-0.3052704111111113,9,17.38472958888889
上海,2031,ssp119,median,17.64,-0.3052704111111113,9,17.33472958888889
上海,2032,ssp119,median,17.8,-0.3052704111111113,9,17.49472958888889
上海,2033,ssp119,median,17.85,-0.3052704111111113,9,17.54472958888889
上海,2034,ssp119,median,17.78,-0.3052704111111113,9,17.47472958888889
上海,2035,ssp119,median,17.78,-0.3052704111111113,9,17.47472958888889
上海,2036,ssp119,median,17.89,-0.3052704111111113,9,17.58472958888889
上海,2037,ssp119,median,17.91,-0.3052704111111113,9,17.60472958888889
上海,2038,ssp119,median,17.94,-0.3052704111111113,9,17.63472958888889
上海,2039,ssp119,median,17.89,-0.3052704111111113,9,17.58472958888889
上海,2040,ssp119,median,17.79,-0.3052704111111113,9,17.48472958888889
上海,2041,ssp119,median,17.89,-0.3052704111111113,9,17.58472958888889
上海,2042,ssp119,median,17.89,-0.3052704111111113,9,17.58472958888889
上海,2043,ssp119,median,17.97,-0.3052704111111113,9,17.66472958888889
上海,2044,ssp119,median,17.95,-0.3052704111111113,9,17.64472958888889
上海,2045,ssp119,median,17.96,-0.3052704111111113,9,17.65472958888889
上海,2046,ssp119,median,17.91,-0.3052704111111113,9,17.60472958888889
上海,2047,ssp119,median,17.9,-0.3052704111111113,9,17.59472958888889
上海,2048,ssp119,median,18.01,-0.3052704111111113,9,17.704729588888892
上海,2049,ssp119,median,17.97,-0.3052704111111113,9,17.66472958888889
上海,2050,ssp119,median,18.01,-0.3052704111111113,9,17.704729588888892
上海,2024,ssp119,p10,16.9,0.48139625555555593,9,17.381396255555554
上海,2025,ssp119,p10,16.78,0.48139625555555593,9,17.261396255555557
上海,2026,ssp119,p10,16.79,0.48139625555555593,9,17.271396255555555
上海,2027,ssp119,p10,17.01,0.48139625555555593,9,17.491396255555557
上海,2028,ssp119,p10,16.84,0.48139625555555593,9,17.321396255555555
上海,2029,ssp119,p10,16.85,0.48139625555555593,9,17.331396255555557
上海,2030,ssp119,p10,16.73,0.48139625555555593,9,17.211396255555556
上海,2031,ssp119,p10,16.95,0.48139625555555593,9,17.431396255555555
上海,2032,ssp119,p10,17.19,0.48139625555555593,9,17.671396255555557
上海,2033,ssp119,p10,16.96,0.48139625555555593,9,17.441396255555556
上海,2034,ssp119,p10,17.13,0.48139625555555593,9,17.611396255555555
上海,2035,ssp119,p10,17.08,0.48139625555555593,9,17.561396255555554
上海,2036,ssp119,p10,17.02,0.48139625555555593,9,17.501396255555555
上海,2037,ssp119,p10,17.15,0.48139625555555593,9,17.631396255555554
上海,2038,ssp119,p10,17.1,0.48139625555555593,9,17.581396255555557
上海,2039,ssp119,p10,17.12,0.48139625555555593,9,17.601396255555557
上海,2040,ssp119,p10,17.12,0.48139625555555593,9,17.601396255555557
