Province,region,region_en,region_order,ssp119,ssp585,scenario_gap,scenario_gap_abs,scenario_midpoint
宁夏,西北,Northwest China,7,-0.3291476343142232,0.9497412545746649,1.278888888888888,1.278888888888888,0.3102968101302208
上海,华东,East China,3,-0.2687458294549039,1.001254170545092,1.2699999999999958,1.2699999999999958,0.366254170545094
浙江,华东,East China,3,0.0802333365541514,1.269122225443038,1.1888888888888867,1.1888888888888867,0.6746777809985948
甘肃,西北,Northwest China,7,-0.5318198499299447,0.6326245945144997,1.1644444444444444,1.1644444444444444,0.05040237229227751
山西,华北,North China,1,-0.7033764663073203,0.4366235336926785,1.1399999999999988,1.1399999999999988,-0.13337646630732092
西藏,西南,Southwest China,6,0.6870800639436565,1.819302286165879,1.1322222222222225,1.1322222222222225,1.2531911750547677
青海,西北,Northwest China,7,0.6493346821842523,1.7593346821842522,1.1099999999999999,1.1099999999999999,1.2043346821842522
黑龙江,东北,Northeast China,2,-0.1793898241358653,0.919499064753024,1.0988888888888892,1.0988888888888892,0.3700546203085794
新疆,西北,Northwest China,7,-1.679722602993632,-0.5808337141047435,1.0988888888888886,1.0988888888888886,-1.1302781585491877
江苏,华东,East China,3,-0.4302671372442752,0.6630661960890585,1.0933333333333337,1.0933333333333337,0.11639952942239165
安徽,华东,East China,3,-0.3410914304361512,0.7511307917860677,1.0922222222222189,1.0922222222222189,0.20501968067495824
陕西,西北,Northwest China,7,-0.8142576617676784,0.2735201160101006,1.087777777777779,1.087777777777779,-0.2703687728787889
四川,西南,Southwest China,6,-0.6441350118637104,0.4314205436918463,1.0755555555555567,1.0755555555555567,-0.10635723408593203
内蒙古,华北,North China,1,0.0274722537721778,1.080805587105511,1.053333333333333,1.053333333333333,0.5541389204388444
吉林,东北,Northeast China,2,-0.797538223452225,0.2113506654366634,1.0088888888888885,1.0088888888888885,-0.29309377900778083
山东,华东,East China,3,-0.6231750115474437,0.350158321785889,0.9733333333333327,0.9733333333333327,-0.13650834488077734
江西,华东,East China,3,-0.3709121520848164,0.6001989590262973,0.9711111111111137,0.9711111111111137,0.11464340347074042
重庆,西南,Southwest China,6,-1.324024221506697,-0.3540242215066946,0.9700000000000024,0.9700000000000024,-0.8390242215066959
福建,华东,East China,3,0.2847273732836619,1.2502829288392192,0.9655555555555573,0.9655555555555573,0.7675051510614406
贵州,西南,Southwest China,6,-1.235220954161914,-0.2785542874952469,0.956666666666667,0.956666666666667,-0.7568876208285804
云南,西南,Southwest China,6,-0.745706141852164,0.1965160803700598,0.9422222222222238,0.9422222222222238,-0.27459503074105207
湖南,华中,Central China,4,-1.420356798921862,-0.4914679100329735,0.9288888888888884,0.9288888888888884,-0.9559123544774177
河北,华北,North China,1,-0.3857404636790349,0.5331484252098555,0.9188888888888904,0.9188888888888904,0.07370398076541029
广东,华南,South China,5,0.1890115421757414,1.0923448755090774,0.903333333333336,0.903333333333336,0.6406782088424094
河南,华中,Central China,4,-1.3237614446053705,-0.4215392223831458,0.9022222222222247,0.9022222222222247,-0.8726503334942581
湖北,华中,Central China,4,-1.5847032249344934,-0.6958143360456006,0.8888888888888928,0.8888888888888928,-1.140258780490047
广西,华南,South China,5,-1.1403555665812275,-0.2548000110256723,0.8855555555555552,0.8855555555555552,-0.6975777888034499
辽宁,东北,Northeast China,2,-0.2419697015897153,0.6191414095213954,0.8611111111111107,0.8611111111111107,0.18858585396584004
北京,华北,North China,1,-0.1593183128852668,0.680681687114733,0.8399999999999997,0.8399999999999997,0.2606816871147331
海南,华南,South China,5,0.1518869449005997,0.9563313893450456,0.8044444444444458,0.8044444444444458,0.5541091671228227
天津,华北,North China,1,-0.2268645507178881,0.5031354492821123,0.7300000000000004,0.7300000000000004,0.13813544928211208
