Province,variable,ets_method,baseline_mode,baseline_mode_label,role_id,role_label,model_id,scheme_id,component,method
上海,value,ets_add_damped,lancet_ets,Lancet-like ETS baseline,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,baseline_outcome,ets_add_damped
云南,value,ets_add_damped,lancet_ets,Lancet-like ETS baseline,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,baseline_outcome,ets_add_damped
内蒙古,value,ets_add_damped,lancet_ets,Lancet-like ETS baseline,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,baseline_outcome,ets_add_damped
北京,value,ets_add_damped,lancet_ets,Lancet-like ETS baseline,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,baseline_outcome,ets_add_damped
吉林,value,ets_add_damped,lancet_ets,Lancet-like ETS baseline,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,baseline_outcome,ets_add_damped
四川,value,ets_add_damped,lancet_ets,Lancet-like ETS baseline,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,baseline_outcome,ets_add_damped
天津,value,ets_add_damped,lancet_ets,Lancet-like ETS baseline,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,baseline_outcome,ets_add_damped
宁夏,value,ets_add_damped,lancet_ets,Lancet-like ETS baseline,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,baseline_outcome,ets_add_damped
安徽,value,ets_add_damped,lancet_ets,Lancet-like ETS baseline,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,baseline_outcome,ets_add_damped
山东,value,ets_add_damped,lancet_ets,Lancet-like ETS baseline,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,baseline_outcome,ets_add_damped
山西,value,ets_add_damped,lancet_ets,Lancet-like ETS baseline,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,baseline_outcome,ets_add_damped
广东,value,ets_add_damped,lancet_ets,Lancet-like ETS baseline,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,baseline_outcome,ets_add_damped
广西,value,ets_add_damped,lancet_ets,Lancet-like ETS baseline,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,baseline_outcome,ets_add_damped
新疆,value,ets_add_damped,lancet_ets,Lancet-like ETS baseline,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,baseline_outcome,ets_add_damped
江苏,value,ets_add_damped,lancet_ets,Lancet-like ETS baseline,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,baseline_outcome,ets_add_damped
