Province,variable,ets_method
上海,GDP,ets_add_damped
云南,GDP,ets_add_damped
内蒙古,GDP,ets_add_damped
北京,GDP,ets_add_damped
吉林,GDP,ets_add_damped
四川,GDP,ets_add_damped
天津,GDP,ets_add_damped
宁夏,GDP,ets_add_damped
安徽,GDP,ets_add_damped
山东,GDP,ets_add_damped
山西,GDP,ets_add_damped
广东,GDP,ets_add_damped
广西,GDP,ets_add_damped
新疆,GDP,ets_add_damped
江苏,GDP,ets_add_damped
江西,GDP,ets_add_damped
河北,GDP,ets_add_damped
河南,GDP,ets_add_damped
浙江,GDP,ets_add_damped
海南,GDP,ets_add_damped
湖北,GDP,ets_add_damped
湖南,GDP,ets_add_damped
甘肃,GDP,ets_add_damped
福建,GDP,ets_add_damped
西藏,GDP,ets_add_damped
贵州,GDP,ets_add_damped
辽宁,GDP,ets_add_damped
重庆,GDP,ets_add_damped
陕西,GDP,ets_add_damped
青海,GDP,ets_add_damped
黑龙江,GDP,ets_add_damped
上海,PM2.5,ets_add_damped
云南,PM2.5,ets_add_damped
内蒙古,PM2.5,ets_add_damped
北京,PM2.5,ets_add_damped
吉林,PM2.5,ets_add_damped
四川,PM2.5,ets_add_damped
天津,PM2.5,ets_add_damped
宁夏,PM2.5,ets_add_damped
安徽,PM2.5,ets_add_damped
山东,PM2.5,ets_add_damped
山西,PM2.5,ets_add_damped
广东,PM2.5,ets_add_damped
广西,PM2.5,ets_add_damped
新疆,PM2.5,ets_add_damped
江苏,PM2.5,ets_add_damped
江西,PM2.5,ets_add_damped
河北,PM2.5,ets_add_damped
河南,PM2.5,ets_add_damped
浙江,PM2.5,ets_add_damped
海南,PM2.5,ets_add_damped
湖北,PM2.5,ets_add_damped
湖南,PM2.5,ets_add_damped
甘肃,PM2.5,ets_add_damped
福建,PM2.5,ets_add_damped
西藏,PM2.5,ets_add_damped
贵州,PM2.5,ets_add_damped
辽宁,PM2.5,ets_add_damped
重庆,PM2.5,ets_add_damped
陕西,PM2.5,ets_add_damped
青海,PM2.5,ets_add_damped
黑龙江,PM2.5,ets_add_damped
上海,R1xday,ets_add_damped
云南,R1xday,ets_add_damped
内蒙古,R1xday,ets_add_damped
北京,R1xday,ets_add_damped
吉林,R1xday,ets_add_damped
四川,R1xday,ets_add_damped
天津,R1xday,ets_add_damped
宁夏,R1xday,ets_add_damped
安徽,R1xday,ets_add_damped
山东,R1xday,ets_add_damped
山西,R1xday,ets_add_damped
广东,R1xday,ets_add_damped
广西,R1xday,ets_add_damped
新疆,R1xday,ets_add_damped
江苏,R1xday,ets_add_damped
江西,R1xday,ets_add_damped
河北,R1xday,ets_add_damped
河南,R1xday,ets_add_damped
浙江,R1xday,ets_add_damped
海南,R1xday,ets_add_damped
湖北,R1xday,ets_add_damped
湖南,R1xday,ets_add_damped
甘肃,R1xday,ets_add_damped
福建,R1xday,ets_add_damped
西藏,R1xday,ets_add_damped
贵州,R1xday,ets_add_damped
辽宁,R1xday,ets_add_damped
重庆,R1xday,ets_add_damped
陕西,R1xday,ets_add_damped
青海,R1xday,ets_add_damped
黑龙江,R1xday,ets_add_damped
上海,TA（°C）,ets_add_damped
云南,TA（°C）,ets_add_damped
内蒙古,TA（°C）,ets_add_damped
北京,TA（°C）,ets_add_damped
吉林,TA（°C）,ets_add_damped
四川,TA（°C）,ets_add_damped
天津,TA（°C）,ets_add_damped
宁夏,TA（°C）,ets_add_damped
安徽,TA（°C）,ets_add_damped
山东,TA（°C）,ets_add_damped
山西,TA（°C）,ets_add_damped
广东,TA（°C）,ets_add_damped
广西,TA（°C）,ets_add_damped
新疆,TA（°C）,ets_add_damped
江苏,TA（°C）,ets_add_damped
江西,TA（°C）,ets_add_damped
河北,TA（°C）,ets_add_damped
河南,TA（°C）,ets_add_damped
浙江,TA（°C）,ets_add_damped
海南,TA（°C）,ets_add_damped
湖北,TA（°C）,ets_add_damped
湖南,TA（°C）,ets_add_damped
甘肃,TA（°C）,ets_add_damped
福建,TA（°C）,ets_add_damped
西藏,TA（°C）,ets_add_damped
贵州,TA（°C）,ets_add_damped
辽宁,TA（°C）,ets_add_damped
重庆,TA（°C）,ets_add_damped
陕西,TA（°C）,ets_add_damped
青海,TA（°C）,ets_add_damped
黑龙江,TA（°C）,ets_add_damped
上海,主要城市日照时数,ets_add_damped
云南,主要城市日照时数,ets_add_damped
内蒙古,主要城市日照时数,ets_add_damped
北京,主要城市日照时数,ets_add_damped
吉林,主要城市日照时数,ets_add_damped
四川,主要城市日照时数,ets_add_damped
天津,主要城市日照时数,ets_add_damped
宁夏,主要城市日照时数,ets_add_damped
安徽,主要城市日照时数,ets_add_damped
山东,主要城市日照时数,ets_add_damped
山西,主要城市日照时数,ets_add_damped
广东,主要城市日照时数,ets_add_damped
广西,主要城市日照时数,ets_add_damped
新疆,主要城市日照时数,ets_add_damped
江苏,主要城市日照时数,ets_add_damped
江西,主要城市日照时数,ets_add_damped
河北,主要城市日照时数,ets_add_damped
河南,主要城市日照时数,ets_add_damped
浙江,主要城市日照时数,ets_add_damped
海南,主要城市日照时数,ets_add_damped
湖北,主要城市日照时数,ets_add_damped
湖南,主要城市日照时数,ets_add_damped
甘肃,主要城市日照时数,ets_add_damped
福建,主要城市日照时数,ets_add_damped
西藏,主要城市日照时数,ets_add_damped
贵州,主要城市日照时数,ets_add_damped
辽宁,主要城市日照时数,ets_add_damped
重庆,主要城市日照时数,ets_add_damped
陕西,主要城市日照时数,ets_add_damped
青海,主要城市日照时数,ets_add_damped
黑龙江,主要城市日照时数,ets_add_damped
上海,主要城市降水量,ets_add_damped
云南,主要城市降水量,ets_add_damped
内蒙古,主要城市降水量,ets_add_damped
北京,主要城市降水量,ets_add_damped
吉林,主要城市降水量,ets_add_damped
四川,主要城市降水量,ets_add_damped
天津,主要城市降水量,ets_add_damped
宁夏,主要城市降水量,ets_add_damped
安徽,主要城市降水量,ets_add_damped
山东,主要城市降水量,ets_add_damped
山西,主要城市降水量,ets_add_damped
广东,主要城市降水量,ets_add_damped
广西,主要城市降水量,ets_add_damped
新疆,主要城市降水量,ets_add_damped
江苏,主要城市降水量,ets_add_damped
江西,主要城市降水量,ets_add_damped
河北,主要城市降水量,ets_add_damped
河南,主要城市降水量,ets_add_damped
浙江,主要城市降水量,ets_add_damped
海南,主要城市降水量,ets_add_damped
湖北,主要城市降水量,ets_add_damped
湖南,主要城市降水量,ets_add_damped
甘肃,主要城市降水量,ets_add_damped
福建,主要城市降水量,ets_add_damped
西藏,主要城市降水量,ets_add_damped
贵州,主要城市降水量,ets_add_damped
辽宁,主要城市降水量,ets_add_damped
重庆,主要城市降水量,ets_add_damped
陕西,主要城市降水量,ets_add_damped
青海,主要城市降水量,ets_add_damped
黑龙江,主要城市降水量,ets_add_damped
上海,人均日生活用水量(升),ets_add_damped
云南,人均日生活用水量(升),ets_add_damped
内蒙古,人均日生活用水量(升),ets_add_damped
北京,人均日生活用水量(升),ets_add_damped
吉林,人均日生活用水量(升),ets_add_damped
四川,人均日生活用水量(升),ets_add_damped
天津,人均日生活用水量(升),ets_add_damped
宁夏,人均日生活用水量(升),ets_add_damped
安徽,人均日生活用水量(升),ets_add_damped
山东,人均日生活用水量(升),ets_add_damped
山西,人均日生活用水量(升),ets_add_damped
广东,人均日生活用水量(升),ets_add_damped
