predictor,coef,role_id,role_label,scheme_id
R1xday,0.8553290261795496,strict_main_model,严筛主模型,SYS_09851
抗菌药物使用强度,0.6422790746861687,strict_main_model,严筛主模型,SYS_09851
TA（°C）,0.4723773054202255,strict_main_model,严筛主模型,SYS_09851
PM2.5,0.4087155202664567,strict_main_model,严筛主模型,SYS_09851
医疗水平,1.406610847764336,strict_main_model,严筛主模型,SYS_09851
"卫生程度
（日污水处理能力）",0.6617316250963734,strict_main_model,严筛主模型,SYS_09851
"牲畜饲养
-猪年底头数",0.8368980494155075,strict_main_model,严筛主模型,SYS_09851
食品消费量,0.7254226314591731,strict_main_model,严筛主模型,SYS_09851
R1xday,0.8918085904973961,strict_top_02,严筛模型 2,SYS_10001
抗菌药物使用强度,0.6347530197868431,strict_top_02,严筛模型 2,SYS_10001
TA（°C）,0.4578477866444546,strict_top_02,严筛模型 2,SYS_10001
PM2.5,0.43345700733543124,strict_top_02,严筛模型 2,SYS_10001
医疗水平,1.300414451051195,strict_top_02,严筛模型 2,SYS_10001
"饮用水
供水综合生产能力(万立方米/日)",0.6544660521892253,strict_top_02,严筛模型 2,SYS_10001
"牲畜饲养
-猪年底头数",0.8706976759640055,strict_top_02,严筛模型 2,SYS_10001
食品消费量,0.7297455307418353,strict_top_02,严筛模型 2,SYS_10001
R1xday,0.9147969466498762,strict_top_03,严筛模型 3,SYS_10002
抗菌药物使用强度,0.6692767756048551,strict_top_03,严筛模型 3,SYS_10002
TA（°C）,0.6920954744804111,strict_top_03,严筛模型 3,SYS_10002
PM2.5,0.7593035921398783,strict_top_03,严筛模型 3,SYS_10002
医疗水平,1.2919869633731786,strict_top_03,严筛模型 3,SYS_10002
"饮用水
供水综合生产能力(万立方米/日)",0.5828439935175485,strict_top_03,严筛模型 3,SYS_10002
"牲畜饲养
-猪年底头数",1.0167616719236463,strict_top_03,严筛模型 3,SYS_10002
文盲比例,0.8526559654185035,strict_top_03,严筛模型 3,SYS_10002
R1xday,0.9790142188548401,strict_top_04,严筛模型 4,SYS_09941
抗菌药物使用强度,0.7563925147800794,strict_top_04,严筛模型 4,SYS_09941
TA（°C）,0.5106792364915679,strict_top_04,严筛模型 4,SYS_09941
PM2.5,0.4173074423363382,strict_top_04,严筛模型 4,SYS_09941
医疗水平,1.4734351305860134,strict_top_04,严筛模型 4,SYS_09941
城市用水普及率,0.5147963195904736,strict_top_04,严筛模型 4,SYS_09941
"牲畜饲养
-猪年底头数",1.1570069160556031,strict_top_04,严筛模型 4,SYS_09941
PA（%）,-0.09692622646931605,strict_top_04,严筛模型 4,SYS_09941
食品消费量,0.7566331577096598,strict_top_04,严筛模型 4,SYS_09941
R1xday,0.9469588021691318,strict_top_05,严筛模型 5,SYS_09926
抗菌药物使用强度,0.7552918908630947,strict_top_05,严筛模型 5,SYS_09926
TA（°C）,0.5358661837527696,strict_top_05,严筛模型 5,SYS_09926
PM2.5,0.41767529983537494,strict_top_05,严筛模型 5,SYS_09926
医疗水平,1.453179403104753,strict_top_05,严筛模型 5,SYS_09926
城市用水普及率,0.5063897951908964,strict_top_05,严筛模型 5,SYS_09926
"牲畜饲养
-猪年底头数",1.1560835167885763,strict_top_05,严筛模型 5,SYS_09926
食品消费量,0.7300000481133141,strict_top_05,严筛模型 5,SYS_09926
R1xday,0.9813240622594429,strict_top_06,严筛模型 6,SYS_09927
抗菌药物使用强度,0.7753648617455484,strict_top_06,严筛模型 6,SYS_09927
TA（°C）,0.7763279009849404,strict_top_06,严筛模型 6,SYS_09927
PM2.5,0.7622700485766568,strict_top_06,严筛模型 6,SYS_09927
医疗水平,1.4419735927639874,strict_top_06,严筛模型 6,SYS_09927
城市用水普及率,0.4088597352965271,strict_top_06,严筛模型 6,SYS_09927
"牲畜饲养
-猪年底头数",1.2688677019256875,strict_top_06,严筛模型 6,SYS_09927
文盲比例,0.8862143514291124,strict_top_06,严筛模型 6,SYS_09927
R1xday,0.9849217800128025,strict_top_07,严筛模型 7,SYS_09791
抗菌药物使用强度,0.7443787105286491,strict_top_07,严筛模型 7,SYS_09791
TA（°C）,0.5818394252921388,strict_top_07,严筛模型 7,SYS_09791
PM2.5,0.5048087730562856,strict_top_07,严筛模型 7,SYS_09791
医疗水平,1.4400681944554719,strict_top_07,严筛模型 7,SYS_09791
生活垃圾无害化处理率,0.23001631577285128,strict_top_07,严筛模型 7,SYS_09791
"牲畜饲养
-猪年底头数",1.0352010219000711,strict_top_07,严筛模型 7,SYS_09791
PA（%）,-0.09423811459964693,strict_top_07,严筛模型 7,SYS_09791
食品消费量,0.6478107482171747,strict_top_07,严筛模型 7,SYS_09791
R1xday,0.9544184763183855,strict_top_08,严筛模型 8,SYS_09776
抗菌药物使用强度,0.7434790767495798,strict_top_08,严筛模型 8,SYS_09776
TA（°C）,0.6052927438247809,strict_top_08,严筛模型 8,SYS_09776
PM2.5,0.5040831817875955,strict_top_08,严筛模型 8,SYS_09776
医疗水平,1.4211500953151779,strict_top_08,严筛模型 8,SYS_09776
生活垃圾无害化处理率,0.22308798081061332,strict_top_08,严筛模型 8,SYS_09776
"牲畜饲养
-猪年底头数",1.03674913178348,strict_top_08,严筛模型 8,SYS_09776
食品消费量,0.6233516072139561,strict_top_08,严筛模型 8,SYS_09776
R1xday,1.0637597396111496,robust_systematic,稳健性模型 2,SYS_09556
抗菌药物使用强度,0.7029203300612673,robust_systematic,稳健性模型 2,SYS_09556
TA（°C）,0.3178571152716953,robust_systematic,稳健性模型 2,SYS_09556
PM2.5,0.18850637799965306,robust_systematic,稳健性模型 2,SYS_09556
GDP,1.0907232403107088,robust_systematic,稳健性模型 2,SYS_09556
城市用水普及率,0.19880740269219868,robust_systematic,稳健性模型 2,SYS_09556
"牲畜饲养
-猪年底头数",0.6133250844428078,robust_systematic,稳健性模型 2,SYS_09556
主要城市降水量,-0.6977989464629853,robust_systematic,稳健性模型 2,SYS_09556
食品消费量,0.3890430936698348,robust_systematic,稳健性模型 2,SYS_09556
R1xday,1.0748138137533276,robust_systematic_2,稳健性模型 3,SYS_09557
抗菌药物使用强度,0.718164451016465,robust_systematic_2,稳健性模型 3,SYS_09557
TA（°C）,0.4553809280930171,robust_systematic_2,稳健性模型 3,SYS_09557
PM2.5,0.3771141365484911,robust_systematic_2,稳健性模型 3,SYS_09557
