Province,region,region_en,region_order,ssp119,ssp585,scenario_gap,scenario_midpoint
海南,华南,South China,5,24.06179281426187,24.47670129632092,0.4149084820590474,24.269247055291395
天津,华北,North China,1,29.359727408366844,29.63565992236686,0.27593251400001506,29.497693665366853
北京,华北,North China,1,34.223141371178215,34.48665940494428,0.2635180337660614,34.354900388061246
河北,华北,North China,1,31.982448643640755,32.17965680031719,0.1972081566764352,32.08105272197897
辽宁,东北,Northeast China,2,23.395133006250063,23.573338731848395,0.1782057255983318,23.48423586904923
吉林,东北,Northeast China,2,29.984540750964992,30.15771447390849,0.1731737229434991,30.07112761243674
江西,华东,East China,3,27.954286703091917,28.123885055728035,0.16959835263611822,28.039085879409974
山东,华东,East China,3,35.19346100056411,35.3574645607748,0.16400356021068774,35.27546278066946
安徽,华东,East China,3,24.091001300746864,24.25328338636511,0.1622820856182443,24.172142343555986
浙江,华东,East China,3,32.73227595395474,32.88492440291144,0.15264844895669683,32.80860017843309
上海,华东,East China,3,31.499968536556924,31.640864610892148,0.1408960743352239,31.570416573724536
湖北,华中,Central China,4,29.51186741306992,29.6503468019196,0.13847938884968158,29.58110710749476
江苏,华东,East China,3,34.95479335154808,35.0898628964935,0.13506954494541645,35.02232812402079
山西,华北,North China,1,30.56302059871847,30.69653419547457,0.13351359675609942,30.629777397096518
黑龙江,东北,Northeast China,2,24.9142149150421,25.036903085034183,0.12268816999208454,24.97555900003814
重庆,西南,Southwest China,6,28.368386527917657,28.487896590969854,0.11951006305219636,28.428141559443755
四川,西南,Southwest China,6,28.3057743451892,28.416180456069828,0.11040611088062846,28.360977400629515
湖南,华中,Central China,4,32.00411386661598,32.10253586591077,0.09842199929478568,32.053324866263374
内蒙古,华北,North China,1,30.48800058414934,30.583939687397336,0.09593910324799637,30.53597013577334
广西,华南,South China,5,25.278949492924045,25.37051869912969,0.09156920620564435,25.324734096026866
河南,华中,Central China,4,32.987640019467634,33.07586559233027,0.08822557286263333,33.03175280589895
福建,华东,East China,3,29.53996398844945,29.62703087649025,0.08706688804079832,29.583497432469848
宁夏,西北,Northwest China,7,27.76178149328364,27.848120065150717,0.08633857186707772,27.80495077921718
陕西,西北,Northwest China,7,26.823790148203088,26.903275926981017,0.07948577877792928,26.863533037592052
贵州,西南,Southwest China,6,30.455905972436096,30.53208122315164,0.07617525071554354,30.493993597793867
云南,西南,Southwest China,6,28.49024035698869,28.565621080969255,0.07538072398056528,28.527930718978972
广东,华南,South China,5,37.71434902095675,37.776421422126525,0.06207240116977175,37.74538522154164
青海,西北,Northwest China,7,27.88202365047572,27.923405251255563,0.0413816007798431,27.90271445086564
西藏,西南,Southwest China,6,28.90886845785597,28.94505252957787,0.03618407172189819,28.92696049371692
甘肃,西北,Northwest China,7,25.879408966142748,25.912183193960384,0.032774227817636614,25.895796080051568
新疆,西北,Northwest China,7,31.48844233278705,31.495030283631205,0.006587950844156865,31.491736308209127
