AMR,Predictor,Coef,CI_lo,CI_hi,p,N,R2_within
MRCNS,省平均气温,0.7035754790133061,-14.041044371640314,15.448195329666927,0.9255825722727988,239,-0.39284098929603206
MRCNS,省平均降水,-0.8167141386698124,-2.8949852090852213,1.2615569317455968,0.44210154312846717,239,-0.39284098929603206
MRCNS,R1xday,-0.17107530300353554,-0.6524435951336859,0.31029298912661474,0.48690887362245827,239,-0.39284098929603206
MRCNS,PM2.5,-0.2066515114246026,-1.7301181972648547,1.3168151744156495,0.7906267234542206,239,-0.39284098929603206
MRCNS,医疗水平,2.051764691539829,-2.434139113789351,6.537668496869008,0.3711209110848743,239,-0.39284098929603206
MRCNS,GDP,-1.7755829834888934,-4.646725911045084,1.095559944067297,0.22695183784034767,239,-0.39284098929603206
MRCNS,城市用水普及率,0.7575956722269241,-1.3364042836539993,2.8515956281078476,0.47910861384373016,239,-0.39284098929603206
MRCNS,生活垃圾无害化处理率,-0.24759644021739,-1.3576763834874004,0.8624835030526203,0.6624798412811841,239,-0.39284098929603206
MRCNS,抗菌药物使用强度,0.11205635668799539,-0.517390294978495,0.7415030083544858,0.7275250455784747,239,-0.39284098929603206
VREFS,省平均气温,1.5214190702896648,0.13049283388348987,2.9123453066958396,0.03329346738468031,239,0.05429032538438128
VREFS,省平均降水,0.10690458334280346,-0.0554400854086949,0.26924925209430184,0.19836299944477376,239,0.05429032538438128
VREFS,R1xday,0.02383360257495503,-0.030936131772682604,0.07860333692259266,0.39476435246686314,239,0.05429032538438128
VREFS,PM2.5,-0.10093896488678546,-0.16081014362902318,-0.04106778614454774,0.0011344175819636426,239,0.05429032538438128
VREFS,医疗水平,-0.033280019394383464,-0.24908855940858177,0.18252852061981484,0.7627844706346187,239,0.05429032538438128
VREFS,GDP,-0.017699510832892985,-0.25841026108527027,0.22301123941948428,0.8855567168713026,239,0.05429032538438128
VREFS,城市用水普及率,-0.07197170914395949,-0.1445402463010121,0.0005968280130931175,0.05336380349047842,239,0.05429032538438128
VREFS,生活垃圾无害化处理率,-0.05791163025492734,-0.18446835907295356,0.06864509856309886,0.370897813456216,239,0.05429032538438128
VREFS,抗菌药物使用强度,-0.0013545692125414694,-0.048178106012125875,0.045468967587042934,0.9548417922800989,239,0.05429032538438128
VREFM,省平均气温,-6.267698269474041,-15.196539294218717,2.6611427552706353,0.17046456929353782,239,-0.11280403124751937
VREFM,省平均降水,-0.5088789775912561,-1.2108326459281211,0.1930746907456089,0.15696077751161175,239,-0.11280403124751937
VREFM,R1xday,0.002133339609850552,-0.17283779303691213,0.17710447225661322,0.980959181089426,239,-0.11280403124751937
VREFM,PM2.5,-0.18320792857796023,-0.517992139991885,0.1515762828359645,0.28479262957439566,239,-0.11280403124751937
VREFM,医疗水平,-0.05807347054651343,-1.372276648460426,1.2561297073673994,0.9310707833483982,239,-0.11280403124751937
VREFM,GDP,1.8290105664459368,-1.9181046084186206,5.576125741310494,0.3399161205641812,239,-0.11280403124751937
VREFM,城市用水普及率,-0.005444647223162223,-0.9478526302297919,0.9369633357834676,0.9909769152239247,239,-0.11280403124751937
VREFM,生活垃圾无害化处理率,0.19423301534242468,-0.251881471857218,0.6403475025420674,0.39451698502772414,239,-0.11280403124751937
VREFM,抗菌药物使用强度,0.18104264087256547,-0.043601535989502394,0.40568681773463333,0.11584046587526875,239,-0.11280403124751937
PRSP,省平均气温,4.846386747561066,-8.896558323036185,18.589331818158318,0.4902841077800608,238,-1.2703949255341866
PRSP,省平均降水,-0.7466999981327737,-1.9431712490214736,0.44977125275592644,0.22275070099065797,238,-1.2703949255341866
PRSP,R1xday,-0.2977144475696757,-0.7229897775585115,0.12756088241916008,0.17163324051433815,238,-1.2703949255341866
PRSP,PM2.5,-0.06563551357225605,-0.7110181760238421,0.57974714887933,0.8422137584632858,238,-1.2703949255341866
PRSP,医疗水平,1.1675393593026078,-0.40603627080986016,2.7411149894150757,0.14750891841054337,238,-1.2703949255341866
PRSP,GDP,1.5292285894865982,0.22100554611459944,2.8374516328585973,0.02304260062124741,238,-1.2703949255341866
PRSP,城市用水普及率,0.2289824545866922,-0.5586321718579124,1.0165970810312968,0.5694598506673958,238,-1.2703949255341866
PRSP,生活垃圾无害化处理率,0.5139194104835255,-0.14070259224741033,1.1685414132144614,0.12551828759173156,238,-1.2703949255341866
PRSP,抗菌药物使用强度,0.2594801069267254,-0.015981589415056674,0.5349418032685075,0.06639012179379411,238,-1.2703949255341866
ERSP,省平均气温,15.29441899776112,-7.861883872666567,38.45072186818881,0.19702116721246132,239,0.16660158183444207
ERSP,省平均降水,0.21797238738184843,-2.18203283297406,2.617977607737757,0.8589015121441221,239,0.16660158183444207
ERSP,R1xday,-0.18953922798614983,-0.6477541548035063,0.26867569883120657,0.4185089566714122,239,0.16660158183444207
ERSP,PM2.5,0.06571574849494104,-0.9959976817842996,1.1274291787741817,0.9035669302554858,239,0.16660158183444207
ERSP,医疗水平,0.3898435023394559,-2.8697581745312544,3.649445179210166,0.8149127963855634,239,0.16660158183444207
ERSP,GDP,-1.6752481036819635,-3.911069996811862,0.560573789447935,0.1435743495674271,239,0.16660158183444207
ERSP,城市用水普及率,1.016229637140935,-0.4279126275852343,2.460371901867104,0.16941875277141683,239,0.16660158183444207
ERSP,生活垃圾无害化处理率,0.5543848912770939,-0.6634741651082243,1.7722439476624121,0.37338775527979595,239,0.16660158183444207
ERSP,抗菌药物使用强度,-0.15931202037527287,-0.6804610175061947,0.361836976755649,0.5497689444299878,239,0.16660158183444207
3GCRKP,省平均气温,7.169120383824812,-4.825223644449799,19.163464412099422,0.24283867659271507,239,-0.02073122261538818
3GCRKP,省平均降水,1.977961806971694,-0.4257777424844531,4.3817013564278415,0.10841701730823083,239,-0.02073122261538818
3GCRKP,R1xday,-0.22084867650595166,-0.8071627665003125,0.3654654134884092,0.4612416755763169,239,-0.02073122261538818
3GCRKP,PM2.5,1.3278566783025507,0.07789838668216009,2.577814969922941,0.03864747896204257,239,-0.02073122261538818
3GCRKP,医疗水平,1.0163415534950517,-2.3755100336070667,4.40819314059717,0.5576896642714388,239,-0.02073122261538818
3GCRKP,GDP,0.4982831998148967,-2.0629143242463113,3.059480723876105,0.7033854858623667,239,-0.02073122261538818
3GCRKP,城市用水普及率,-0.8441856335707003,-2.5000727847360404,0.8117015175946398,0.3189368458833268,239,-0.02073122261538818
3GCRKP,生活垃圾无害化处理率,0.056051482109835585,-0.6383881679841421,0.7504911322038132,0.8744639803782879,239,-0.02073122261538818
3GCRKP,抗菌药物使用强度,-0.06817300501840252,-0.5592560017434214,0.42290999170661636,0.7858431781721111,239,-0.02073122261538818
MRSA,省平均气温,0.11151458366610369,-11.723629952938818,11.946659120271026,0.9852847764223269,239,-0.5730902556233539
MRSA,省平均降水,-0.04185151527429801,-1.8892058211761409,1.805502790627545,0.9646286909406017,239,-0.5730902556233539
MRSA,R1xday,0.14501555975641478,-0.2674146615137383,0.5574457810265678,0.4915501348361633,239,-0.5730902556233539
MRSA,PM2.5,1.1889275901908187,-0.03228889355474185,2.4101440739363795,0.05785251077800946,239,-0.5730902556233539
MRSA,医疗水平,2.157526307232147,-1.510068967554922,5.825121582019216,0.2503347899876416,239,-0.5730902556233539
MRSA,GDP,1.380899195073635,-1.0659976763470125,3.8277960664942823,0.27005128382727506,239,-0.5730902556233539
MRSA,城市用水普及率,0.6026836251196436,-1.4810744448825042,2.686441695121791,0.5714481748228848,239,-0.5730902556233539
MRSA,生活垃圾无害化处理率,-0.19418564264401503,-1.1837795959686856,0.7954083106806557,0.7009527416905961,239,-0.5730902556233539
MRSA,抗菌药物使用强度,-0.07528690277820438,-0.6190473676710981,0.4684735621146894,0.786393612373737,239,-0.5730902556233539
3GCREC,省平均气温,8.008085886297968,-3.834166535657456,19.85033830825339,0.1866017715246704,239,-0.1089648626389712
3GCREC,省平均降水,1.5148900292007166,-0.2687519864952215,3.2985320448966546,0.09760017056726777,239,-0.1089648626389712
3GCREC,R1xday,-0.006849401916986789,-0.40215737534338736,0.38845857150941376,0.9729438032013844,239,-0.1089648626389712
3GCREC,PM2.5,0.2246630700919651,-0.6252895002108211,1.0746156403947513,0.604998963559702,239,-0.1089648626389712
3GCREC,医疗水平,0.9700860987851786,-1.9290194551995885,3.8691916527699455,0.5127038500368781,239,-0.1089648626389712
3GCREC,GDP,-1.4450602552704161,-4.21746669673327,1.3273461861924383,0.30824437361903323,239,-0.1089648626389712
3GCREC,城市用水普及率,-0.5118717434193838,-2.2627172592961395,1.238973772457372,0.5672984985698333,239,-0.1089648626389712
