performance_rank,model_id,scheme_id,scheme_source,fe_label,performance_score,core_signal_score,fit_score,vif_score,core_positive_count,core_sig_count_p_lt_0_05,coef_R1xday,p_R1xday,coef_AMC,p_AMC,r2_model,r2_overall,r2_within,max_vif_z,sig_predictors_p_lt_0_05
1,SYS_04904 | Province: No / Year: Yes,SYS_04904,systematic,Province: No / Year: Yes,0.7958837334089438,0.8209159248127336,0.7377529004945872,0.8412902603505408,2,1,0.1561407712921215,0.0558690686516194,0.1280991853071173,0.0003297095193268,0.3997287557292639,0.2900411190305142,-0.2745632283524519,2.172123452132625,抗菌药物使用强度
2,SYS_01505 | Province: No / Year: Yes,SYS_01505,systematic,Province: No / Year: Yes,0.791982004239072,0.7880935584277191,0.726532319232389,0.9152679560763108,2,1,0.1323135743687093,0.1174959057078717,0.1256413967137611,0.0001889237123573,0.3969989439218535,0.2659711305839528,-0.3338807085517989,1.823992079195712,抗菌药物使用强度
3,SYS_04879 | Province: No / Year: Yes,SYS_04879,systematic,Province: No / Year: Yes,0.7905613978342495,0.7905498018383164,0.7407301747912579,0.8777921291503344,2,1,0.1330040844101192,0.1155832358096855,0.1300698790427999,0.0001834999387213,0.3898732329831478,0.2916404265532976,-0.2156979652076758,1.9952916778608265,抗菌药物使用强度
4,SYS_05054 | Province: No / Year: Yes,SYS_05054,systematic,Province: No / Year: Yes,0.7875637866056878,0.8094881148596271,0.733640805922899,0.8325992642292045,2,1,0.1549632286604162,0.0580573785133231,0.1287351835519512,0.0004043288093571,0.399913438085352,0.2831166813205775,-0.3018534115205222,2.21574285314438,抗菌药物使用强度
5,SYS_01655 | Province: No / Year: Yes,SYS_01655,systematic,Province: No / Year: Yes,0.7870927239244965,0.7642585183045805,0.743837008644924,0.9141671883085596,2,1,0.136377898970221,0.1058833506778595,0.122499609187843,0.0004031863457509,0.3983300879464583,0.2954346626555276,-0.227297105604425,1.8288811453676563,抗菌药物使用强度
6,SYS_03780 | Province: No / Year: Yes,SYS_03780,systematic,Province: No / Year: Yes,0.7865125757229127,0.8179033534385631,0.713719923991072,0.8432704663934204,2,1,0.1547691618478575,0.0557292740599539,0.128900786548837,0.0003559542094984,0.3899748730810275,0.2492523821102295,-0.3923293754778383,2.162268012459588,"抗菌药物使用强度, 省平均气温"
7,SYS_01680 | Province: No / Year: Yes,SYS_01680,systematic,Province: No / Year: Yes,0.7825810008814345,0.7916785460917032,0.7276478361577293,0.8582445624248135,2,1,0.1551422213101245,0.0548789462527985,0.1206301070832042,0.0006853393452275,0.411211881518424,0.2706147959337384,-0.382662174546041,2.088726799582937,"抗菌药物使用强度, 主要城市平均气温"
8,SYS_00530 | Province: No / Year: Yes,SYS_00530,systematic,Province: No / Year: Yes,0.7822648256716512,0.7812425787873439,0.7089827513217033,0.9128085112737516,2,1,0.1355517105779149,0.1050874228950904,0.1255210445922268,0.0002722512199613,0.3864213289592234,0.2367933811954391,-0.4069436648159688,1.8349273898912144,"抗菌药物使用强度, 主要城市平均气温, 建成区绿化覆盖率"
9,SYS_03930 | Province: No / Year: Yes,SYS_03930,systematic,Province: No / Year: Yes,0.7822397950082731,0.8167522826123929,0.7063680558332163,0.8373622414553534,2,1,0.1524250592343661,0.0598701984262135,0.1303040044268585,0.0003214834411946,0.3912235506916683,0.2371065414065032,-0.444768325302991,2.1917640977686195,"抗菌药物使用强度, 省平均气温"
10,SYS_01678 | Province: No / Year: Yes,SYS_01678,systematic,Province: No / Year: Yes,0.7812446428030966,0.7619595110427368,0.7484567012776829,0.8820150869333798,2,2,0.1608838458880536,0.0307914534107329,0.1261432509115796,0.0039605183840816,0.3376420656220609,0.327128315775954,0.0227193133554207,1.9754806626252028,"R1xday, 抗菌药物使用强度"
