province,region,region_en,region_order
北京,华北,North China,1
天津,华北,North China,1
河北,华北,North China,1
山西,华北,North China,1
内蒙古,华北,North China,1
辽宁,东北,Northeast China,2
吉林,东北,Northeast China,2
黑龙江,东北,Northeast China,2
上海,华东,East China,3
江苏,华东,East China,3
浙江,华东,East China,3
安徽,华东,East China,3
福建,华东,East China,3
江西,华东,East China,3
山东,华东,East China,3
河南,华中,Central China,4
湖北,华中,Central China,4
湖南,华中,Central China,4
广东,华南,South China,5
广西,华南,South China,5
海南,华南,South China,5
重庆,西南,Southwest China,6
四川,西南,Southwest China,6
贵州,西南,Southwest China,6
云南,西南,Southwest China,6
西藏,西南,Southwest China,6
陕西,西北,Northwest China,7
甘肃,西北,Northwest China,7
青海,西北,Northwest China,7
宁夏,西北,Northwest China,7
新疆,西北,Northwest China,7
