Province,Year,scenario,statistic,TA（°C）
上海,2024,ssp119,median,0.6946666666666665
上海,2025,ssp119,median,0.6246666666666663
上海,2026,ssp119,median,0.6046666666666667
上海,2027,ssp119,median,0.6646666666666654
上海,2028,ssp119,median,0.7046666666666646
上海,2029,ssp119,median,0.7146666666666661
上海,2030,ssp119,median,0.7646666666666668
上海,2031,ssp119,median,0.7146666666666661
上海,2032,ssp119,median,0.8746666666666663
上海,2033,ssp119,median,0.924666666666667
上海,2034,ssp119,median,0.8546666666666667
上海,2035,ssp119,median,0.8546666666666667
上海,2036,ssp119,median,0.964666666666666
上海,2037,ssp119,median,0.9846666666666656
上海,2038,ssp119,median,1.0146666666666668
上海,2039,ssp119,median,0.964666666666666
上海,2040,ssp119,median,0.8646666666666647
上海,2041,ssp119,median,0.964666666666666
上海,2042,ssp119,median,0.964666666666666
上海,2043,ssp119,median,1.0446666666666644
上海,2044,ssp119,median,1.0246666666666648
上海,2045,ssp119,median,1.0346666666666664
上海,2046,ssp119,median,0.9846666666666656
上海,2047,ssp119,median,0.974666666666664
上海,2048,ssp119,median,1.0846666666666671
上海,2049,ssp119,median,1.0446666666666644
上海,2050,ssp119,median,1.0846666666666671
上海,2024,ssp119,p10,0.6443333333333321
上海,2025,ssp119,p10,0.5243333333333347
上海,2026,ssp119,p10,0.5343333333333327
上海,2027,ssp119,p10,0.7543333333333351
上海,2028,ssp119,p10,0.5843333333333334
上海,2029,ssp119,p10,0.5943333333333349
上海,2030,ssp119,p10,0.4743333333333339
上海,2031,ssp119,p10,0.6943333333333328
上海,2032,ssp119,p10,0.9343333333333348
上海,2033,ssp119,p10,0.7043333333333344
上海,2034,ssp119,p10,0.8743333333333325
上海,2035,ssp119,p10,0.8243333333333318
上海,2036,ssp119,p10,0.7643333333333331
上海,2037,ssp119,p10,0.8943333333333321
上海,2038,ssp119,p10,0.8443333333333349
上海,2039,ssp119,p10,0.8643333333333345
上海,2040,ssp119,p10,0.8643333333333345
上海,2041,ssp119,p10,0.8043333333333322
上海,2042,ssp119,p10,0.8143333333333338
上海,2043,ssp119,p10,1.0343333333333329
上海,2044,ssp119,p10,1.014333333333333
上海,2045,ssp119,p10,1.0843333333333334
上海,2046,ssp119,p10,0.9443333333333328
上海,2047,ssp119,p10,0.974333333333334
上海,2048,ssp119,p10,1.0243333333333349
上海,2049,ssp119,p10,1.014333333333333
上海,2050,ssp119,p10,0.8243333333333318
上海,2024,ssp119,p90,0.8156666666666652
上海,2025,ssp119,p90,0.7756666666666661
上海,2026,ssp119,p90,1.0056666666666665
上海,2027,ssp119,p90,0.9056666666666652
上海,2028,ssp119,p90,1.0556666666666672
上海,2029,ssp119,p90,0.8856666666666655
上海,2030,ssp119,p90,0.8856666666666655
上海,2031,ssp119,p90,1.1356666666666655
上海,2032,ssp119,p90,1.0056666666666665
上海,2033,ssp119,p90,1.1756666666666646
上海,2034,ssp119,p90,1.0456666666666656
上海,2035,ssp119,p90,1.1756666666666646
上海,2036,ssp119,p90,1.0856666666666648
上海,2037,ssp119,p90,1.155666666666665
上海,2038,ssp119,p90,1.2556666666666665
上海,2039,ssp119,p90,1.235666666666667
上海,2040,ssp119,p90,1.1656666666666666
上海,2041,ssp119,p90,1.395666666666667
上海,2042,ssp119,p90,1.3156666666666652
上海,2043,ssp119,p90,1.405666666666665
上海,2044,ssp119,p90,1.2656666666666645
上海,2045,ssp119,p90,1.3456666666666663
上海,2046,ssp119,p90,1.525666666666666
上海,2047,ssp119,p90,1.405666666666665
上海,2048,ssp119,p90,1.2956666666666656
上海,2049,ssp119,p90,1.2656666666666645
上海,2050,ssp119,p90,1.3856666666666655
上海,2024,ssp126,median,1.0046666666666688
上海,2025,ssp126,median,0.7446666666666673
上海,2026,ssp126,median,0.804666666666666
上海,2027,ssp126,median,0.804666666666666
上海,2028,ssp126,median,0.9046666666666674
上海,2029,ssp126,median,0.914666666666669
上海,2030,ssp126,median,0.9746666666666676
上海,2031,ssp126,median,0.8546666666666667
上海,2032,ssp126,median,1.2346666666666692
上海,2033,ssp126,median,1.1846666666666683
上海,2034,ssp126,median,1.0046666666666688
上海,2035,ssp126,median,1.1246666666666665
上海,2036,ssp126,median,1.4346666666666683
上海,2037,ssp126,median,1.2846666666666664
上海,2038,ssp126,median,1.324666666666669
上海,2039,ssp126,median,1.2346666666666692
上海,2040,ssp126,median,1.2246666666666677
上海,2041,ssp126,median,1.204666666666668
上海,2042,ssp126,median,1.464666666666666
上海,2043,ssp126,median,1.4746666666666677
上海,2044,ssp126,median,1.3846666666666678
上海,2045,ssp126,median,1.294666666666668
上海,2046,ssp126,median,1.4046666666666674
上海,2047,ssp126,median,1.3746666666666665
上海,2048,ssp126,median,1.5346666666666664
上海,2049,ssp126,median,1.5846666666666671
