Province,region,region_en,region_order,ssp119,ssp585,scenario_gap,scenario_gap_abs,scenario_midpoint
宁夏,西北,Northwest China,7,1.2286666666666672,2.6293333333333333,1.400666666666666,1.400666666666666,1.9290000000000003
上海,华东,East China,3,1.0846666666666671,2.461666666666666,1.376999999999999,1.376999999999999,1.7731666666666666
黑龙江,东北,Northeast China,2,1.3153333333333332,2.6303333333333327,1.3149999999999995,1.3149999999999995,1.972833333333333
浙江,华东,East China,3,1.0809999999999995,2.378333333333334,1.2973333333333343,1.2973333333333343,1.7296666666666667
甘肃,西北,Northwest China,7,1.235666666666667,2.518333333333333,1.2826666666666662,1.2826666666666662,1.877
山西,华北,North China,1,1.211333333333334,2.466666666666667,1.2553333333333327,1.2553333333333327,1.8390000000000004
新疆,西北,Northwest China,7,1.278666666666667,2.514333333333333,1.235666666666666,1.235666666666666,1.8965
青海,西北,Northwest China,7,1.2520000000000002,2.4843333333333333,1.232333333333333,1.232333333333333,1.8681666666666668
西藏,西南,Southwest China,6,1.2553333333333327,2.487333333333333,1.2320000000000002,1.2320000000000002,1.8713333333333328
吉林,东北,Northeast China,2,1.2779999999999996,2.4973333333333336,1.219333333333334,1.219333333333334,1.8876666666666666
内蒙古,华北,North China,1,1.2573333333333323,2.4733333333333336,1.2160000000000013,1.2160000000000013,1.865333333333333
陕西,西北,Northwest China,7,1.182333333333336,2.392000000000001,1.209666666666665,1.209666666666665,1.7871666666666683
安徽,华东,East China,3,1.128,2.330333333333332,1.2023333333333321,1.2023333333333321,1.729166666666666
江苏,华东,East China,3,1.1279999999999983,2.325000000000001,1.1970000000000027,1.1970000000000027,1.7264999999999997
四川,西南,Southwest China,6,1.1816666666666658,2.3640000000000008,1.182333333333335,1.182333333333335,1.7728333333333333
重庆,西南,Southwest China,6,1.1649999999999991,2.261333333333333,1.0963333333333338,1.0963333333333338,1.713166666666666
江西,华东,East China,3,1.0873333333333337,2.181333333333331,1.0939999999999974,1.0939999999999974,1.6343333333333323
山东,华东,East China,3,1.158999999999999,2.243666666666666,1.0846666666666671,1.0846666666666671,1.7013333333333325
河北,华北,North China,1,1.202333333333332,2.265000000000001,1.062666666666669,1.062666666666669,1.7336666666666665
福建,华东,East China,3,0.9836666666666644,2.033666666666665,1.0500000000000007,1.0500000000000007,1.5086666666666648
贵州,西南,Southwest China,6,1.1003333333333334,2.1499999999999986,1.0496666666666652,1.0496666666666652,1.625166666666666
湖南,华中,Central China,4,1.110999999999997,2.149666666666665,1.0386666666666677,1.0386666666666677,1.630333333333331
辽宁,东北,Northeast China,2,1.261666666666665,2.2989999999999995,1.0373333333333346,1.0373333333333346,1.7803333333333322
河南,华中,Central China,4,1.1480000000000017,2.173333333333334,1.025333333333332,1.025333333333332,1.6606666666666676
湖北,华中,Central China,4,1.1333333333333329,2.1386666666666674,1.0053333333333345,1.0053333333333345,1.6360000000000001
广东,华南,South China,5,0.9613333333333324,1.9499999999999995,0.9886666666666671,0.9886666666666671,1.455666666666666
云南,西南,Southwest China,6,0.9706666666666663,1.9550000000000016,0.9843333333333353,0.9843333333333353,1.462833333333334
北京,华北,North China,1,1.2143333333333324,2.195333333333334,0.9810000000000016,0.9810000000000016,1.7048333333333332
广西,华南,South China,5,1.0103333333333353,1.9913333333333327,0.9809999999999974,0.9809999999999974,1.500833333333334
天津,华北,North China,1,1.213666666666665,2.112333333333332,0.8986666666666672,0.8986666666666672,1.6629999999999985
海南,华南,South China,5,0.8320000000000043,1.705666666666669,0.8736666666666648,0.8736666666666648,1.2688333333333368
