Province,Year,role_id,role_label,model_id,scheme_id,scheme_source,fe_label,scenario_id,scenario_label,scenario_family,scenario_description,statistic,baseline_pred,scenario_adjustment,scenario_pred,delta_vs_baseline,rx1day_baseline,rx1day_scenario,rx1day_delta,temperature_proxy_variable,temperature_baseline,temperature_scenario,temperature_delta,amc_baseline,amc_scenario,amc_delta,baseline_mode,baseline_mode_label
上海,2050,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,amc_reduce_50,AMC reduces 50% by 2050,amc_intervention,"Hold climate and other covariates on their baseline paths, while scaling AMC down linearly each year until it reaches 50% of the baseline path in 2050.",median,28.629659469950855,-1.1468319400387967,27.482827529912058,-1.1468319400387976,115.39469490289476,115.39469490289476,0.0,TA（°C）,1.4174513632153836,1.4174513632153836,0.0,21.600071865568687,10.800035932784343,-10.800035932784343,lancet_ets,Lancet-like ETS baseline
云南,2050,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,amc_reduce_50,AMC reduces 50% by 2050,amc_intervention,"Hold climate and other covariates on their baseline paths, while scaling AMC down linearly each year until it reaches 50% of the baseline path in 2050.",median,29.920048155908628,-1.409671321014764,28.510376834893865,-1.4096713210147627,20.84046911840916,20.84046911840916,0.0,TA（°C）,1.6867311929954834,1.6867311929954834,0.0,26.550535242086106,13.275267621043053,-13.275267621043053,lancet_ets,Lancet-like ETS baseline
内蒙古,2050,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,amc_reduce_50,AMC reduces 50% by 2050,amc_intervention,"Hold climate and other covariates on their baseline paths, while scaling AMC down linearly each year until it reaches 50% of the baseline path in 2050.",median,29.979943203443046,-1.9789946086815693,28.000948594761475,-1.978994608681571,12.931681364238123,12.931681364238123,0.0,TA（°C）,1.173994030107895,1.173994030107895,0.0,37.273487314670355,18.636743657335177,-18.636743657335177,lancet_ets,Lancet-like ETS baseline
北京,2050,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,amc_reduce_50,AMC reduces 50% by 2050,amc_intervention,"Hold climate and other covariates on their baseline paths, while scaling AMC down linearly each year until it reaches 50% of the baseline path in 2050.",median,35.76044341101053,-2.3595043986828994,33.400939012327626,-2.359504398682901,85.51864526557621,85.51864526557621,0.0,TA（°C）,1.4284527955482056,1.4284527955482056,0.0,44.44022075017541,22.220110375087707,-22.220110375087707,lancet_ets,Lancet-like ETS baseline
吉林,2050,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,amc_reduce_50,AMC reduces 50% by 2050,amc_intervention,"Hold climate and other covariates on their baseline paths, while scaling AMC down linearly each year until it reaches 50% of the baseline path in 2050.",median,30.383208273313116,-2.5336400712126292,27.849568202100485,-2.5336400712126306,43.92574370177605,43.92574370177605,0.0,TA（°C）,2.0153814116037148,2.0153814116037148,0.0,47.71998904898479,23.859994524492397,-23.859994524492397,lancet_ets,Lancet-like ETS baseline
四川,2050,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,amc_reduce_50,AMC reduces 50% by 2050,amc_intervention,"Hold climate and other covariates on their baseline paths, while scaling AMC down linearly each year until it reaches 50% of the baseline path in 2050.",median,29.173766644685863,-0.45449282478994274,28.71927381989592,-0.45449282478994135,15.418393935188469,15.418393935188469,0.0,TA（°C）,1.7197284302866265,1.7197284302866265,0.0,8.560171142003576,4.280085571001788,-4.280085571001788,lancet_ets,Lancet-like ETS baseline
天津,2050,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,amc_reduce_50,AMC reduces 50% by 2050,amc_intervention,"Hold climate and other covariates on their baseline paths, while scaling AMC down linearly each year until it reaches 50% of the baseline path in 2050.",median,28.855126377909986,-1.575022012547158,27.280104365362828,-1.5750220125471586,23.534591889264505,23.534591889264505,0.0,TA（°C）,1.5860886654694872,1.5860886654694872,0.0,29.664842313094578,14.832421156547289,-14.832421156547289,lancet_ets,Lancet-like ETS baseline
宁夏,2050,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,amc_reduce_50,AMC reduces 50% by 2050,amc_intervention,"Hold climate and other covariates on their baseline paths, while scaling AMC down linearly each year until it reaches 50% of the baseline path in 2050.",median,25.51294639342082,-2.574779909324793,22.938166484096026,-2.5747799093247927,16.651113558278134,16.651113558278134,0.0,TA（°C）,1.4563861881516817,1.4563861881516817,0.0,48.49483968641171,24.247419843205854,-24.247419843205854,lancet_ets,Lancet-like ETS baseline
安徽,2050,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,amc_reduce_50,AMC reduces 50% by 2050,amc_intervention,"Hold climate and other covariates on their baseline paths, while scaling AMC down linearly each year until it reaches 50% of the baseline path in 2050.",median,19.923774906098103,1.1269340844034375,21.05070899050154,1.1269340844034375,0.39409082847862464,0.39409082847862464,0.0,TA（°C）,1.550274700029004,1.550274700029004,0.0,-21.22530456384885,-10.612652281924426,10.612652281924426,lancet_ets,Lancet-like ETS baseline
山东,2050,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,amc_reduce_50,AMC reduces 50% by 2050,amc_intervention,"Hold climate and other covariates on their baseline paths, while scaling AMC down linearly each year until it reaches 50% of the baseline path in 2050.",median,26.049221862130043,-1.08129536832109,24.967926493808953,-1.08129536832109,66.69212283533625,66.69212283533625,0.0,TA（°C）,1.905396997449165,1.905396997449165,0.0,20.365719551595316,10.182859775797658,-10.182859775797658,lancet_ets,Lancet-like ETS baseline
山西,2050,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes,amc_reduce_50,AMC reduces 50% by 2050,amc_intervention,"Hold climate and other covariates on their baseline paths, while scaling AMC down linearly each year until it reaches 50% of the baseline path in 2050.",median,29.552800061741905,-1.9158972213100636,27.63690284043184,-1.9158972213100647,31.23025230049783,31.23025230049783,0.0,TA（°C）,1.875571851384927,1.875571851384927,0.0,36.08507595798278,18.04253797899139,-18.04253797899139,lancet_ets,Lancet-like ETS baseline
