role_id,role_label,model_id,scheme_id,scheme_source,fe_label,variables,variable_count,temperature_proxy,coef_r1xday,coef_amc,coef_temperature_proxy,largest_abs_predictor,largest_abs_predictor_coef,baseline_pred_start,baseline_pred_end,baseline_pred_change,baseline_vs_last_observed,strongest_scenario_id,strongest_scenario_label,strongest_scenario_delta,weakest_scenario_id,weakest_scenario_label,weakest_scenario_delta,delta_spread_2050,scenario_count,top_provinces_under_strongest,bottom_provinces_under_strongest
strict_main_model,严筛主模型,SYS_09851 | Province: No / Year: Yes,SYS_09851,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 卫生程度（日污水处理能力） | 牲畜饲养-猪年底头数 | 食品消费量,8,TA（°C）,0.8553290261795496,0.6422790746861687,0.4723773054202255,医疗水平,1.406610847764336,31.149671325461657,34.70168309638654,3.5520117709248815,3.2443629971309598,ssp585,SSP5-8.5（rx1day）,0.2778428866545928,ssp119,SSP1-1.9（rx1day）,0.15047761676807525,0.12736526988651753,5,浙江、广东、天津,河南、河北、上海
strict_top_02,严筛模型 2,SYS_10001 | Province: No / Year: Yes,SYS_10001,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 饮用水供水综合生产能力(万立方米/日) | 牲畜饲养-猪年底头数 | 食品消费量,8,TA（°C）,0.8918085904973961,0.6347530197868431,0.4578477866444546,医疗水平,1.300414451051195,31.191222008665253,34.428630684582984,3.237408675917731,2.971310585327405,ssp585,SSP5-8.5（rx1day）,0.28969281474512526,ssp119,SSP1-1.9（rx1day）,0.1568954486564741,0.13279736608865117,5,浙江、广东、天津,河南、河北、上海
strict_top_03,严筛模型 3,SYS_10002 | Province: No / Year: Yes,SYS_10002,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 饮用水供水综合生产能力(万立方米/日) | 牲畜饲养-猪年底头数 | 文盲比例,8,TA（°C）,0.9147969466498762,0.6692767756048551,0.6920954744804111,医疗水平,1.2919869633731786,31.27189494766127,34.66603948198639,3.394144534325118,3.208719382730809,ssp585,SSP5-8.5（rx1day）,0.297160293384753,ssp119,SSP1-1.9（rx1day）,0.16093977889824332,0.1362205144865097,5,浙江、广东、天津,河南、河北、上海
strict_top_04,严筛模型 4,SYS_09941 | Province: No / Year: Yes,SYS_09941,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 城市用水普及率 | 牲畜饲养-猪年底头数 | PA（%） | 食品消费量,9,TA（°C）,0.9790142188548401,0.7563925147800794,0.5106792364915679,医疗水平,1.4734351305860134,31.11379706017382,34.382415916208764,3.2686188560349443,2.925095816953185,ssp585,SSP5-8.5（rx1day）,0.31802046734869055,ssp119,SSP1-1.9（rx1day）,0.17223749215358738,0.14578297519510316,5,浙江、广东、天津,河南、河北、上海
strict_top_05,严筛模型 5,SYS_09926 | Province: No / Year: Yes,SYS_09926,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 城市用水普及率 | 牲畜饲养-猪年底头数 | 食品消费量,8,TA（°C）,0.9469588021691318,0.7552918908630947,0.5358661837527696,医疗水平,1.453179403104753,31.143108899454283,34.587868200314475,3.4447593008601913,3.1305481010588956,ssp585,SSP5-8.5（rx1day）,0.30760766802553974,ssp119,SSP1-1.9（rx1day）,0.16659799839184927,0.14100966963369047,5,浙江、广东、天津,河南、河北、上海
strict_top_06,严筛模型 6,SYS_09927 | Province: No / Year: Yes,SYS_09927,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 城市用水普及率 | 牲畜饲养-猪年底头数 | 文盲比例,8,TA（°C）,0.9813240622594429,0.7753648617455484,0.7763279009849404,医疗水平,1.4419735927639874,31.22046155937097,34.86732339121664,3.6468618318456656,3.4100032919610577,ssp585,SSP5-8.5（rx1day）,0.31877079095470756,ssp119,SSP1-1.9（rx1day）,0.17264386177275526,0.1461269291819523,5,浙江、广东、天津,河南、河北、上海
strict_top_07,严筛模型 7,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 生活垃圾无害化处理率 | 牲畜饲养-猪年底头数 | PA（%） | 食品消费量,9,TA（°C）,0.9849217800128025,0.7443787105286491,0.5818394252921388,医疗水平,1.4400681944554719,31.20251731731995,34.89704434303779,3.694527025717843,3.439724243782212,ssp585,SSP5-8.5（rx1day）,0.31993946436034065,ssp119,SSP1-1.9（rx1day）,0.17327680649549954,0.14666265786484112,5,浙江、广东、天津,河南、河北、上海
strict_top_08,严筛模型 8,SYS_09776 | Province: No / Year: Yes,SYS_09776,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 生活垃圾无害化处理率 | 牲畜饲养-猪年底头数 | 食品消费量,8,TA（°C）,0.9544184763183855,0.7434790767495798,0.6052927438247809,医疗水平,1.4211500953151779,31.228777348442584,35.01551658295938,3.7867392345167943,3.5581964837037994,ssp585,SSP5-8.5（rx1day）,0.31003084943958525,ssp119,SSP1-1.9（rx1day）,0.16791037521233423,0.14212047422725102,5,浙江、广东、天津,河南、河北、上海
robust_systematic,稳健性模型 2,SYS_09556 | Province: No / Year: Yes,SYS_09556,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | GDP | 城市用水普及率 | 牲畜饲养-猪年底头数 | 主要城市降水量 | 食品消费量,9,TA（°C）,1.0637597396111496,0.7029203300612673,0.3178571152716953,GDP,1.0907232403107088,31.190117693482986,32.012250061822584,0.8221323683395987,0.5549299625670052,ssp585,SSP5-8.5（rx1day）,0.3455489849101145,ssp119,SSP1-1.9（rx1day）,0.187146730125014,0.15840225478510048,5,浙江、广东、天津,河南、河北、上海
robust_systematic_2,稳健性模型 3,SYS_09557 | Province: No / Year: Yes,SYS_09557,systematic,Province: No / Year: Yes,R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | GDP | 城市用水普及率 | 牲畜饲养-猪年底头数 | 主要城市降水量 | 文盲比例,9,TA（°C）,1.0748138137533276,0.718164451016465,0.4553809280930171,R1xday,1.0748138137533276,31.162839564462022,31.7098364987336,0.5469969342715792,0.2525163994780222,ssp585,SSP5-8.5（rx1day）,0.34913976199700364,ssp119,SSP1-1.9（rx1day）,0.18909146797627321,0.16004829402073042,5,浙江、广东、天津,河南、河北、上海
robust_low_vif,稳健性模型 1,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes,TA（°C） | R1xday | PM2.5 | 抗菌药物使用强度 | GDP | 文盲比例 | 人均日生活用水量(升) | 牲畜饲养-猪年底头数 | 主要城市日照时数,9,TA（°C）,0.8728366167836531,0.7622584481250676,0.5082798550132395,GDP,1.0035438599938886,31.056109749665644,30.791085516984655,-0.2650242326809895,-0.6662345822709241,ssp585,SSP5-8.5（rx1day）,0.28353000747351137,ssp119,SSP1-1.9（rx1day）,0.15355771861054887,0.1299722888629625,5,浙江、广东、天津,河南、河北、上海
main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,省平均气温 | R1xday | PM2.5 | 抗菌药物使用强度 | GDP | 文盲比例 | 人均日生活用水量(升) | 牲畜饲养-猪年底头数,8,省平均气温,0.8686132716787496,0.7773326943400949,0.10830190663573594,GDP,1.0966817203347188,30.913994182927624,29.42135667925804,-1.4926375036695845,-2.0359634199975396,ssp585,SSP5-8.5（rx1day）,0.28215810688394977,ssp119,SSP1-1.9（rx1day）,0.15281470757418358,0.12934339930976618,5,浙江、广东、天津,河南、河北、上海
