Province,Year,role_id,role_label,model_id,scheme_id,scheme_source,fe_label,scenario_id,scenario_label,scenario_family,scenario_description,statistic,baseline_pred,scenario_adjustment,scenario_pred,delta_vs_baseline,rx1day_baseline,rx1day_scenario,rx1day_delta,baseline_mode,baseline_mode_label
上海,2050,strict_main_model,严筛主模型,SYS_09851 | Province: No / Year: Yes,SYS_09851,systematic,Province: No / Year: Yes,baseline_ets,Baseline (X-driven),baseline,"Use future covariate paths as the baseline driver; baseline R1xday and other covariates follow ETS extensions, then future AMR is reconstructed from the historical association model.",baseline,36.46365374004433,0.0,36.46365374004433,0.0,115.39469490289476,115.39469490289476,0.0,x_driven,X-driven / Nature-like simplified baseline
云南,2050,strict_main_model,严筛主模型,SYS_09851 | Province: No / Year: Yes,SYS_09851,systematic,Province: No / Year: Yes,baseline_ets,Baseline (X-driven),baseline,"Use future covariate paths as the baseline driver; baseline R1xday and other covariates follow ETS extensions, then future AMR is reconstructed from the historical association model.",baseline,41.144593826573214,0.0,41.144593826573214,0.0,20.84046911840916,20.84046911840916,0.0,x_driven,X-driven / Nature-like simplified baseline
内蒙古,2050,strict_main_model,严筛主模型,SYS_09851 | Province: No / Year: Yes,SYS_09851,systematic,Province: No / Year: Yes,baseline_ets,Baseline (X-driven),baseline,"Use future covariate paths as the baseline driver; baseline R1xday and other covariates follow ETS extensions, then future AMR is reconstructed from the historical association model.",baseline,37.197290857039434,0.0,37.197290857039434,0.0,12.931681364238123,12.931681364238123,0.0,x_driven,X-driven / Nature-like simplified baseline
北京,2050,strict_main_model,严筛主模型,SYS_09851 | Province: No / Year: Yes,SYS_09851,systematic,Province: No / Year: Yes,baseline_ets,Baseline (X-driven),baseline,"Use future covariate paths as the baseline driver; baseline R1xday and other covariates follow ETS extensions, then future AMR is reconstructed from the historical association model.",baseline,42.4166120984559,0.0,42.4166120984559,0.0,85.51864526557621,85.51864526557621,0.0,x_driven,X-driven / Nature-like simplified baseline
吉林,2050,strict_main_model,严筛主模型,SYS_09851 | Province: No / Year: Yes,SYS_09851,systematic,Province: No / Year: Yes,baseline_ets,Baseline (X-driven),baseline,"Use future covariate paths as the baseline driver; baseline R1xday and other covariates follow ETS extensions, then future AMR is reconstructed from the historical association model.",baseline,43.225239192763944,0.0,43.225239192763944,0.0,43.92574370177605,43.92574370177605,0.0,x_driven,X-driven / Nature-like simplified baseline
四川,2050,strict_main_model,严筛主模型,SYS_09851 | Province: No / Year: Yes,SYS_09851,systematic,Province: No / Year: Yes,baseline_ets,Baseline (X-driven),baseline,"Use future covariate paths as the baseline driver; baseline R1xday and other covariates follow ETS extensions, then future AMR is reconstructed from the historical association model.",baseline,32.907094864355834,0.0,32.907094864355834,0.0,15.418393935188469,15.418393935188469,0.0,x_driven,X-driven / Nature-like simplified baseline
天津,2050,strict_main_model,严筛主模型,SYS_09851 | Province: No / Year: Yes,SYS_09851,systematic,Province: No / Year: Yes,baseline_ets,Baseline (X-driven),baseline,"Use future covariate paths as the baseline driver; baseline R1xday and other covariates follow ETS extensions, then future AMR is reconstructed from the historical association model.",baseline,33.92011742313019,0.0,33.92011742313019,0.0,23.534591889264505,23.534591889264505,0.0,x_driven,X-driven / Nature-like simplified baseline
宁夏,2050,strict_main_model,严筛主模型,SYS_09851 | Province: No / Year: Yes,SYS_09851,systematic,Province: No / Year: Yes,baseline_ets,Baseline (X-driven),baseline,"Use future covariate paths as the baseline driver; baseline R1xday and other covariates follow ETS extensions, then future AMR is reconstructed from the historical association model.",baseline,26.981981937459658,0.0,26.981981937459658,0.0,16.651113558278134,16.651113558278134,0.0,x_driven,X-driven / Nature-like simplified baseline
安徽,2050,strict_main_model,严筛主模型,SYS_09851 | Province: No / Year: Yes,SYS_09851,systematic,Province: No / Year: Yes,baseline_ets,Baseline (X-driven),baseline,"Use future covariate paths as the baseline driver; baseline R1xday and other covariates follow ETS extensions, then future AMR is reconstructed from the historical association model.",baseline,29.92777303888055,0.0,29.92777303888055,0.0,0.39409082847862464,0.39409082847862464,0.0,x_driven,X-driven / Nature-like simplified baseline
山东,2050,strict_main_model,严筛主模型,SYS_09851 | Province: No / Year: Yes,SYS_09851,systematic,Province: No / Year: Yes,baseline_ets,Baseline (X-driven),baseline,"Use future covariate paths as the baseline driver; baseline R1xday and other covariates follow ETS extensions, then future AMR is reconstructed from the historical association model.",baseline,38.72393674447339,0.0,38.72393674447339,0.0,66.69212283533625,66.69212283533625,0.0,x_driven,X-driven / Nature-like simplified baseline
