Province,region,region_en,region_order,delta_mean_2050,delta_max_2050,delta_min_2050,scenario_pred_mean_2050,province_order
天津,华北,North China,1,1.2474047211630956,2.6985047213167874,-1.5750220125471586,37.12874360258328,0
内蒙古,华北,North China,1,0.7204289998165004,2.571246589599319,-1.9789946086815675,35.65336978125223,1
北京,华北,North China,1,-0.08131729347978478,1.3958115962773192,-2.359504398682901,41.573129451803965,2
山西,华北,North China,1,-0.4476235232884455,1.296595288447833,-1.915897221310061,35.25372653709246,3
河北,华北,North China,1,-1.2459500253663762,0.0585306574382329,-2.248483369323239,36.65369159364388,4
黑龙江,东北,Northeast China,2,0.848201009022158,2.6413303711419154,-0.7597494856615654,32.64604579740563,5
辽宁,东北,Northeast China,2,0.23791090626863878,1.3752690560721916,-0.8624537730996806,29.806093109776487,6
吉林,东北,Northeast China,2,-0.8366131285698385,0.854860304721619,-2.5336400712126306,40.7287102083327,7
浙江,华东,East China,3,2.267682867375926,4.633604374683735,-1.2348950453802487,29.465593703470148,8
安徽,华东,East China,3,1.657849403394873,3.196859688448054,0.6474462713005984,30.406277497463194,9
福建,华东,East China,3,0.8807671604486925,2.695481445009918,-2.009087457084405,29.894435801658318,10
江苏,华东,East China,3,-0.2474263910923682,1.3849569754447657,-1.315483637007869,20.103078587626364,11
上海,华东,East China,3,-0.3368149623196679,1.6146360536968416,-1.2602015907266375,34.5415889000249,12
江西,华东,East China,3,-0.5419446894718192,1.1355113915776087,-2.483126959497568,35.319295773346674,13
山东,华东,East China,3,-0.8197287329543634,0.4385405974658312,-1.878967540352804,35.30044611319867,14
湖南,华中,Central China,4,-1.9382887533546682,-0.734748076683509,-2.89537764884777,35.575566707015426,15
湖北,华中,Central China,4,-1.9403314714673623,-0.9885823303567918,-3.208671953072308,31.959978930165107,16
河南,华中,Central China,4,-3.92222827159857,-1.6717259260067436,-5.443961837656353,37.421441073986934,17
广东,华南,South China,5,2.3472507535565597,4.126793655857572,-0.902945553749273,27.200045712076093,18
海南,华南,South China,5,1.4542623684309977,3.1790882245067813,-0.7972280224758208,30.442810900340884,19
广西,华南,South China,5,-0.3088651902907789,0.7967916938420601,-1.242492283493732,31.20602374546881,20
西藏,西南,Southwest China,6,2.2421846400474563,4.496360757308793,-2.412984777055094,37.91031010164265,21
四川,西南,Southwest China,6,0.070231610068386,1.511439264874749,-0.9464164631704116,29.105524174790244,22
云南,西南,Southwest China,6,-0.5032139713827087,0.7997824894955201,-1.409671321014763,40.16875036193016,23
重庆,西南,Southwest China,6,-1.6186248645825294,-0.349846623575111,-2.646049362061138,32.63938008878163,24
贵州,西南,Southwest China,6,-1.6561791627051836,-0.2818017965736814,-2.860698890477309,38.1521400950169,25
青海,西北,Northwest China,7,2.205674349736654,4.413207519022222,-2.280313748939058,36.491546025843455,26
宁夏,西北,Northwest China,7,0.32327539183295256,2.584459123920677,-2.5747799093247927,28.648728092769066,27
甘肃,西北,Northwest China,7,0.16166163469594727,1.826503662627232,-1.0310669671204806,35.52328435098826,28
陕西,西北,Northwest China,7,-0.2911266862132494,0.9879485166527928,-1.4932736237877435,25.171153695374315,29
新疆,西北,Northwest China,7,-2.28885268691916,-0.8477684809210118,-3.307754923433407,34.73489599098477,30
