region_order,region,region_en,Year,province_n,observed_value_mean,baseline_mode,baseline_mode_label
1,华北,North China,2014,5,0.5642949718000001,x_driven,X-driven / Nature-like simplified baseline
1,华北,North China,2015,5,0.45659235680000004,x_driven,X-driven / Nature-like simplified baseline
1,华北,North China,2016,5,0.3208429104,x_driven,X-driven / Nature-like simplified baseline
1,华北,North China,2017,5,0.8105958731999999,x_driven,X-driven / Nature-like simplified baseline
1,华北,North China,2018,5,0.3588051154,x_driven,X-driven / Nature-like simplified baseline
1,华北,North China,2019,5,0.674501726,x_driven,X-driven / Nature-like simplified baseline
1,华北,North China,2020,5,0.5502624716,x_driven,X-driven / Nature-like simplified baseline
1,华北,North China,2021,5,0.7553049448,x_driven,X-driven / Nature-like simplified baseline
1,华北,North China,2022,5,0.46032638420000005,x_driven,X-driven / Nature-like simplified baseline
1,华北,North China,2023,5,0.9759813279999999,x_driven,X-driven / Nature-like simplified baseline
2,东北,Northeast China,2014,3,0.3490752,x_driven,X-driven / Nature-like simplified baseline
2,东北,Northeast China,2015,3,0.5868564213333333,x_driven,X-driven / Nature-like simplified baseline
2,东北,Northeast China,2016,3,-0.09998648066666667,x_driven,X-driven / Nature-like simplified baseline
2,东北,Northeast China,2017,3,0.48421601733333336,x_driven,X-driven / Nature-like simplified baseline
2,东北,Northeast China,2018,3,0.2426141363333333,x_driven,X-driven / Nature-like simplified baseline
2,东北,Northeast China,2019,3,0.7811076243333334,x_driven,X-driven / Nature-like simplified baseline
2,东北,Northeast China,2020,3,0.7183483443333333,x_driven,X-driven / Nature-like simplified baseline
2,东北,Northeast China,2021,3,0.6789319853333332,x_driven,X-driven / Nature-like simplified baseline
2,东北,Northeast China,2022,3,0.31842092633333335,x_driven,X-driven / Nature-like simplified baseline
2,东北,Northeast China,2023,3,0.8698375073333334,x_driven,X-driven / Nature-like simplified baseline
3,华东,East China,2014,7,0.217267404,x_driven,X-driven / Nature-like simplified baseline
3,华东,East China,2015,7,0.1930113995714286,x_driven,X-driven / Nature-like simplified baseline
3,华东,East China,2016,7,0.5140321414285715,x_driven,X-driven / Nature-like simplified baseline
3,华东,East China,2017,7,0.6108785685714285,x_driven,X-driven / Nature-like simplified baseline
3,华东,East China,2018,7,0.439421193,x_driven,X-driven / Nature-like simplified baseline
3,华东,East China,2019,7,0.5897210602857142,x_driven,X-driven / Nature-like simplified baseline
3,华东,East China,2020,7,0.6013074847142857,x_driven,X-driven / Nature-like simplified baseline
3,华东,East China,2021,7,0.9563955191428571,x_driven,X-driven / Nature-like simplified baseline
3,华东,East China,2022,7,0.6492092442857142,x_driven,X-driven / Nature-like simplified baseline
3,华东,East China,2023,7,0.9283862584285715,x_driven,X-driven / Nature-like simplified baseline
4,华中,Central China,2014,3,0.21308603033333332,x_driven,X-driven / Nature-like simplified baseline
4,华中,Central China,2015,3,0.191589243,x_driven,X-driven / Nature-like simplified baseline
4,华中,Central China,2016,3,0.44091617833333335,x_driven,X-driven / Nature-like simplified baseline
4,华中,Central China,2017,3,0.5929397406666667,x_driven,X-driven / Nature-like simplified baseline
4,华中,Central China,2018,3,0.45010466000000005,x_driven,X-driven / Nature-like simplified baseline
4,华中,Central China,2019,3,0.44163659099999997,x_driven,X-driven / Nature-like simplified baseline
4,华中,Central China,2020,3,0.436718903,x_driven,X-driven / Nature-like simplified baseline
4,华中,Central China,2021,3,0.92856067,x_driven,X-driven / Nature-like simplified baseline
