role_id,role_label,model_id,scheme_id,fe_label,scenario_id,scenario_label,province_n,year_n,outcome_actual_mean,actual_pred_mean,counterfactual_pred_mean,actual_minus_counterfactual_mean,relative_change_pct_mean
main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,Province: No / Year: Yes,all_climate_to_baseline,所有气候变量恢复基准,31,10,-9.335308258774442e-05,-9.33530825877325e-05,-0.020156406753101,0.0200630536705133,8.938838035692228
main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,Province: No / Year: Yes,r1xday_to_baseline,仅 R1xday 恢复基准,31,10,-9.335308258774442e-05,-9.33530825877325e-05,-0.0215572015288046,0.0214638484462169,10.050597951128744
main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,Province: No / Year: Yes,temperature_to_baseline,仅温度变量恢复基准,31,10,-9.335308258774442e-05,-9.33530825877325e-05,0.0013074416931158,-0.0014007947757036,-0.5668073703926452
robust_low_vif,稳健性模型 1,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,Province: No / Year: Yes,all_climate_to_baseline,所有气候变量恢复基准,31,10,-9.335308258774442e-05,-9.335308258774026e-05,-0.1086216513530332,0.1085282982704455,43.65164757906016
robust_low_vif,稳健性模型 1,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,Province: No / Year: Yes,r1xday_to_baseline,仅 R1xday 恢复基准,31,10,-9.335308258774442e-05,-9.335308258774026e-05,-0.019215807167534,0.0191224540849462,15.994958383721553
robust_low_vif,稳健性模型 1,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,Province: No / Year: Yes,temperature_to_baseline,仅温度变量恢复基准,31,10,-9.335308258774442e-05,-9.335308258774026e-05,-0.0894991972680869,0.0894058441854992,30.878757345197183
robust_systematic,稳健性模型 2,SYS_09556 | Province: No / Year: Yes,SYS_09556,Province: No / Year: Yes,all_climate_to_baseline,所有气候变量恢复基准,31,10,-9.335308258774442e-05,-9.335308258773592e-05,-0.0929292541900879,0.0928359011075002,29.98860656781077
robust_systematic,稳健性模型 2,SYS_09556 | Province: No / Year: Yes,SYS_09556,Province: No / Year: Yes,r1xday_plus_temperature_to_baseline,R1xday + 温度变量共同恢复基准,31,10,-9.335308258774442e-05,-9.335308258773592e-05,-0.1069500519634424,0.1068566988808547,45.43344929674269
robust_systematic,稳健性模型 2,SYS_09556 | Province: No / Year: Yes,SYS_09556,Province: No / Year: Yes,r1xday_to_baseline,仅 R1xday 恢复基准,31,10,-9.335308258774442e-05,-9.335308258773592e-05,-0.0258860815539458,0.0257927284713581,14.487338961600946
robust_systematic,稳健性模型 2,SYS_09556 | Province: No / Year: Yes,SYS_09556,Province: No / Year: Yes,temperature_to_baseline,仅温度变量恢复基准,31,10,-9.335308258774442e-05,-9.335308258773592e-05,-0.0811573234920843,0.0810639704094966,28.38492197228492
robust_systematic_2,稳健性模型 3,SYS_09557 | Province: No / Year: Yes,SYS_09557,Province: No / Year: Yes,all_climate_to_baseline,所有气候变量恢复基准,31,10,-9.335308258774442e-05,-9.335308258774136e-05,-0.0942305745278173,0.0941372214452295,32.32915069254512
robust_systematic_2,稳健性模型 3,SYS_09557 | Province: No / Year: Yes,SYS_09557,Province: No / Year: Yes,r1xday_plus_temperature_to_baseline,R1xday + 温度变量共同恢复基准,31,10,-9.335308258774442e-05,-9.335308258774136e-05,-0.1081667166330114,0.1080733635504237,47.88364615214593
robust_systematic_2,稳健性模型 3,SYS_09557 | Province: No / Year: Yes,SYS_09557,Province: No / Year: Yes,r1xday_to_baseline,仅 R1xday 恢复基准,31,10,-9.335308258774442e-05,-9.335308258774136e-05,-0.0254826571169607,0.025389304034373,10.615347472914626
robust_systematic_2,稳健性模型 3,SYS_09557 | Province: No / Year: Yes,SYS_09557,Province: No / Year: Yes,temperature_to_baseline,仅温度变量恢复基准,31,10,-9.335308258774442e-05,-9.335308258774136e-05,-0.0827774125986384,0.0826840595160506,28.906446076446898
strict_main_model,严筛主模型,SYS_09851 | Province: No / Year: Yes,SYS_09851,Province: No / Year: Yes,all_climate_to_baseline,所有气候变量恢复基准,31,10,-9.335308258774442e-05,-9.335308258773556e-05,-0.1215526501168351,0.1214592970342473,48.166112639203554
strict_main_model,严筛主模型,SYS_09851 | Province: No / Year: Yes,SYS_09851,Province: No / Year: Yes,r1xday_to_baseline,仅 R1xday 恢复基准,31,10,-9.335308258774442e-05,-9.335308258773556e-05,-0.0183845429406626,0.0182911898580748,7.001895005850932
strict_main_model,严筛主模型,SYS_09851 | Province: No / Year: Yes,SYS_09851,Province: No / Year: Yes,temperature_to_baseline,仅温度变量恢复基准,31,10,-9.335308258774442e-05,-9.335308258773556e-05,-0.1032614602587602,0.1031681071761724,39.871231893725
strict_top_02,严筛模型 2,SYS_10001 | Province: No / Year: Yes,SYS_10001,Province: No / Year: Yes,all_climate_to_baseline,所有气候变量恢复基准,31,10,-9.335308258774442e-05,-9.33530825877305e-05,-0.1219833560918834,0.1218900030092957,48.93217378332636
strict_top_02,严筛模型 2,SYS_10001 | Province: No / Year: Yes,SYS_10001,Province: No / Year: Yes,r1xday_to_baseline,仅 R1xday 恢复基准,31,10,-9.335308258774442e-05,-9.33530825877305e-05,-0.0193350770331352,0.0192417239505475,5.379609990089685
strict_top_02,严筛模型 2,SYS_10001 | Province: No / Year: Yes,SYS_10001,Province: No / Year: Yes,temperature_to_baseline,仅温度变量恢复基准,31,10,-9.335308258774442e-05,-9.33530825877305e-05,-0.1027416321413359,0.1026482790587482,35.564785185474896
strict_top_03,严筛模型 3,SYS_10002 | Province: No / Year: Yes,SYS_10002,Province: No / Year: Yes,all_climate_to_baseline,所有气候变量恢复基准,31,10,-9.335308258774442e-05,-9.3353082587737e-05,-0.145663734756405,0.1455703816738172,50.11543884376199
strict_top_03,严筛模型 3,SYS_10002 | Province: No / Year: Yes,SYS_10002,Province: No / Year: Yes,r1xday_to_baseline,仅 R1xday 恢复基准,31,10,-9.335308258774442e-05,-9.3353082587737e-05,-0.0189584996401957,0.0188651465576079,8.998523209369765
strict_top_03,严筛模型 3,SYS_10002 | Province: No / Year: Yes,SYS_10002,Province: No / Year: Yes,temperature_to_baseline,仅温度变量恢复基准,31,10,-9.335308258774442e-05,-9.3353082587737e-05,-0.126798588198797,0.1267052351162093,41.67486444438892
strict_top_04,严筛模型 4,SYS_09941 | Province: No / Year: Yes,SYS_09941,Province: No / Year: Yes,all_climate_to_baseline,所有气候变量恢复基准,31,10,-9.335308258774442e-05,-9.335308258773466e-05,-0.1350088332732301,0.1349154801906424,53.90213772587568
strict_top_04,严筛模型 4,SYS_09941 | Province: No / Year: Yes,SYS_09941,Province: No / Year: Yes,r1xday_plus_temperature_to_baseline,R1xday + 温度变量共同恢复基准,31,10,-9.335308258774442e-05,-9.335308258773466e-05,-0.1348546866001421,0.1347613335175543,53.9273970413168
strict_top_04,严筛模型 4,SYS_09941 | Province: No / Year: Yes,SYS_09941,Province: No / Year: Yes,r1xday_to_baseline,仅 R1xday 恢复基准,31,10,-9.335308258774442e-05,-9.335308258773466e-05,-0.0205127300715519,0.0204193769889642,10.153226328728271
strict_top_04,严筛模型 4,SYS_09941 | Province: No / Year: Yes,SYS_09941,Province: No / Year: Yes,temperature_to_baseline,仅温度变量恢复基准,31,10,-9.335308258774442e-05,-9.335308258773466e-05,-0.1144353096111778,0.1143419565285901,41.48387272271394
